price,bedrooms,bathrooms,parking space,Type of Property,Floor Size,Levies,Pets Allowed,Pool,Erf Size,Rates and Taxes
R 1 829 900,3,2,2,Apartment/Flat,121m²,,,0,,
R 1 350 000,,,,CommercialProperty,650m²,,,0,447m²,
R 695 000,2,1,1,Townhouse,77m²,R1480,,1,,R401
R 2 249 000,4,2,8,House,,,1.0,1,991m²,R1147
R 100 000 000,,,,CommercialProperty,,,,0,,
R 4 999 000,,,,VacantLand/Plot,,,,0,6765m²,
R 539 000,,,,,,,,0,,
R 711 000,2,1,,House,50m²,,,0,200m²,R450
R 1 650 000,3,2,1,Townhouse,163m²,R2120,1.0,0,163m²,R1005
R 890 000,2,2,1,Townhouse,103m²,R1814,,1,,
R 17 000 000,4,5,2,Apartment/Flat,412m²,R3700,,0,15000m²,R20500
R 2 799 000,3,2.5,2,House,496m²,,1.0,1,,R1800
R 699 000,2,1,1,Townhouse,,R1766,0.0,0,,R400
R 710 000,1,1,1,Apartment/Flat,55m²,R2619,0.0,0,,R380
R 920 000,2,1,,Townhouse,75m²,R2100,,1,,R600
R 2 690 000,,,,VacantLand/Plot,,R3000,,0,915m²,
R 3 100 000,1,1,2,Apartment/Flat,95m²,,0.0,1,,
R 649 000,1,1,1,Apartment/Flat,,R1300,,0,,R403
R 350 000,1,1,1,House,95m²,,1.0,0,168m²,R150
R 3 990 000,3,3,2,House,,,1.0,1,495m²,R2200
R 2 195 000,,,,CommercialProperty,,,,0,1150m²,
R 699 000,2,1,1,Townhouse,,R1200,,0,,R250
R 1 500 000,,,,IndustrialProperty,,,,0,768m²,
R 1 100 000,3,2,,House,,,,0,700m²,R547
R 1 699 000,9,3,,House,,,,0,495m²,
R 6 499 999,,,,IndustrialProperty,,,,0,2751m²,
R 7 950 000,4,3.5,3,House,,,1.0,1,1550m²,R4000
R 2 950 000,4,2.5,4,House,,,1.0,1,991m²,
R 2 185 000,3,2,2,Apartment/Flat,129m²,R3777,0.0,1,,R1544
R 495 000,1,1,1,Apartment/Flat,57m²,R2500,,1,,R600
R 1 450 000,10,4,2,House,,,,0,,
R 539 000,,,,Apartment/Flat,76m²,R100,,0,991m²,
R 1 600 000,,,,CommercialProperty,,,,0,495m²,R1600
R 11 000 000,42,42,,Apartment/Flat,,,,0,,
R 3 200 000,4,2,2,House,,,1.0,1,684m²,
R 2 499 000,3,2,1,Apartment/Flat,156m²,R3800,,0,,R900
R 1 399 000,3,2,3,House,,,,0,495m²,R800
R 780 000,2,1,1,House,,R2300,,0,,
R 2 100 000,3,1,6,House,,,1.0,0,496m²,
R 1 699 000,5,3,2,House,,,,1,,
R 1 095 000,2,1,,Townhouse,72m²,R1977,1.0,1,,R600
R 999 950 - R 2 550 000,,,,,,,,0,,
R 950 000,3,2,1,House,,,,0,496m²,R640
R 950 000,4,2,1,Townhouse,,,,0,,
R 2 999 000,2,2.5,2,House,,,1.0,1,495m²,R2025
R 1 800 000,7,5,7,House,,,0.0,0,1487m²,R853
R 788 000,2,2,1,Apartment/Flat,,R2424,,0,126m²,R192
R 995 000,2,2,1,Townhouse,,,,0,,
R 1 525 000,3,2,5,House,,,,1,,
R 7 875 000,,,,CommercialProperty,1500m²,,,0,3438m²,
R 1 625 000,,,,Apartment/Flat,820m²,,,0,960m²,
R 3 400 000,,,,IndustrialProperty,789m²,,,0,4500m²,
R 2 650 000,2,2,,House,,,1.0,0,1033m²,
R 1 575 000,3,2,4,House,,,,1,,R817
R 1 650 000,3,2,3,House,,,,0,856m²,
R 4 455 000,2,2,2,Townhouse,122m²,,0.0,1,,
R 3 350 000,3,2,4,House,,,1.0,0,362m²,
R 680 000,3,1,,House,,,,0,,
R 730 000,2,1,6,House,,,,0,420m²,R297
R 707 180 - R 751 950,,,,,,,,0,,
POA,,,,CommercialProperty,,,,0,496m²,
POA,,,,CommercialProperty,,,,0,495m²,
POA,3,2,2,Apartment/Flat,102m²,R3300,1.0,1,8407m²,R1100
R 1 750 000,14,2,2,House,,,,0,425m²,R500
R 650 000,3,2,,Apartment/Flat,76m²,R943,,0,25674m²,
R 839 000,2,1,1,Apartment/Flat,,,,0,,
R 1 250 000,5,4,3,House,,,1.0,0,400m²,R595
R 550 000,1,1,1,Townhouse,53m²,R1338,,1,,
R 950 000,1,1,2,Apartment/Flat,88m²,R2476,0.0,0,5758m²,R798
R 5 900 000,3,3.5,,Apartment/Flat,171m²,R6760,,0,46180m²,
R 2 299 000,11,6,3,House,,,,0,495m²,
R 1 650 000,3,2,5,House,,,,1,744m²,
R 800 000,2,2,2,Apartment/Flat,75m²,R2994,0.0,1,435m²,R475
R 2 299 000,1,1,1,Apartment/Flat,54m²,R1596,0.0,0,,
R 3 750 000,2,2,2,Apartment/Flat,83m²,R4095,0.0,1,,R2500
R 595 000,3,,1,Apartment/Flat,114m²,R1800,,0,,R200
R 495 000,0.5,1,1,Apartment/Flat,33m²,R1300,0.0,1,5185m²,R400
R 765 000,2,1,2,Apartment/Flat,56m²,R750,0.0,0,,R500
R 4 782 000,,,,,,,,0,,
R 785 000,2,2,1,Townhouse,81m²,R1600,,0,45999m²,R380
R 5 600 000,5,3,5,House,450m²,,1.0,1,2000m²,
R 3 683 900,2,2,2,Apartment/Flat,83m²,R2487,0.0,0,,
R 2 400 000,5,3,2,House,,,,0,,
R 8 250 000,,,,CommercialProperty,1800m²,,,0,674m²,
R 2 385 000,3,2.5,4,House,300m²,,1.0,1,496m²,R1478
R 1 950 000,1,1,,House,1031m²,,1.0,1,1031m²,R1043
R 2 500 000,3,2,10,House,,,1.0,1,991m²,R1200
R 1 200 000,2,2,1,Apartment/Flat,109m²,,,1,793m²,R1498
R 665 000,2,1,1,Apartment/Flat,51m²,R1261,0.0,0,51m²,R150
R 765 000,2,1,1,Apartment/Flat,56m²,R1335,0.0,0,56m²,R150
R 755 000,2,1,1,Apartment/Flat,51m²,R1261,0.0,0,,R150
R 2 400 000,6,2,2,House,,,0.0,0,,
R 1 175 000,,,,VacantLand/Plot,,,,0,,
R 509 000,1,1,1,Apartment/Flat,35m²,R860,,0,2000m²,R150
R 890 000,3,3,2,House,114m²,,,0,217m²,R380
R 1 195 000,3,2,12,House,,,1.0,0,991m²,R250
R 1 005 000 - R 1 355 000,,,,,,,,0,,
R 3 100 000,,,,CommercialProperty,300m²,,1.0,0,2000m²,
R 590 000,2,1,,Townhouse,,,,0,,
R 1 170 000,1,1,,Apartment/Flat,52m²,,0.0,1,,
R 3 499 000,5,4,5,House,,,,1,,
R 550 000,1,1,,Apartment/Flat,59m²,R1500,,0,655m²,R500
R 520 000,2,1,,Townhouse,43m²,R1700,,0,35055ha,R400
R 1 650 000,4,3,,House,,,,0,,
R 2 999 999,3,3,5,House,,R1650,,1,480m²,
R 699 000,2,1,1,Apartment/Flat,72m²,,0.0,0,,
R 1 650 000,3,2,2,House,358m²,,,0,,R2000
R 870 000,3,1.5,2,Townhouse,86m²,R1780,0.0,1,,R1000
R 599 000,2,1,,Townhouse,68m²,R1388,,1,1594m²,R448
R 900 000,3,2,2,Townhouse,,,,1,,
R 1 100 000,3,2,2,House,,,,0,495m²,
R 630 000,2,1,2,Apartment/Flat,50m²,,,1,,
POA,,,,CommercialProperty,,,,0,1576m²,
R 1 820 000,4,2.5,3,House,,,1.0,0,867m²,R948
R 980 000,,,,VacantLand/Plot,,,,0,,
R 660 000,3,2,1,Townhouse,,,,0,57m²,
R 780 000,2,1,6,House,,,1.0,0,390m²,
R 910 000,3,2,1,House,73m²,,,0,,R562
R 789 000,3,2,2,Apartment/Flat,,,0.0,0,,
R 1 780 000,1,1,1,Apartment/Flat,,,,0,,
R 335 000,2,1,1,Apartment/Flat,97m²,,0.0,0,1243m²,
R 755 000,2,1,1,Apartment/Flat,,R1335,,0,,R250
R 1 800 000,2,2,4,House,,,1.0,0,669m²,
R 1 200 000,3,2,,Townhouse,98m²,R1296,0.0,0,,R605
R 4 200 000,8,4,,House,,,0.0,0,,
R 499 000,3,,2,Apartment/Flat,83m²,,,0,3000m²,R300
R 5 670 000,32,32,2,Apartment/Flat,,,,0,,
R 350 000,,1,,Apartment/Flat,33m²,,,0,,
R 2 600 000,4,3.5,1,House,,,,0,,
R 1 050 000,3,2,1,Townhouse,100m²,R1900,1.0,0,260m²,R530
R 1 499 000,4,3,10,House,500m²,,,0,2024m²,R980
R 1 790 000,3,2,2,Apartment/Flat,158m²,,,1,,
R 2 390 000,,,,,,,,0,,
R 2 800 000,,,,CommercialProperty,495m²,,,0,,
R 3 800 000,3,3.5,2,Townhouse,221m²,,1.0,1,,
R 2 200 000,4,2,2,House,,,1.0,0,1338m²,R1899
R 675 000,2,1,1,Apartment/Flat,51m²,R1261,0.0,0,51m²,R150
R 675 000,2,1,1,Apartment/Flat,51m²,R150,0.0,0,,
R 755 000,2,1,1,Apartment/Flat,51m²,R1261,0.0,0,,R150
R 1 200 000,3,2,,Apartment/Flat,,,,0,,
R 599 000,2,1,2,Apartment/Flat,58m²,,0.0,0,,R355
R 1 199 000,3,2,2,Townhouse,108m²,R2030,,1,,R600
R 12 000 000,,,,CommercialProperty,806m²,,,0,805m²,R25000
R 1 780 000,3,2,,Townhouse,,,,1,,
R 680 000,3,2,,Townhouse,67m²,R1100,,0,,R350
R 1 999 000,12,8,4,Apartment/Flat,300m²,R1,0.0,0,,R312
R 1 150 000,3,2,2,Apartment/Flat,156m²,R3400,0.0,1,,R450
R 480 000,2,1,1,Apartment/Flat,,,,1,,
R 775 000,2,1,1,Townhouse,70m²,R2158,0.0,0,70m²,R467
R 1 200 000,3,2,1,Townhouse,,,0.0,1,,
R 629 000,,,,,,,,0,,
R 1 113 000,3,3,1,House,104m²,,1.0,0,300m²,R500
R 1 300 000,4,2,4,House,123m²,,1.0,0,496m²,R450
R 1 100 000,3,2,1,House,,,,0,497m²,
R 150 000,,,,VacantLand/Plot,,,,0,123m²,R105
R 150 000,,,,VacantLand/Plot,,,,0,123m²,R105
R 960 000,2,2,1,Apartment/Flat,84m²,,0.0,0,,
R 599 000,1,1,1,Apartment/Flat,45m²,R1178,,0,,R1020
R 4 300 000,3,3,2,House,390m²,,1.0,1,496m²,
R 13 500 000,5,5,4,Townhouse,,,1.0,1,1075m²,
R 1 050 000,3,1,2,Apartment/Flat,125m²,R2700,1.0,0,,R616
R 150 000,,,,VacantLand/Plot,,,,0,246m²,R263
R 555 000,2,1,,Apartment/Flat,49m²,R1400,,0,6061m²,R357
R 1 249 999,3,2,2,House,,,1.0,0,300m²,
POA,,,,IndustrialProperty,7627m²,,,0,7627m²,
R 679 999,1,1.5,1,Apartment/Flat,,,,0,,
R 3 650 000,2,2.5,2,Apartment/Flat,164m²,R7000,,0,,R2600
R 625 000,3,1,2,Apartment/Flat,57m²,,0.0,0,57m²,R335
R 12 000 000,,,,IndustrialProperty,4500m²,,,0,4438m²,
R 1 390 000,4,2.5,3,House,,,1.0,0,1058m²,R670
R 2 700 000 - R 5 400 000,,,,,,,,0,,
R 1 750 000,4,2,2,House,,,,0,710m²,R3000
R 2 749 000,3,2,7,House,,,,0,2301m²,
R 740 000,3,1,1,Townhouse,63m²,R2250,0.0,1,,R350
R 850 000,3,3,1,Apartment/Flat,,R4500,,0,,R500
R 620 000,2,1,1,Apartment/Flat,50m²,R1676,,0,,
R 1 030 000,1,1,1,Apartment/Flat,,,0.0,0,,
R 700 000,2,1,1,Townhouse,51m²,R1700,0.0,1,19826m²,R445
R 1 080 000,2,1.5,2,Apartment/Flat,84m²,R1527,1.0,1,,R848
R 650 000,2,1,1,Apartment/Flat,,,1.0,0,,
R 395 000,1,1,,Apartment/Flat,,,,0,,
R 2 200 000,4,4,3,House,,,1.0,0,,
POA,,,,VacantLand/Plot,,,,0,,
R 665 000,2,1,1,Apartment/Flat,51m²,R1261,0.0,0,,R150
R 665 000,2,1,1,Apartment/Flat,51m²,R1261,0.0,0,,R150
R 1 395 000,3,3,2,House,240m²,,1.0,0,436m²,R800
POA,3,3,,Apartment/Flat,233m²,,,1,,
