price,bedrooms,bathrooms,parking space,Type of Property,Floor Size,Levies,Pets Allowed,Pool,Erf Size,Rates and Taxes
R 650 000,3,1,,Townhouse,105m²,,,0,786m²,
R 2 799 999,3,4,4,House,,,,1,,
R 1 800 000,3,2,2,Apartment/Flat,159m²,,0.0,1,,
R 699 000,2,1,1,Townhouse,65m²,R1800,,1,5053m²,R413
R 1 895 000,4,2,6,House,,,1.0,1,998m²,R1472
R 3 145 000,3,2,4,House,220m²,,1.0,1,495m²,R1969
R 980 000,4,2,6,Townhouse,203m²,R1200,,0,3474ha,R400
{{price}},,,,,,,,0,,
R 2 799 000,3,2,4,House,,,,1,495m²,
R 650 000,2,1.5,1,Townhouse,43m²,R1100,0.0,0,16732m²,R400
R 2 450 000,4,2.5,3,House,250m²,,1.0,0,744m²,R800
R 890 000,2,2,,House,,,,0,62m²,
R 1 750 000,,,,VacantLand/Plot,,,,0,3237m²,R5000
R 1 250 000,2,1,3,House,,,,0,496m²,
R 15 250 000,,,,CommercialProperty,,,,0,6445m²,
R 449 000,2,1,1,Apartment/Flat,60m²,R1400,0.0,0,,R280
R 1 850 000,3,2,2,House,,,1.0,0,1049m²,
R 4 495 000,4,3,2,House,,R2300,,1,661m²,R2603
R 435 000,1,1,1,Apartment/Flat,39m²,,0.0,1,39m²,R925
R 1 290 000,3,2,5,House,,,,1,495m²,R607
R 899 500,3,2,1,House,92m²,R270,,0,161m²,R450
R 650 000,,,,Apartment/Flat,,R1900,,0,,
R 2 399 000,4,3,2,House,,,,0,1000m²,
POA,3,2,,House,230m²,,,0,495m²,
R 775 000,2,1,1,Townhouse,200m²,R300,,0,251m²,R400
R 3 950 000,4,2.5,2,House,318m²,,1.0,1,1800m²,
POA,3,2,4,House,200m²,,1.0,0,680m²,R400
R 900 000,3,2,2,House,,,0.0,0,450m²,
R 773 000,3,1,2,House,60m²,,1.0,0,200m²,R300
R 739 000 - R 789 000,,,,,,,,0,,
POA,3,1,8,House,,,,0,,
R 485 000,2.5,1,1,Apartment/Flat,110m²,R1341,0.0,0,,
R 799 000,3,3,1,House,,,1.0,0,390m²,R297
R 2 700 000,4,3,5,House,,,,1,1487m²,R685
R 2 490 000,3,2,1,House,,,,0,2164m²,R1032
R 1 850 000,3,2,6,House,,,,1,495m²,
R 1 200 000,3,3,2,House,157m²,,0.0,0,476m²,
R 880 000,3,1,,House,,,,0,661m²,R600
R 4 395 000,3,3.5,3,Townhouse,200m²,,1.0,0,1122m²,R2149
R 1 800 000,3,2,2,House,250m²,,1.0,0,496m²,R620
R 780 000,2,2,2,Apartment/Flat,82m²,R1800,0.0,1,82m²,R400
R 4 699 000,5,7,3,House,770m²,,1.0,1,1028m²,R2012
R 1 900 000,2,1,3,House,250m²,,1.0,0,496m²,R795
R 725 000,3,2,9,House,84m²,,1.0,0,554m²,R350
R 495 000,1,1,,Apartment/Flat,51m²,R1981,0.0,0,,R1130
R 2 790 000,4,3,2,House,,,,1,2164m²,
R 1 300 000,3,,1,House,,,,0,495m²,
R 4 900 000,,,,,,,,0,,
R 70 000 000,,,,IndustrialProperty,13529m²,,,0,13529m²,
R 320 000,2,1,,Apartment/Flat,,,,0,,
R 2 599 000,4,2,1,House,,,1.0,1,990m²,R1233
R 1 250 000,3,1.5,6,House,,,,1,496m²,R550
R 179 000,,1,,Apartment/Flat,40m²,,0.0,0,1487m²,
R 3 300 000,4,2.5,4,House,,,,0,1428m²,R1573
R 8 500 000,5,3,,House,,,1.0,1,6000m²,
R 5 500 000,2,2.5,2,Apartment/Flat,153m²,R7000,1.0,1,,R2831
R 2 950 000,2,2,2,Apartment/Flat,142m²,R3800,1.0,0,142m²,R990
R 1 585 000,3,2,3,House,,,,0,515m²,
R 620 000,2,1,1,Townhouse,70m²,R1100,0.0,0,8639m²,R500
R 4 500 000,,,,IndustrialProperty,1600m²,,,0,1600m²,
R 579 000,2,,1,Townhouse,64m²,R1200,,1,64m²,R348
R 179 900,,1,,Apartment/Flat,42m²,,0.0,0,1487m²,
R 3 450 000,4,3,2,House,,,0.0,1,1827m²,
R 200 000,1,1,1,Apartment/Flat,80m²,R1500,0.0,0,,
R 775 000,3,1,1,House,,,1.0,0,560m²,
R 1 195 000,3,1.5,1,House,,,,0,,
R 590 000,2,1,2,Apartment/Flat,105m²,R2327,0.0,0,,
R 1 999 000,3,3,3,Townhouse,151m²,R4480,1.0,1,22705m²,R1080
R 550 000,1,1,1,Apartment/Flat,,R1500,,0,,R300
R 1 525 000,5,3,,House,,,1.0,0,753m²,R2373
R 850 000,2,2,,Apartment/Flat,98m²,R1313,,0,8543m²,R450
R 1 195 000,2,2,1,House,,,1.0,0,495m²,R1100
R 2 800 000,3,2,1,Apartment/Flat,211m²,R5723,1.0,1,,R1633
R 176 000,,1,,Apartment/Flat,35m²,,0.0,0,1487m²,
R 655 000,2,1,1,Apartment/Flat,,R1300,,0,,R150
R 499 999,3,1,21,House,,,1.0,0,526m²,
R 1 840 000,3,3,4,House,,,0.0,0,1430m²,R901
R 6 350 000,4,3.5,4,House,,,1.0,1,1020m²,
R 1 200 000,3,2,2,Townhouse,,R1500,,0,,R550
R 839 000,2,1,1,Apartment/Flat,56m²,R1335,0.0,0,,R150
R 755 000,2,1,1,Apartment/Flat,51m²,R1261,0.0,0,,R150
R 4 900 000,4,3,2,House,,,1.0,1,1691m²,R3142
R 2 000 000,5,3,4,House,,,,1,898m²,
POA,8,8,8,House,,,,0,,
R 1 895 000,2,1.5,1,Apartment/Flat,107m²,R2998,0.0,0,,R1001
R 5 300 000,,,,VacantLand/Plot,,,,0,,
R 15 000 000,4,4,2,House,600m²,,,1,4150m²,
R 590 000,3,1,1,Apartment/Flat,114m²,R1800,,0,,R200
POA,1,1,1,Apartment/Flat,65m²,,,0,,
R 1 650 000,3,3,2,House,,,,1,1128m²,R980
R 5 350 000,4,4,3,House,400m²,R1800,,1,630m²,R2500
R 178 000,,1,,Apartment/Flat,30m²,,0.0,0,1487m²,
R 465 000,1,1,,Apartment/Flat,25m²,,,1,,
R 1 850 000,3,3,3,House,,,,1,990m²,
R 795 000,4,1,,House,114m²,,1.0,0,244m²,R798
R 670 000,,,,CommercialProperty,280m²,R2045,,0,496m²,R707
R 660 000,,,,CommercialProperty,250m²,R2045,,0,496m²,R732
R 2 000 000,3,2,,Apartment/Flat,,,,0,152m²,
R 450 000,3,2,,Apartment/Flat,138m²,R2000,,0,,R400
R 570 000,,,,,,,,0,,
R 16 000 000,,,,IndustrialProperty,,,,0,,
R 1 875 000,4,2,4,House,,,1.0,1,821m²,
R 1 799 000,2,2,2,House,,,1.0,1,477m²,
R 920 000,2,1.5,1,Apartment/Flat,,R2300,,0,,R450
R 850 000,3,2,2,House,70m²,,1.0,0,200m²,R300
R 994 000,2,2,2,Apartment/Flat,84m²,R1200,,1,54125m²,R700
R 560 000,,,,CommercialProperty,111m²,R1800,,0,495m²,R604
R 200 000,1,1,1,Apartment/Flat,50m²,R951,0.0,0,,
R 450 000,2,1,1,Apartment/Flat,,,,0,,
R 2 900 000,2,2.5,4,House,,,1.0,0,495m²,R2118
R 185 000,,1,,Apartment/Flat,33m²,,0.0,0,1487m²,
R 450 000,0.5,1,,Apartment/Flat,25m²,R1300,0.0,1,5158m²,R200
R 1 250 000,5,2,8,House,210m²,,1.0,0,496m²,R400
POA,5,5,5,House,,,1.0,1,1464m²,R26
R 3 000 000,3,2,9,House,,,,0,2620m²,
R 1 624 000,3,2.5,1,Townhouse,135m²,R851,1.0,0,369m²,R350
R 1 345 000,3,2,1,House,134m²,,1.0,0,,
R 895 000,2,2,1,Townhouse,103m²,R1800,,0,,R380
R 995 000,2,2,1,Apartment/Flat,79m²,,0.0,0,79m²,R604
R 1 950 000,4,2.5,2,House,,,,1,1150m²,R2000
R 1 250 000,3,2,3,House,,,,0,,
R 980 000,3,1,2,House,,,,0,873m²,R600
R 650 000,3,,2,Townhouse,,,,0,,
R 3 499 000,7,4,3,House,400m²,,,1,2342m²,
R 750 000,2,2,,Apartment/Flat,,,,0,,R400
R 2 499 000,4,3,2,House,,,,1,1173m²,
R 2 350 000,4,2.5,2,House,,,,0,,
R 699 000,2,1,1,Townhouse,74m²,R1770,0.0,0,,R394
R 6 450 000,4,3.5,6,House,,,,1,1276m²,R3388
R 1 485 000,3,2,,House,,,1.0,1,495m²,
R 1 750 000,,,,VacantLand/Plot,,,,0,,
R 599 995,2,1,,Apartment/Flat,50m²,R1468,0.0,0,494m²,R300
R 2 600 000,4,3,3,House,500m²,,1.0,0,1048m²,R1543
R 665 000,2,1,1,Apartment/Flat,51m²,R1261,0.0,0,51m²,R150
R 665 000,2,1,1,Apartment/Flat,51m²,R1261,0.0,0,,R150
R 665 000,2,1,1,Apartment/Flat,51m²,R1261,0.0,0,,R150
R 1 650 000,1,1,2,Apartment/Flat,,R1850,0.0,0,,R708
R 1 520 000 - R 1 755 000,,,,,,,,0,,
R 2 599 000,3,2,3,House,498m²,,1.0,1,,
R 1 950 000,,,,CommercialProperty,350m²,,,0,248m²,R2274
R 1 795 000,3,2,2,Apartment/Flat,232m²,R5660,,0,232m²,R1632
R 2 790 000,,,,VacantLand/Plot,,R3100,,0,853m²,R6780
R 1 400 000,3,1,9,House,,,,0,496m²,R484
R 750 000,4,2,1,House,,,,0,378m²,R311
R 450 000,,,,VacantLand/Plot,,,,0,1100m²,
R 2 800 000,3,3.5,4,House,,,1.0,1,,
R 1 750 000,2,1,2,House,,,1.0,0,1487m²,R645
R 2 049 000,,,,Apartment/Flat,140m²,,,0,140m²,
R 650 000,2,1,1,Townhouse,44m²,,0.0,0,,R326
R 2 900 000,10,5,,Apartment/Flat,,,1.0,0,447m²,
R 850 000,2,1,1,Apartment/Flat,72m²,R1047,0.0,0,12447m²,R367
R 1 100 000,3,2,,Townhouse,,,,0,,
R 350 000,,,,Apartment/Flat,,,,0,,
R 1 499 999,2,2,,Apartment/Flat,118m²,R4175,1.0,0,,R959
R 1 100 000,10,4,2,House,,,1.0,0,495m²,R441
R 2 500 000,3,2,2,Apartment/Flat,160m²,,,0,,
R 742 000,3,2,,House,60m²,,1.0,0,180m²,
R 1 620 000,3,1,3,House,,,1.0,0,,
R 700 000,2,1,2,Apartment/Flat,,,,1,77m²,
R 1 450 000,2,2,2,Apartment/Flat,,R2200,,0,,
R 330 000,2,1,1,Apartment/Flat,102m²,,0.0,0,1243m²,
R 450 000,1,1,2,Apartment/Flat,26m²,R1480,,0,,R383
R 1 495 000,3,,2,House,300m²,,1.0,0,649m²,R2000
R 725 000,2,2,,Townhouse,80m²,R1600,0.0,0,80m²,R350
R 620 000,3,1,2,House,,,1.0,0,406m²,R300
R 695 000,2,1,1,Townhouse,,R1000,0.0,1,,R460
R 420 000,0.5,1,1,Apartment/Flat,26m²,,0.0,0,50m²,
R 3 650 000,3,2,2,House,,,1.0,0,851m²,R2781
R 1 450 000,4,2,2,House,,,,0,1424m²,R1300
R 5 000 000,,,,CommercialProperty,,,,0,593m²,
R 675 000,2,1,1,Apartment/Flat,,,,0,,
R 1 200 000,1,1,1,Apartment/Flat,108m²,R2583,0.0,0,,R963
R 1 650 000,3,1.5,4,House,,R523,0.0,1,570m²,R826
R 1 450 000,3,2,2,Townhouse,,,,0,,
R 1 350 000,3,2,2,House,,,,1,375m²,
R 2 499 999,4,3,3,House,,,,0,2010m²,R1084
R 500 000,1,1,,Apartment/Flat,45m²,,,1,,R200
R 4 850 000,4,3,4,House,,,,1,1023m²,R2784
R 835 000,3,1,1,House,,,,0,263m²,R358
R 350 000,2,1,1,Apartment/Flat,90m²,,,0,,
R 579 995,2,1,,Apartment/Flat,44m²,R1559,0.0,0,494m²,R300
R 610 000,2,1,,Apartment/Flat,60m²,R1800,,1,,R500
R 2 899 000,3,2,6,House,,,,0,991m²,
R 750 000,3,2,2,House,,,,0,,
R 2 999 500,2,2,2,Apartment/Flat,168m²,R4957,,0,,R2215
R 1 995 000,3,2,7,House,,,1.0,0,990m²,R800
R 40 000 000,,,,CommercialProperty,2928m²,,,0,2928m²,
R 850 000,2,1,1,Townhouse,,,0.0,0,,
R 9 900 000,4,4,4,House,600m²,,1.0,1,2025m²,R2450
R 3 250 000,2,2,3,House,,,,1,498m²,R2195
R 720 000,2,1,1,Townhouse,,,0.0,1,,
R 550 000,1,1,1,Townhouse,47m²,R899,,1,,R214
R 9 643 500,,,,IndustrialProperty,,,,0,6429m²,
R 746 000,3,1,2,House,55m²,,1.0,0,200m²,R300
R 2 585 000,3,2,4,House,207m²,,1.0,0,1375m²,R1925
R 975 000,2,2,1,Apartment/Flat,90m²,R1846,1.0,0,7000m²,R600
R 755 000,2,1,1,Apartment/Flat,,R1335,,0,,R250
R 680 000,1,1,2,Apartment/Flat,,,,1,,
R 2 999 000,3,3,2,House,,,0.0,0,,
R 673 000,2,1,,House,50m²,,1.0,0,150m²,R300
R 1 250 000,2,2,1,Townhouse,140m²,,1.0,0,140m²,
R 1 650 000,5,3,2,House,,,,0,600m²,R622
R 1 295 000,3,2.5,2,Townhouse,177m²,R2400,1.0,1,2394m²,R500
R 3 400 000,3,2,4,House,,,1.0,1,1145m²,R3020
R 1 150 000,3,2,1,Townhouse,117m²,R2485,0.0,1,7903m²,R643
R 1 199 000 - R 1 299 000,,,,,,,,0,,
R 2 950 000,6,4,14,House,,,0.0,0,,
R 875 000,3,2,2,Townhouse,98m²,R1698,,0,35848m²,R678
R 655 000,2,1,1,Apartment/Flat,,R1200,,0,51m²,R150
R 740 000,2,1,2,Townhouse,49m²,R1918,0.0,0,,R374
R 815 000,3,1,2,House,65m²,,1.0,0,200m²,R300
R 320 000,0.5,1,,Apartment/Flat,26m²,R712,0.0,0,,R513
R 600 000,4,1,,House,,,,0,499m²,
R 485 000,7,1,,House,90m²,,,0,355m²,R773
R 455 000,,1,,Apartment/Flat,32m²,,,0,32m²,
R 1 300 000,1,1,1,Apartment/Flat,102m²,R1500,1.0,0,,R700
R 1 400 000,4,2,6,House,,,,0,,
R 1 400 000,3,2,1,House,380m²,,1.0,0,424m²,R772
R 849 000,3,2,3,House,,,,0,1040m²,R400
R 3 495 000,3,2.5,4,House,,,,0,,
R 5 800 000,6,4.5,11,House,,,1.0,1,1152m²,R2100
R 290 000,2,1,1,Apartment/Flat,,R2150,0.0,0,,
R 500 000,1,1,1,Apartment/Flat,35m²,R2530,0.0,0,,
POA,,,,VacantLand/Plot,,,,0,16ha,
R 330 000,0.5,1,,Apartment/Flat,27m²,R1500,,0,,R400
R 380 000,2,1,2,Apartment/Flat,68m²,,,0,,
R 630 000,2,1,1,Apartment/Flat,50m²,,0.0,0,494m²,
R 1 180 000,1,1,2,Apartment/Flat,84m²,R3700,0.0,1,,R850
R 7 499 000,4,3,4,House,,,1.0,1,1267m²,R3125
R 1 699 000,2,2,1,Apartment/Flat,113m²,,0.0,0,,
R 70 000 000,6,6,5,House,,,,1,1500m²,
R 4 500 000,2,2,2,Apartment/Flat,173m²,R6000,,1,,R3000
R 990 000,9,2,1,House,495m²,,0.0,0,495m²,R3770
R 580 000,3,1,2,House,,,0.0,0,,
R 680 000,3,1,,Townhouse,58m²,R700,0.0,0,200m²,R450
R 70 000 000,,,,IndustrialProperty,10959m²,,,0,14890m²,
R 850 000,3,2,1,House,,,1.0,0,250m²,
R 1 150 000,3,2,2,Townhouse,117m²,R2485,,1,7903m²,R643
R 8 499 900,,,,,,,,0,,
R 1 160 000,3,3,3,House,,,,0,495m²,
R 1 300 000,1,1,1,Apartment/Flat,73m²,R1500,1.0,0,,R500
R 1 900 000,14,7,14,House,,,,0,1257m²,
R 2 650 000,5,2.5,2,House,,,,1,,
R 350 000,1,1,,Apartment/Flat,45m²,R1780,0.0,0,,R430
R 610 000,,,,CommercialProperty,141m²,R1900,,0,495m²,R707
R 675 000,2,1,1,Apartment/Flat,,R1200,,0,,R250
R 1 475 000,2,1,2,Apartment/Flat,129m²,R3378,,1,129m²,R1226
R 1 100 000,4,2,1,House,,,,0,251m²,R578
R 181 000,,1,,Apartment/Flat,42m²,,0.0,0,1487m²,
R 1 670 000,6,2.5,3,House,300m²,,,0,991m²,R1900
R 399 995,1,1,,Apartment/Flat,34m²,R990,0.0,0,494m²,R300
R 2 100 000,2,2,,Apartment/Flat,78m²,,,0,,
R 3 925 000,6,4,7,House,446m²,,1.0,0,1128m²,R2089
R 600 000,3,2,1,House,,,,0,,
R 2 800 000,4,4,5,House,,,,0,563m²,
R 785 000,2,1,1,Townhouse,69m²,R938,,1,,R400
R 1 999 000,5,3,8,House,300m²,,1.0,0,496m²,R400
R 665 000,2,1,1,Apartment/Flat,51m²,R1400,1.0,0,200m²,R250
R 1 350 000,3,2,2,Apartment/Flat,150m²,R5029,,0,,R422
R 2 450 000,3,2.5,3,House,,,1.0,1,1190m²,
R 1 950 000,3,2,2,Townhouse,207m²,R2252,1.0,1,,
R 1 999 000,3,2,3,House,,,,1,992m²,
R 1 749 000,4,2.5,4,House,,,1.0,1,1115m²,R666
R 900 000,,,,House,,,,0,,
R 3 950 000,4,2.5,2,House,,,,1,2170m²,R1952
R 267 000,,1,,Apartment/Flat,19m²,,0.0,0,19m²,
R 1 365 000,,,,CommercialProperty,347m²,,,0,347m²,
R 1 600 000,3,2,6,House,395m²,,1.0,0,515m²,R950
R 749 000,2,1,,House,,,,0,259m²,
R 1 720 000,4,2,2,House,,,,0,991m²,
R 1 295 000,4,3,1,House,270m²,,,0,397m²,R500
R 399 000,1,1,2,Apartment/Flat,38m²,R1686,,1,,R280
R 7 800 000,3,3.5,2,House,388m²,R2000,1.0,1,478m²,R3035
R 20 000 000,,,,IndustrialProperty,7735m²,,,0,7918m²,
R 4 500 000,3,2,2,House,,,1.0,1,1000m²,
R 875 000,2,1,1,Apartment/Flat,71m²,R1760,,0,,R500
R 1 750 000,,,,IndustrialProperty,380m²,,,0,380m²,
R 2 700 000,3,2,2,Apartment/Flat,140m²,R3452,0.0,0,200m²,
R 1 150 000,1,1,1,Apartment/Flat,76m²,,0.0,0,,
R 799 000,3,2,3,House,,,,0,400m²,R445
R 1 550 000,4,2,3,House,,,,0,600m²,R599
R 550 000,,,,Townhouse,,,,0,,
R 1 200 000,4,2,2,House,,,1.0,0,495m²,R545
R 1 699 000,3,2,4,Apartment/Flat,,R3200,,0,,R1100
R 2 750 000,12,4,,House,,,,0,,
R 2 880 000,3,3,9,House,350m²,,1.0,0,4559m²,R663
R 420 000,,1,1,Apartment/Flat,20m²,,,0,20m²,
R 1 699 000,3,2,,House,,,1.0,0,990m²,R1415
R 665 000,2,1,1,Apartment/Flat,,R780,,0,,R280
R 450 000,1,1,1,Apartment/Flat,38m²,R600,,0,,R274
R 2 500 000,14,12,15,House,,,,0,,
R 598 000,2,1,2,Townhouse,58m²,R1450,,1,,R350
R 660 000,2,1,1,Townhouse,,,,1,,
R 699 000,2,1,1,Townhouse,79m²,R1686,,1,,
R 3 000 000,,,,CommercialProperty,,,,0,965m²,
R 1 550 000,2,2,1,Apartment/Flat,95m²,R1500,1.0,0,,R1200
R 590 000,1,1,1,Apartment/Flat,,R510,,0,55m²,
R 450 000,2,1,,Apartment/Flat,,R1075,,0,,
R 1 499 000,10,4,3,House,,,,0,558m²,R859
R 750 000,3,2,,House,,,,0,480m²,
R 1 099 000,3,2,4,House,200m²,,1.0,0,496m²,R408
R 2 200 000,,,,House,,,,0,,
R 799 000,2,2,1,Townhouse,89m²,R2500,,1,,R250
R 2 500 000,,,,IndustrialProperty,548m²,R1,,0,833m²,R1
R 899 000,3,2,5,House,160m²,,1.0,0,,
R 39 999,,,,VacantLand/Plot,,R500,1.0,0,200m²,
R 1 100 000,3,2,5,House,250m²,,1.0,0,770m²,R350
R 470 000,0.5,1,,Apartment/Flat,38m²,R1062,0.0,0,,R641
R 1 800 000,,,,IndustrialProperty,391m²,,,0,391m²,
R 1 850 000,5,4.5,3,House,,,,1,600m²,R744
R 1 100 000,3,1,2,Townhouse,68m²,R1060,,0,,
R 2 200 000,2,2,,Apartment/Flat,73m²,R2792,,0,73m²,R1210
R 590 000,2,1,,Townhouse,44m²,R1185,0.0,0,,R229
R 1 950 000,3,1,,House,180m²,,1.0,0,996m²,R994
R 665 000,2,1,1,Apartment/Flat,,R1200,,0,,R250
R 850 000,3,2,2,House,,,1.0,0,300m²,R700
R 4 800 000,12,15,16,House,,,,0,,
R 750 000,3,1.5,2,Townhouse,73m²,,0.0,1,,
R 1 250 000,,,,House,,R400,,0,250m²,
R 810 000,2,2,,Townhouse,,R2000,,0,,R400
R 1 150 000,5,3,1,House,,,,1,,
R 295 000,2,1,,Apartment/Flat,83m²,R950,0.0,0,,
R 970 000,3,1,3,House,110m²,,1.0,0,350m²,R1000
R 2 250 000,8,2,,House,,,,0,495m²,
R 535 000,2,1,3,Apartment/Flat,76m²,R700,0.0,0,,R198
R 1 259 999,5,3,14,House,,,,0,495m²,R350
R 1 335 000,1,1,1,Apartment/Flat,78m²,R2100,,0,,R969
R 220 000,1,1,,Apartment/Flat,,R1246,,0,,
R 1 300 000,8,3,3,House,,,,0,446m²,R2080
R 495 000,1,1,,Apartment/Flat,40m²,,,0,,
R 380 000,1,1,1,Apartment/Flat,,,,0,,
R 3 500 000,16,16,1,House,,,,0,,
R 2 250 000,5,2,4,House,,,,1,,
R 2 850 000,3,2,2,House,,,,0,1399m²,R2579
R 550 000,2,1,,Townhouse,57m²,,0.0,0,15632m²,
R 2 900 000,4,2,10,House,,,1.0,0,500m²,
R 650 000,1,1,1,Apartment/Flat,82m²,R2693,1.0,0,,R842
R 1 650 000,3,2,2,House,,,,0,793m²,R1500
R 3 999 000,4,4,2,House,,,1.0,1,420m²,
R 995 000,2,2,2,Townhouse,84m²,R1300,,1,,R659
R 935 000,3,2,3,House,,,,0,,R480
R 1 750 000,3,2,2,Apartment/Flat,102m²,R3500,1.0,1,,R1050
R 4 295 000,5,3,4,House,,,,1,1265m²,
R 4 300 000 - R 4 600 000,,,,,,,,0,,
R 1 100 000,,,,CommercialProperty,450m²,,,0,447m²,R2000
R 650 000,2,1,1,Apartment/Flat,,,,0,,
R 1 620 000,3,2,1,House,,,0.0,1,,R1200
R 610 000,2,1,1,Townhouse,,R849,0.0,0,,
R 599 000,3,1,1,Townhouse,60m²,R778,,1,,R250
R 1 750 000,,,,VacantLand/Plot,,,,0,,
R 4 700 000,,1,47,Apartment/Flat,35m²,,0.0,0,4452m²,
R 450 000,,,,House,,,,0,,
R 3 800 000,10,8,10,House,,,,0,894m²,
