price,bedrooms,bathrooms,Type of Property,Erf Size,Floor Size,Levies,Pool,Rates and Taxes,parking space,Pets Allowed
POA,,,IndustrialProperty,1797m²,707m²,,0,,,
R 1 050 000,3.0,2.0,House,495m²,,,0,R1350,1.0,1.0
R 1 980 000,6.0,2.0,House,412m²,,,0,R1050,8.0,1.0
R 600 000,2.0,1.0,Apartment/Flat,,,,0,,1.0,0.0
R 995 000,3.0,2.0,House,,,,0,R455,2.0,1.0
R 980 000,6.0,2.0,Townhouse,3474m²,203m²,R2560,0,R367,6.0,1.0
R 1 250 000,2.0,2.0,Townhouse,14921m²,101m²,R2261,0,R781,2.0,1.0
R 810 000,2.0,1.0,Townhouse,,68m²,R1400,0,,2.0,
R 950 000,2.0,1.0,Townhouse,,98m²,R2180,0,R267,1.0,
R 5 900 000,4.0,4.5,House,1338m²,450m²,R600,0,R2410,2.0,
R 1 950 000,3.0,2.0,Townhouse,,152m²,,0,,2.0,1.0
R 2 395 000,4.0,2.0,House,1008m²,,,0,R780,3.0,
R 675 000,2.0,1.0,Apartment/Flat,,51m²,R750,0,R500,2.0,
R 3 295 000,7.0,5.0,House,1996m²,,,0,R2300,8.0,
R 7 900 000,6.0,7.0,House,1588m²,,,0,,6.0,
R 1 000 000,4.0,1.0,Townhouse,521m²,,,0,R223,1.0,
R 1 990 000,2.0,2.0,Apartment/Flat,,69m²,R2500,0,R1520,,
R 7 600 000,4.0,4.0,House,3257m²,,,0,R4445,5.0,1.0
R 1 585 000,7.0,2.0,House,395m²,,,0,R950,3.0,
R 3 400 000,4.0,3.0,House,778m²,339m²,,0,,3.0,1.0
R 2 150 000,5.0,3.0,House,510m²,,,0,R900,2.0,1.0
R 773 000,3.0,2.0,House,200m²,60m²,,0,R300,1.0,
R 1 299 000,3.0,2.0,Townhouse,,101m²,,0,,,0.0
R 3 390 000,,,VacantLand/Plot,977m²,,,0,,,
R 2 600 000,5.0,3.0,House,1337m²,500m²,R1,0,R740,3.0,1.0
R 720 000,3.0,,House,400m²,120m²,,0,R250,2.0,1.0
R 765 000,2.0,1.0,Apartment/Flat,,56m²,,0,,2.0,
R 3 195 000,6.0,6.0,House,1007m²,,,0,R1500,4.0,1.0
R 1 200 000,3.0,2.0,House,395m²,,,0,,2.0,
R 665 000,2.0,1.0,Apartment/Flat,,51m²,R1260,0,R250,1.0,0.0
R 1 830 000,2.0,1.0,House,,,,0,,2.0,1.0
R 3 100 000,4.0,2.0,House,496m²,265m²,,0,R1199,2.0,0.0
R 620 000,1.0,1.0,Apartment/Flat,994m²,45m²,,0,,,0.0
R 5 499 999,4.0,4.5,House,607m²,607m²,,0,R3250,3.0,1.0
R 780 000,4.0,1.0,House,495m²,233m²,,0,,3.0,1.0
R 2 495 000,3.0,3.0,House,793m²,,,0,R734,3.0,
R 899 000,2.0,2.0,Apartment/Flat,2985m²,106m²,R1800,0,,1.0,
R 732 740,3.0,2.0,House,150m²,56m²,,0,R300,,1.0
R 1 700 000,,,CommercialProperty,88607m²,31m²,R1770,0,,,
R 550 000,3.0,1.0,Townhouse,,57m²,R1000,0,R400,2.0,0.0
R 3 000 000,,,House,6120m²,1300m²,,0,R7621,1.0,
R 1 100 000,2.0,2.0,Apartment/Flat,10838m²,98m²,R1500,0,R598,,
R 25 000 000,4.0,4.5,House,4050m²,,,0,R9900,13.0,1.0
R 3 195 000,4.0,3.0,House,400m²,368m²,R3493,0,R1326,2.0,1.0
R 1 480 000,3.0,2.0,House,1000m²,,,0,R770,2.0,1.0
R 1 325 000,3.0,2.0,House,495m²,,,0,R460,2.0,1.0
R 9 899 000,3.0,3.0,Apartment/Flat,237m²,237m²,R7065,0,,1.0,0.0
R 350 000,1.0,1.0,Apartment/Flat,992m²,48m²,R639,0,R150,1.0,0.0
R 755 000,2.0,1.0,Apartment/Flat,,51m²,R600,0,R600,1.0,1.0
R 900 000,2.0,1.0,Townhouse,,83m²,,0,,1.0,0.0
R 1 450 000,2.0,1.0,Apartment/Flat,2535m²,96m²,R2044,0,R568,1.0,
R 2 900 000,4.0,2.0,House,310m²,340m²,R3228,0,R1264,2.0,1.0
R 550 000,0.5,1.0,Apartment/Flat,,33m²,R786,0,,1.0,0.0
R 2 899 000,,,IndustrialProperty,700m²,700m²,,0,,,
R 1 199 000 - R 1 299 000,,,,,,,0,,,
R 10 000 000,,,IndustrialProperty,2000m²,2000m²,,0,,,
POA,,,VacantLand/Plot,2337m²,,,0,,,
R 3 518 900,2.0,2.0,Apartment/Flat,74.5m²,74m²,R2000,0,,,
R 650 000,3.0,1.0,Townhouse,,84m²,R1360,0,R400,1.0,
R 1 500 000,3.0,1.5,House,847m²,,,0,,1.0,1.0
R 1 750 000,3.0,2.0,House,397m²,,,0,R1000,1.0,
R 1 024 000,1.0,1.0,Apartment/Flat,,64m²,,0,,2.0,
R 1 502 000,2.0,2.0,Apartment/Flat,,91m²,,0,,2.0,
R 1 638 000,3.0,2.0,Apartment/Flat,,117m²,,0,,2.0,
R 1 200 000,3.0,2.0,Townhouse,,98m²,R1500,0,R550,2.0,
R 3 450 000,3.0,2.0,House,1983m²,1m²,,0,R3000,5.0,1.0
R 750 000,3.0,3.0,House,1045m²,222m²,,0,R589,3.0,1.0
R 1 650 000,3.0,2.0,House,495m²,300m²,,0,R600,3.0,1.0
R 450 000,2.0,1.0,Apartment/Flat,,76m²,,0,R171,,
R 2 000 000,3.0,3.0,Apartment/Flat,208m²,208m²,,0,,,
R 1 700 000,2.0,2.0,Apartment/Flat,,,R3471,0,R1230,2.0,
R 2 950 000,3.0,3.0,House,743m²,120m²,,0,,3.0,
R 2 750 000,4.0,3.0,House,,,,0,R1500,6.0,
R 2 000 000,3.0,2.5,House,600m²,254m²,R2300,0,R1200,2.0,1.0
R 1 350 000,4.0,4.0,House,,495m²,,0,R530,4.0,
R 1 195 000,2.0,2.0,House,495m²,,,0,R375,3.0,1.0
R 1 790 000,3.0,2.0,House,,992m²,,0,R1109,4.0,1.0
R 840 000,4.0,2.0,House,317m²,317m²,,0,R497,6.0,1.0
R 7 800 000,3.0,3.5,Townhouse,478m²,388m²,R2000,0,R3035,5.0,1.0
R 890 000,3.0,1.0,House,570m²,,,0,,2.0,1.0
R 1 040 000,3.0,1.0,House,495m²,,,0,R1050,,1.0
R 1 700 000,2.0,2.0,Apartment/Flat,,90m²,R3180,0,R1175,2.0,0.0
R 3 364 900,2.0,2.0,Apartment/Flat,83m²,83m²,R2000,0,,,
R 7 500 000,,,Farm,,,,0,,,
R 1 650 000,3.0,2.0,House,654m²,,,0,,4.0,
R 2 500 000,3.0,2.0,House,1100m²,,,0,R850,2.0,1.0
R 765 000,2.0,1.0,Apartment/Flat,,56m²,R824,0,R200,2.0,1.0
R 660 000,2.0,1.0,Apartment/Flat,48m²,48m²,,0,R545,2.0,0.0
R 2 250 000,7.0,4.0,House,1059m²,,,0,R1074,7.0,
R 3 800 000,,,CommercialProperty,1486m²,300m²,,0,R1462,,
R 3 350 000,4.0,2.0,House,1000m²,420m²,,0,R1400,7.0,1.0
R 1 100 000,1.0,1.0,Apartment/Flat,,96m²,,0,R600,1.0,
R 1 195 000,3.0,2.0,Townhouse,,97m²,R1352,0,R551,2.0,
R 5 499 000,,,Farm,,1m²,,0,R1500,,
R 2 750 000,3.0,2.0,Townhouse,,211m²,R5971,0,R1579,1.0,
R 710 520,3.0,1.0,House,150m²,55m²,,0,R400,1.0,1.0
R 495 000,1.0,1.0,Apartment/Flat,,49m²,R1100,0,R270,2.0,0.0
R 485 000,1.0,1.0,Apartment/Flat,,64m²,R1882,0,,,
R 625 000,1.0,1.0,Townhouse,4361m²,55m²,R1300,0,R443,,0.0
R 1 200 000,3.0,2.0,Apartment/Flat,,99m²,,0,R1650,1.0,
R 13 000 000,,,CommercialProperty,1644m²,,,0,,,
R 760 000,2.0,1.0,Apartment/Flat,75m²,75m²,R1176,0,R442,1.0,1.0
R 950 000,3.0,1.0,House,248m²,,,0,,,
R 4 900 000,3.0,2.0,House,1020m²,,,0,,2.0,
R 600 000,2.0,1.0,Apartment/Flat,,64m²,R1882,0,,,
R 2 650 000,2.0,2.5,House,495m²,1m²,,0,R1900,2.0,1.0
R 4 200 000,3.0,2.0,House,1020m²,,,0,,4.0,1.0
R 1 300 000,3.0,1.0,House,495m²,,,0,,3.0,1.0
R 629 000,,,,,,,0,,,
R 3 380 000,2.0,2.0,House,495m²,,,0,R2959,2.0,1.0
R 900 000,5.0,2.0,House,480m²,,,0,R278,3.0,
R 750 000,2.0,1.0,Townhouse,154m²,110m²,R1177,0,R570,2.0,
R 2 500 000,,,VacantLand/Plot,920m²,,R3100,0,,,
R 950 000,3.0,2.0,House,1063m²,,,0,R275,2.0,1.0
R 1 499 000,2.0,2.0,House,694m²,,,0,,4.0,1.0
R 1 150 000,4.0,3.0,House,480m²,,,0,,1.0,1.0
R 1 200 000,3.0,1.0,House,520m²,,,0,R452,1.0,
R 395 000,1.0,1.0,Apartment/Flat,44m²,44m²,,0,R995,1.0,0.0
R 2 900 000,4.0,3.0,House,1014m²,,,0,,6.0,1.0
R 850 000,2.0,1.0,Townhouse,20100m²,60m²,R1594,0,R433,1.0,
R 899 000,3.0,2.5,House,600m²,237m²,,0,R598,3.0,0.0
R 3 750 000,3.0,3.0,Apartment/Flat,,240m²,R4804,0,,2.0,1.0
R 380 000,1.0,1.0,Apartment/Flat,,,,0,,1.0,
R 3 200 000,2.0,3.0,House,744m²,330m²,,0,R1258,3.0,1.0
R 765 000,2.0,1.0,Apartment/Flat,56m²,56m²,R1335,0,R150,1.0,0.0
R 1 439 000 - R 1 458 000,,,,,,,0,,,
R 6 500 000,,,CommercialProperty,2477m²,,,0,,,
R 12 500 000,,,CommercialProperty,2147m²,2147m²,,0,,,
R 178 000,,1.0,Apartment/Flat,1487m²,30m²,,0,,,0.0
R 790 000,2.0,1.0,Townhouse,1ha,96m²,R1300,0,R468,1.0,
R 560 000,1.0,1.0,Apartment/Flat,,46m²,R1257,0,,1.0,0.0
R 1 300 000,3.0,1.0,House,495m²,,,0,R502,,1.0
R 1 150 000,3.0,2.0,House,495m²,,,0,R500,3.0,1.0
R 4 250 000,5.0,3.0,House,1176m²,,,0,,,1.0
R 10 228 900,3.0,3.5,Apartment/Flat,,237m²,R6319,0,,3.0,0.0
R 650 000,2.0,2.0,Apartment/Flat,,109m²,R2500,0,R450,1.0,
R 680 000,2.0,1.0,Townhouse,,53m²,R490,0,R460,1.0,0.0
POA,,,House,,,,0,,,
R 39 950 000,,,VacantLand/Plot,,,,0,,,
R 800 000,2.0,1.0,Townhouse,5053m²,65m²,,0,,,
R 850 000,1.0,1.0,Apartment/Flat,96m²,96m²,R2643,0,R930,1.0,1.0
R 1 200 000,1.0,1.0,Apartment/Flat,,98m²,,0,,1.0,
R 380 000,2.0,1.5,Apartment/Flat,3416m²,87m²,R1850,0,R200,1.0,0.0
R 899 000,3.0,2.0,House,208m²,,,0,,1.0,0.0
R 1 399 000,3.0,2.0,House,744m²,,,0,,5.0,1.0
R 1 250 000,3.0,2.0,Townhouse,,165m²,,0,,1.0,
R 2 250 000,3.0,1.5,House,1012m²,300m²,,0,R1700,2.0,1.0
R 340 000,0.5,1.0,Apartment/Flat,,33m²,R850,0,R250,1.0,
R 1 500 000,9.0,3.0,House,734m²,,,0,R350,7.0,
R 1 300 000,3.0,2.0,House,495m²,,,0,R410,3.0,
R 1 100 000,6.0,2.0,House,495m²,,,0,R260,6.0,
R 1 050 000,3.0,2.0,House,248m²,,,0,R359,2.0,
R 850 000,3.0,2.0,House,200m²,70m²,,0,R400,2.0,1.0
R 660 000,2.0,1.0,Townhouse,,57m²,R1200,0,R369,,
R 794 900,4.0,1.0,House,244m²,,,0,R500,,
R 1 150 000,3.0,1.0,House,396m²,,,0,R500,2.0,1.0
R 560 000,2.0,1.0,Townhouse,,65m²,R1033,0,,1.0,
R 3 700 000,,,VacantLand/Plot,,,,0,,,
R 1 200 000,3.0,1.0,House,495m²,,,0,,6.0,
R 6 900 000,,,CommercialProperty,,,,0,,,
R 1 799 000,3.0,2.0,House,1487m²,,,0,R960,7.0,
R 375 000,0.5,1.0,Apartment/Flat,,26m²,R718,0,,,0.0
R 6 599 900,3.0,3.5,House,464m²,320m²,R4200,0,R3254,2.0,1.0
R 1 850 000,3.0,2.0,Townhouse,162m²,162m²,R2575,0,R1028,2.0,1.0
R 3 400 000,4.0,3.0,Apartment/Flat,,175m²,,0,,4.0,0.0
R 6 400 000,4.0,3.0,House,2337m²,,,0,R3614,7.0,
R 1 950 000,5.0,3.0,House,498m²,360m²,,0,,1.0,1.0
R 839 000,2.0,1.0,Apartment/Flat,,56m²,R750,0,R500,2.0,0.0
R 720 000,2.0,1.0,Townhouse,15635m²,61m²,R1200,0,R450,,0.0
R 29 500 000,,,CommercialProperty,,,,0,R4500,,
R 290 000,1.0,1.0,House,,75m²,R550,0,R350,1.0,
R 4 298 000,6.0,4.0,House,1550m²,820m²,R1,0,R1157,4.0,1.0
R 3 950 000,3.0,2.0,House,1238m²,,,0,,,
R 8 500 000,3.0,2.5,House,2215m²,,,0,R3571,6.0,
R 755 000,2.0,1.0,Apartment/Flat,,56m²,R1335,0,R150,1.0,0.0
R 1 150 000,3.0,2.0,House,520m²,520m²,,0,R860,2.0,1.0
R 3 900 000,8.0,5.0,House,1983m²,,,0,R3059,1.0,1.0
R 985 000,2.0,1.0,House,594m²,,,0,R257,5.0,1.0
R 1 390 000,3.0,1.5,House,,,,0,,1.0,1.0
R 850 000,2.0,2.0,Townhouse,,103m²,R1899,0,R490,3.0,1.0
R 1 670 000,3.0,2.0,House,762m²,280m²,,0,R686,2.0,1.0
R 630 000,2.0,1.0,Apartment/Flat,,66m²,R1381,0,R334,,
R 680 400,2.0,2.0,Apartment/Flat,17315m²,69m²,R900,0,R420,2.0,0.0
R 3 500 000,3.0,2.0,Apartment/Flat,,,R2300,0,R2000,2.0,
R 1 520 000,3.0,3.0,House,1144m²,,,0,R688,3.0,1.0
R 4 495 000,3.0,3.0,House,630m²,411m²,R1900,0,R2000,5.0,
R 1 990 000,,,CommercialProperty,995m²,,,0,,,
R 1 150 000,9.0,5.0,House,495m²,431m²,,0,R1582,5.0,0.0
R 495 000,1.0,1.0,Apartment/Flat,32m²,32m²,,0,R300,1.0,0.0
R 8 688 900,3.0,3.5,Apartment/Flat,,188m²,R5832,0,,3.0,0.0
R 1 895 000,3.0,2.0,House,1487m²,,,0,,5.0,0.0
R 2 750 000,3.0,2.5,House,1068m²,,,0,,4.0,1.0
R 2 495 000,2.0,2.5,House,497m²,,,0,,3.0,1.0
R 3 100 000,2.0,2.5,House,496m²,200m²,,0,R2000,3.0,1.0
R 1 250 000,,,VacantLand/Plot,1588m²,,,0,,,
R 2 950 000,3.0,3.5,House,1017m²,700m²,,0,,4.0,1.0
R 3 200 000,,,VacantLand/Plot,851m²,,R3200,0,,,
R 19 000 000,,,IndustrialProperty,5000m²,2500m²,,0,,,
R 2 099 000,3.0,2.0,Townhouse,,240m²,,0,,2.0,
R 760 000,1.0,1.0,Apartment/Flat,51m²,51m²,,0,R510,2.0,0.0
R 450 000,2.0,1.0,Apartment/Flat,,76m²,R2100,0,R171,1.0,
R 1 800 000,4.0,3.0,House,1075m²,,,0,,4.0,0.0
R 900 000,3.0,3.0,Apartment/Flat,,,R4000,0,R550,1.0,0.0
R 1 300 000,3.0,1.0,House,495m²,,,0,R450,1.0,1.0
R 6 950 000,4.0,3.0,Townhouse,821m²,,,0,,3.0,1.0
R 699 000,1.0,1.0,Apartment/Flat,916m²,85m²,R700,0,R2500,1.0,
R 1 200 000,3.0,2.0,House,,,,0,R550,,
R 2 450 000,4.0,3.0,House,1487m²,,,0,,4.0,
R 2 450 000,8.0,2.0,House,1487m²,,,0,,4.0,
R 695 000,2.0,1.5,Townhouse,3300ha,110m²,R1200,0,R300,,
R 385 000,2.0,1.0,Apartment/Flat,,55m²,R875,0,,,0.0
R 399 000,2.0,1.0,Apartment/Flat,,75m²,R1415,0,R480,1.0,0.0
R 1 450 000,,,House,,,,0,,,
R 1 800 000,3.0,2.5,House,,496m²,,0,R720,1.0,
R 5 500 000,8.0,8.0,House,1983m²,,,0,,8.0,1.0
R 773 000,3.0,1.0,House,200m²,60m²,,0,R300,1.0,
R 1 375 000,2.0,2.0,Townhouse,,97m²,,0,,2.0,1.0
R 4 500 000,5.0,4.0,House,2082ha,,,0,R3656,10.0,
R 2 850 000,,,VacantLand/Plot,927m²,,,0,,,1.0
R 1 895 000,3.0,2.0,House,1488m²,308m²,,0,R1915,2.0,1.0
R 1 350 000,3.0,2.0,House,,70m²,,0,R380,1.0,1.0
R 1 400 000,3.0,2.0,House,495m²,,,0,R600,2.0,1.0
R 950 000,2.0,1.0,Townhouse,,,R1650,0,R640,1.0,
R 665 000,3.0,2.0,Townhouse,,,R100,0,R159,,1.0
R 1 650 000,2.0,2.0,Apartment/Flat,14499m²,82m²,R2200,0,R1170,1.0,0.0
R 28 000 000,,,Apartment/Flat,920m²,,,0,,,
R 2 100 000,2.0,2.0,Apartment/Flat,,87m²,,0,R1230,2.0,0.0
R 950 000,2.0,1.0,Townhouse,,,R1650,0,R640,2.0,0.0
R 1 590 000,2.0,1.0,Apartment/Flat,,133m²,R1000,0,R4000,1.0,0.0
R 620 000,2.0,1.0,Apartment/Flat,,,,0,,1.0,0.0
R 2 950 000,3.0,3.0,House,,,,0,,6.0,
R 949 900,3.0,2.0,Townhouse,26790ha,84m²,R1100,0,,,
R 755 000,2.0,1.0,Apartment/Flat,,51m²,R750,0,R500,2.0,
R 1 950 000,2.0,2.0,Apartment/Flat,,176m²,R5559,0,,1.0,0.0
R 1 350 000,2.0,2.0,House,495m²,,,0,R473,,1.0
R 865 000,3.0,2.0,Apartment/Flat,89m²,89m²,R1327,0,R440,1.0,1.0
R 520 000,2.0,1.0,Apartment/Flat,,53m²,R1600,0,R350,2.0,0.0
R 1 300 000,1.0,1.0,Apartment/Flat,,95m²,R1800,0,R800,1.0,
R 1 749 000,3.0,2.0,Apartment/Flat,,119m²,R4766,0,R1692,1.0,1.0
R 460 000,2.0,1.0,Apartment/Flat,100m²,,,0,,1.0,
R 839 000,2.0,1.0,House,56m²,,R500,0,R200,1.0,
R 380 000,,,CommercialProperty,59m²,,,0,R1200,,
R 3 250 000,3.0,2.0,House,496m²,,,0,,2.0,
R 980 000,3.0,2.5,Apartment/Flat,16792m²,115m²,R2000,0,R620,1.0,0.0
R 1 099 000,2.0,1.0,Townhouse,,105m²,R1552,0,R370,1.0,1.0
R 699 900,1.0,1.0,Apartment/Flat,,,,0,,2.0,
R 1 150 000,9.0,5.0,House,495m²,431m²,,0,R1582,5.0,0.0
R 1 150 000,9.0,5.0,House,495m²,431m²,,0,R1582,5.0,0.0
R 1 495 000,5.0,4.0,House,900m²,,,0,R700,2.0,
R 845 000,1.0,1.0,Apartment/Flat,,62m²,,0,,2.0,0.0
R 735 000,,,Apartment/Flat,,,R1100,0,,,
R 1 950 000,3.0,3.0,House,1102m²,,,0,R782,4.0,1.0
R 755 000,2.0,1.0,Apartment/Flat,,56m²,R1300,0,R150,1.0,
R 2 599 000,8.0,4.0,House,1600m²,,,0,,3.0,
R 765 000,2.0,1.0,Apartment/Flat,,56m²,R600,0,R500,1.0,0.0
R 950 000,2.0,2.0,Apartment/Flat,84m²,84m²,,0,R675,1.0,0.0
POA,,,CommercialProperty,1549m²,260m²,,0,R12541,,
R 4 950 000,3.0,3.0,House,1239m²,,,0,R3490,6.0,
R 1 750 000,3.0,2.0,Apartment/Flat,3530m²,152m²,R4259,0,R1268,1.0,
R 899 000,6.0,2.0,House,362m²,,,0,,,1.0
R 749 000,3.0,1.0,House,,,,0,R700,,1.0
R 4 999 000,3.0,3.0,House,495m²,,,0,,2.0,
R 1 810 000,3.0,3.0,House,,,,0,R710,3.0,1.0
R 580 000,2.0,2.0,Townhouse,64m²,,R1300,0,,,
R 7 495 000,4.0,4.0,House,700m²,485m²,,0,R3500,3.0,1.0
R 2 200 000,2.0,2.0,Townhouse,176m²,96m²,R768,0,R1249,1.0,
R 1 790 000,4.0,3.0,House,585m²,,,0,R312,2.0,0.0
R 985 000,3.0,2.0,Townhouse,,93m²,R810,0,R450,1.0,
R 1 380 000,1.0,1.0,Apartment/Flat,,75m²,,0,,1.0,0.0
R 850 000,1.0,1.0,Apartment/Flat,65m²,65m²,,0,,1.0,0.0
R 6 000 000,,,VacantLand/Plot,1.26ha,,,0,,,
R 839 000,2.0,1.0,Apartment/Flat,,,R824,0,R200,2.0,
R 1 050 000,3.0,1.0,House,495m²,495m²,,0,,,
R 870 000,4.0,3.5,House,495m²,,,0,,6.0,
R 699 000,2.0,1.0,Apartment/Flat,2723m²,79m²,R2300,0,R388,1.0,0.0
R 680 000,2.0,1.0,Townhouse,,51m²,R1500,0,,,0.0
R 1 195 000,3.0,2.0,Apartment/Flat,27902m²,84m²,R1200,0,R600,,
R 1 750 000,,,House,495m²,,,0,,,
R 980 000,2.0,1.5,Apartment/Flat,98m²,98m²,,0,R645,2.0,0.0
R 1 245 000,5.0,2.0,House,,476m²,,0,R100,4.0,1.0
R 3 250 000,2.0,2.0,Apartment/Flat,,143m²,R2917,0,R2486,2.0,1.0
R 2 950 000,3.0,2.0,Apartment/Flat,,170m²,R6500,0,R1807,2.0,
R 950 000,3.0,1.0,House,800m²,200m²,R540,0,R520,3.0,1.0
R 2 500 000,3.0,2.0,House,793m²,,,0,R1400,6.0,
R 895 000,1.0,1.0,Apartment/Flat,79m²,79m²,R2145,0,R535,1.0,
R 780 000,4.0,2.0,House,502m²,501m²,,0,,3.0,
R 640 000,2.0,1.0,Apartment/Flat,,88m²,R2200,0,R275,1.0,
R 1 850 000,2.0,2.0,Apartment/Flat,,118m²,R1979,0,R902,2.0,1.0
R 1 799 000,15.0,13.0,House,495m²,,,0,R1500,,0.0
R 2 495 000,2.0,2.0,Apartment/Flat,,138m²,R4039,0,,1.0,0.0
R 13 000 000,,,CommercialProperty,,,,0,,,
R 620 000,2.0,1.0,Townhouse,60m²,60m²,R1200,0,R200,1.0,
R 1 250 000,,3.0,House,1388m²,,,0,R742,,
R 14 740 000,,,CommercialProperty,2923m²,2923m²,,0,,,
R 2 250 000,3.0,2.0,House,996m²,185m²,,0,R1800,3.0,
R 3 700 000,3.0,2.0,House,1190m²,380m²,,0,R2137,2.0,1.0
R 1 650 000,3.0,2.0,House,994m²,,,0,R439,1.0,1.0
R 1 480 000,3.0,2.0,House,312m²,,,0,R247,2.0,
R 1 450 000,2.0,1.0,Apartment/Flat,,129m²,,0,,1.0,0.0
POA,5.0,3.0,House,4704m²,,,0,R3175,2.0,
R 1 499 000,2.0,1.0,Apartment/Flat,,129m²,R3481,0,R775,1.0,0.0
R 1 250 000,6.0,4.0,House,866m²,,,0,,3.0,
R 3 680 000,4.0,3.0,House,1302m²,,,0,R1550,5.0,
R 1 550 000,3.0,2.0,House,793m²,,,0,R572,2.0,1.0
R 6 499 000,4.0,4.5,House,497m²,,,0,,4.0,
R 1 200 000,3.0,1.0,House,621m²,,,0,R203,2.0,
R 1 200 000,3.0,2.0,House,900m²,,,0,R116,2.0,
R 745 000,2.0,1.0,House,106m²,,R1500,0,R350,1.0,
R 1 095 000,2.0,1.0,Townhouse,5617m²,88m²,,0,R537,1.0,1.0
R 1 599 000,3.0,2.0,Townhouse,,,R1271,0,R952,2.0,0.0
R 1 899 000,2.0,2.0,House,743m²,,,0,R1200,3.0,0.0
R 1 950 000,8.0,4.0,House,600m²,550m²,,0,R612,15.0,1.0
R 2 299 990,5.0,3.5,House,1983m²,,,0,R2227,2.0,1.0
R 1 150 000,3.0,1.0,House,495m²,150m²,,0,R592,3.0,1.0
R 450 000,2.0,1.0,Apartment/Flat,,113m²,,0,R255,2.0,
R 2 750 000,3.0,3.5,Townhouse,,180m²,,0,,2.0,1.0
R 5 500 000,2.0,2.5,House,1136m²,,,0,R3138,5.0,1.0
R 746 000,3.0,1.0,House,200m²,55m²,,0,R450,2.0,1.0
R 1 299 999,4.0,2.0,House,495m²,,,0,,3.0,
R 839 000,2.0,1.0,Apartment/Flat,,56m²,R750,0,R500,2.0,0.0
R 775 000,1.0,1.0,Apartment/Flat,,39m²,R578,0,R242,1.0,
R 380 000,1.0,1.0,Apartment/Flat,,39m²,R1600,0,R400,,
R 1 499 000,3.0,1.0,House,759m²,759m²,,0,,3.0,1.0
R 1 350 000,,,Apartment/Flat,,146m²,R5330,0,R474,,
R 850 000,1.0,1.0,Apartment/Flat,19371m²,76m²,,0,,3.0,
R 2 250 000,4.0,2.0,House,993m²,993m²,,0,R920,2.0,1.0
R 12 800 000,,,CommercialProperty,,,,0,,,
R 999 000,4.0,2.0,House,377m²,,,0,R339,3.0,1.0
R 210 000,0.5,1.0,Apartment/Flat,,28m²,R1038,0,R392,1.0,0.0
R 750 000,3.0,1.0,House,527m²,,,0,R400,3.0,0.0
R 3 599 000,7.0,5.0,House,1031m²,,,0,R1368,7.0,1.0
R 675 000,2.0,1.0,Apartment/Flat,,,R1000,0,R250,1.0,
R 3 499 000,2.0,2.0,Apartment/Flat,,72m²,R2849,0,R2315,2.0,
R 675 000,2.0,1.0,Apartment/Flat,,,R600,0,R200,1.0,
R 3 299 000,3.0,3.0,House,,495m²,,0,,2.0,0.0
R 755 000,2.0,1.0,Apartment/Flat,51m²,,R1300,0,R300,1.0,0.0
R 755 000,2.0,1.0,Apartment/Flat,,51m²,R600,0,R500,1.0,0.0
R 799 000,2.0,1.0,Townhouse,,,R1400,0,R480,2.0,
R 190 000,1.0,1.0,Apartment/Flat,,33m²,R802,0,R438,,
R 2 999 000,3.0,2.5,Townhouse,160m²,160m²,,0,,3.0,
R 675 000,2.0,1.0,Apartment/Flat,,51m²,R750,0,R500,2.0,
R 1 595 000,3.0,2.0,House,866m²,866m²,,0,R790,4.0,1.0
R 839 000,2.0,1.0,Apartment/Flat,,72m²,R309,0,R1975,1.0,0.0
R 5 280 000,5.0,2.0,House,1859m²,850m²,,0,R3588,2.0,1.0
R 770 000,2.0,1.0,Townhouse,122m²,,R463,0,R3000,,
R 665 000,2.0,1.0,Apartment/Flat,,51m²,R750,0,R500,2.0,0.0
POA,5.0,4.0,House,990m²,600m²,R1950,0,R2319,7.0,0.0
R 1 260 000,4.0,2.5,Townhouse,,170m²,R3387,0,R583,1.0,
R 385 000,2.0,1.5,Apartment/Flat,,111m²,R2366,0,,1.0,0.0
R 1 100 000,2.0,2.0,House,,189m²,,0,R425,2.0,0.0
R 915 000,2.0,1.0,Apartment/Flat,,880m²,R2100,0,R400,2.0,0.0
R 2 795 000,4.0,2.0,House,2056m²,,,0,R2400,2.0,1.0
R 1 649 000,3.0,2.5,Apartment/Flat,195m²,195m²,R3700,0,R1435,2.0,
R 3 600 000,2.0,2.5,Apartment/Flat,,350m²,R5700,0,R2700,,0.0
R 380 000,1.0,1.0,Apartment/Flat,,38m²,,0,,2.0,0.0
R 1 199 000,3.0,2.0,Townhouse,,,R880,0,,,0.0
R 6 250 000,2.0,2.5,Apartment/Flat,,171m²,R6720,0,R4104,2.0,1.0
R 10 500 000,5.0,5.0,House,1051m²,560m²,,0,R2446,3.0,1.0
R 1 599 000,3.0,1.0,House,676m²,,,0,R1176,5.0,1.0
R 1 190 000,3.0,1.0,House,496m²,,,0,R602,1.0,
R 769 000,3.0,1.0,House,712m²,709m²,,0,,1.0,1.0
R 765 000,2.0,1.0,Apartment/Flat,,,R750,0,R500,2.0,
R 185 000,1.0,1.0,Apartment/Flat,,,R810,0,,,
R 2 930 000,,,VacantLand/Plot,977m²,,R3200,0,,,
R 680 000,2.0,1.0,Townhouse,,65m²,R1881,0,,1.0,
