price,bedrooms,bathrooms,Type of Property,Erf Size,Floor Size,Levies,Pool,Rates and Taxes,parking space,Pets Allowed
R 699 000,3.0,2.0,Apartment/Flat,6061m²,57m²,R1300,0,R406,2.0,0.0
R 1 750 000,4.0,3.0,House,1017m²,450m²,,0,R750,3.0,
R 1 800 000,4.0,2.0,House,993m²,,,0,R1054,2.0,1.0
R 795 000,2.0,1.5,Apartment/Flat,,110m²,R2000,0,R600,,
R 1 900 900,1.0,2.0,Apartment/Flat,3000m²,112m²,,0,,1.0,1.0
R 8 950 000,5.0,4.0,House,698m²,479m²,,0,R4400,4.0,1.0
R 4 995 000,3.0,2.0,House,1107m²,,,0,R3087,10.0,
R 1 650 000,5.0,3.0,House,2023m²,500m²,,0,R990,11.0,1.0
R 4 995 000,2.0,2.0,House,1239m²,1m²,,0,R3050,5.0,1.0
R 6 995 000,3.0,2.0,House,,460m²,,0,R3574,3.0,1.0
R 4 850 000,3.0,3.0,House,1313m²,1m²,,0,R2800,3.0,1.0
R 675 000,2.0,1.0,Apartment/Flat,,51m²,R750,0,R500,2.0,0.0
R 500 000,2.0,1.0,House,300m²,50m²,,0,R500,2.0,1.0
R 2 500 000 - R 4 300 000,,,,,,,0,,,
R 1 275 000,1.0,1.0,Apartment/Flat,,,R1360,0,R634,1.0,
R 1 025 000,1.0,1.0,Apartment/Flat,,,R1040,0,R463,1.0,
R 4 090 000,3.0,3.0,Apartment/Flat,,,,0,,3.0,
R 765 000,2.0,1.0,Apartment/Flat,,56m²,R750,0,R500,2.0,0.0
R 1 290 000,1.0,1.0,Apartment/Flat,,,,0,,1.0,
R 895 000,1.0,1.0,Apartment/Flat,,,R920,0,R374,1.0,
R 1 250 000,3.0,2.0,House,495m²,,,0,R911,3.0,1.0
R 9 500 000,,,IndustrialProperty,,1100m²,R9500000,0,,,
R 985 000,2.0,2.0,Apartment/Flat,,86m²,R1367,0,R785,1.0,1.0
R 1 595 000,3.0,2.5,House,672m²,200m²,,0,R850,2.0,1.0
R 1 350 000,3.0,2.0,Townhouse,,130m²,R2200,0,R460,1.0,
R 1 150 000,1.0,1.0,Apartment/Flat,,88m²,R1803,0,R394,1.0,0.0
R 3 700 000,5.0,4.0,House,640m²,325m²,R1785,0,R1272,2.0,1.0
R 665 000,2.0,1.0,Apartment/Flat,,51m²,R660,0,R180,1.0,
R 755 000,2.0,1.0,Apartment/Flat,,56m²,R600,0,R200,1.0,
R 675 000,2.0,1.0,Apartment/Flat,,51m²,R1250,0,R250,1.0,
R 665 000,2.0,1.0,Apartment/Flat,51m²,51m²,R1261,0,R150,1.0,0.0
R 755 000,2.0,1.0,Apartment/Flat,56m²,56m²,R1335,0,R150,1.0,0.0
R 2 299 000,2.0,2.0,Apartment/Flat,5121m²,208m²,R2450,0,R3150,2.0,1.0
R 2 488 000,4.0,4.0,House,1450m²,,,0,R1185,4.0,1.0
R 2 550 000,3.0,4.0,House,450m²,,R1100,0,R1200,2.0,
R 765 000,2.0,1.0,Apartment/Flat,,56m²,R1250,0,R250,1.0,
R 4 500 000,,,IndustrialProperty,2685m²,1300m²,,0,,,
R 2 400 000,5.0,2.0,House,995m²,,,0,R1067,2.0,
R 665 000,2.0,1.0,Apartment/Flat,,51m²,R600,0,R200,1.0,
R 2 750 000,4.0,2.0,House,1124m²,,,0,R1381,2.0,1.0
R 665 000,2.0,1.0,Apartment/Flat,,51m²,R600,0,R200,1.0,
R 3 450 000,3.0,2.5,House,1040m²,480m²,,0,R1017,4.0,1.0
R 4 000 000,,,IndustrialProperty,1500m²,910m²,,0,,,
R 800 000,2.0,1.0,Townhouse,,65m²,R1922,0,R500,2.0,
R 2 299 000,3.0,2.0,House,2164m²,,,0,R850,2.0,1.0
R 4 800 000,,,CommercialProperty,270m²,270m²,,0,,,
R 1 890 000,4.0,2.0,House,1170m²,,,0,R2500,5.0,
R 1 195 000,3.0,2.0,Townhouse,,97m²,R1352,0,R795,2.0,1.0
R 850 000,3.0,1.5,Townhouse,68m²,11881m²,R768,0,R480,2.0,
R 850 000,,,VacantLand/Plot,1024m²,1024m²,,0,,,
R 850 000,3.0,2.0,Townhouse,11029m²,67m²,R1700,0,R450,3.0,1.0
R 1 990 900,3.0,3.0,Apartment/Flat,2000m²,174m²,R3600,0,R1750,2.0,0.0
R 1 900 000,3.0,2.0,House,991m²,225m²,,0,R745,2.0,1.0
R 836 770,2.0,1.0,House,180m²,50m²,,0,R300,1.0,1.0
POA,2.0,1.5,Apartment/Flat,,95m²,R3140,0,R441,2.0,
R 950 000,2.0,1.0,Townhouse,8000m²,70m²,R1650,0,R640,2.0,
R 600 000,2.0,1.0,Townhouse,,63m²,R790,0,R545,1.0,
R 699 000,2.0,1.0,Townhouse,,96m²,R1200,0,R250,2.0,
R 1 250 000,6.0,4.0,House,495m²,495m²,,0,R455,5.0,1.0
R 950 000,2.0,1.0,Townhouse,,70m²,R1650,0,R640,1.0,
R 850 000,3.0,2.0,House,250m²,70m²,,0,R500,2.0,1.0
R 395 000,3.0,2.0,Apartment/Flat,,128m²,R1400,0,,1.0,0.0
R 580 000,2.0,1.0,Apartment/Flat,53m²,53m²,R1374,0,R267,1.0,0.0
R 2 495 000,2.0,2.0,Townhouse,,185m²,R3035,0,R1500,2.0,1.0
R 740 000,1.0,1.0,Apartment/Flat,,80m²,R2500,0,R750,2.0,0.0
R 1 990 900,1.0,2.0,Apartment/Flat,2500m²,129m²,R3561,0,R3120,1.0,1.0
R 6 000 000,,,IndustrialProperty,1400m²,1400m²,,0,,,
POA,4.0,3.0,House,1487m²,,,0,R764,3.0,
R 5 195 000,4.0,4.5,House,2065m²,499m²,,0,R2852,4.0,1.0
R 1 699 000,3.0,2.5,Apartment/Flat,,246m²,,0,R1280,3.0,
R 4 782 000,,,,,,,0,,,
R 910 500,3.0,2.0,House,300m²,59m²,,0,R300,1.0,1.0
R 950 000,2.0,1.0,Townhouse,70m²,42992m²,R1650,0,R586,,
R 290 000,1.0,1.0,Apartment/Flat,496m²,50m²,R674,0,,1.0,
R 5 399 000,2.0,2.5,Apartment/Flat,,156m²,R5186,0,,2.0,
R 680 000,1.0,1.0,Apartment/Flat,,68m²,R2548,0,R1391,,0.0
R 35 000 000,,,CommercialProperty,1998m²,1998m²,,0,,,
R 850 000,1.0,1.0,Apartment/Flat,,44m²,R2298,0,R363,1.0,0.0
R 650 000,2.0,2.0,Apartment/Flat,70m²,70m²,R991,0,R400,1.0,1.0
R 665 000,2.0,1.0,Apartment/Flat,,51m²,R600,0,R200,1.0,
POA,,,IndustrialProperty,1539m²,1539m²,,0,R1,,
R 3 370 000,4.0,2.5,House,1380m²,350m²,R1,0,R1895,4.0,1.0
R 4 320 000,,,IndustrialProperty,3600m²,3600m²,,0,,,
R 8 317 400,,,IndustrialProperty,6398m²,6300m²,,0,,,
R 679 000,3.0,1.5,House,366m²,,,0,R343,3.0,
R 545 000,3.0,1.0,House,350m²,69m²,,0,R594,1.0,1.0
R 880 000,1.0,1.0,Apartment/Flat,,46m²,R2094,0,R638,,
R 1 700 000,2.0,1.0,Apartment/Flat,,136m²,R2400,0,R800,2.0,
R 1 575 000,,,,,,,0,,,
R 662 040,2.0,1.0,House,150m²,45m²,,0,R300,,1.0
R 1 149 000,2.0,2.0,Apartment/Flat,1m²,1m²,R1610,0,R500,1.0,0.0
R 755 000,2.0,1.0,Apartment/Flat,,56m²,R1250,0,R250,1.0,
R 519 995,0.5,1.0,Apartment/Flat,6354m²,32m²,R1100,0,R300,1.0,0.0
R 1 780 000,4.0,3.0,House,775m²,,,0,,2.0,1.0
R 3 250 000,3.0,4.0,House,1490m²,450m²,,0,R1585,3.0,1.0
R 1 550 000,2.0,2.0,Townhouse,25583m²,97m²,R2594,0,R959,3.0,1.0
R 849 000,2.0,1.0,Townhouse,70m²,,R1350,0,R496,,
R 7 500 000,,,CommercialProperty,1395m²,,,0,,,
R 1 250 000,1.0,1.0,Townhouse,22705m²,70m²,R2072,0,R747,1.0,1.0
R 695 000,1.0,1.0,Apartment/Flat,,83m²,R2508,0,R359,,0.0
R 10 500 000,,,CommercialProperty,12058m²,,,0,,,
POA,,,CommercialProperty,2970m²,2970m²,R1,0,R1,,
R 665 000,3.0,2.0,Townhouse,22301m²,76m²,R1390,0,R159,1.0,
R 1 750 000,3.0,2.0,House,600m²,600m²,,0,R1600,1.0,
R 699 000,2.0,1.0,Townhouse,96m²,1273m²,R100,0,R350,1.0,
R 495 000,1.0,1.0,Apartment/Flat,,60m²,R1687,0,R1235,,0.0
R 2 700 000 - R 5 400 000,,,,,,,0,,,
R 8 950 000,5.0,4.0,House,698m²,479m²,,0,R4476,4.0,
R 2 850 000,3.0,2.0,House,743m²,,,0,R1471,3.0,1.0
R 1 600 000,2.0,1.0,Apartment/Flat,4965m²,97m²,R3320,0,R800,1.0,
R 1 580 000,3.0,2.5,House,495m²,395m²,,0,R416,3.0,1.0
R 6 495 000,3.0,3.0,House,2023m²,,,0,R4088,5.0,1.0
R 995 000,,,House,485m²,,,0,,,
R 2 800 000,6.0,2.5,House,1207m²,550m²,,0,R1700,3.0,1.0
R 2 475 000,2.0,2.0,Apartment/Flat,,127m²,R3575,0,R1373,1.0,
R 3 850 000,3.0,2.0,House,340m²,280m²,R3890,0,R2250,6.0,1.0
R 5 995 000,4.0,3.0,House,1487m²,,,0,R2467,5.0,1.0
R 5 995 000,4.0,4.0,House,630m²,568m²,R1757,0,R2471,2.0,
