price,bedrooms,bathrooms,parking space,Type of Property,Erf Size,Floor Size,Levies,Rates and Taxes,Pool,Pets Allowed
R 570 000,2,1,1,Apartment/Flat,,60m²,R1200,R350,1,
R 3 000 000,,,1,House,6120m²,1300m²,,R7621,0,
R 1 399 000,4,2,2,House,595m²,195m²,,,0,
R 3 150 000,3,2,2,House,500m²,,R1680,,1,
R 1 450 000,3,2,2,House,,,,R650,0,1.0
R 699 000,2,1,1,Apartment/Flat,11297m²,70m²,R1300,R500,0,
R 1 200 000,3,1,5,House,496m²,,,R405,0,
R 1 650 000,2,1,4,House,157m²,,,R891,0,1.0
R 895 000,2,1,2,House,248m²,180m²,,R140,0,1.0
R 2 300 000,3,3,4,House,496m²,,,,0,1.0
R 1 450 000,3,2,2,Townhouse,,100m²,R1590,R562,1,
R 980 000,6,2,6,Townhouse,3474m²,203m²,R2560,R367,0,1.0
R 1 649 900,2,2,1,Townhouse,,114m²,R1710,R1113,1,1.0
POA,,,,IndustrialProperty,9500m²,1631m²,,,0,
R 1 700 000,2,1,1,House,495m²,,,,0,
R 5 195 000,3,2.5,2,Townhouse,,318m²,,,1,1.0
R 4 399 000,4,3,2,House,559m²,559m²,,R1910,1,1.0
R 7 900 000,6,5.5,4,House,,362m²,,,1,
R 2 999 000,3,2,2,Townhouse,,191m²,R3959,R1607,1,0.0
R 5 500 000,3,3,3,House,1020m²,,,,1,1.0
R 1 290 000,3,2,2,House,,91m²,R2200,R770,1,1.0
R 4 900 000,,,,,,,,,0,
R 3 750 000,3,2,2,House,1119m²,370m²,,,1,1.0
R 2 059 300,4,2,2,House,240m²,189m²,R900,R1600,0,1.0
R 920 000,4,2,,House,545m²,,,,0,
R 3 750 000,3,3,3,House,495m²,,,,1,1.0
R 1 585 000,5,2,5,House,539m²,,,,0,0.0
R 400 000,0.5,1,,Apartment/Flat,,26m²,R1121,R580,0,0.0
R 815 000,3,1,2,House,200m²,65m²,,R300,0,1.0
R 3 800 000,3,2,2,Apartment/Flat,684m²,255m²,R2042,R1936,1,0.0
R 765 000,2,1,1,Apartment/Flat,,,R500,R200,0,
R 3 450 000,3,2,5,House,1983m²,1m²,,R3000,1,1.0
R 675 000,2,1,1,Apartment/Flat,51m²,51m²,R1261,R150,0,0.0
R 839 000,2,1,1,Apartment/Flat,56m²,56m²,R1335,R150,0,0.0
R 13 500 000,4,3.5,4,House,1208m²,720m²,,R4600,1,1.0
R 545 000,2,1,1,Townhouse,,64m²,R950,R250,1,1.0
R 500 000,,,,VacantLand/Plot,,,,,0,
R 995 000,3,1.5,2,Townhouse,1006m²,116m²,R1200,R328,0,1.0
R 690 000,2,2,2,Apartment/Flat,,80m²,R1558,R426,0,
R 1 687 000,1,1,,Apartment/Flat,125m²,125m²,,,1,
R 2 699 000,3,2,2,Apartment/Flat,,159m²,R2895,,0,0.0
R 755 000,2,1,1,Apartment/Flat,,,R500,R200,0,
R 1 600 000,4,2,4,House,992m²,,,R667,0,
R 599 000,2,1,1,Apartment/Flat,58m²,58m²,,R355,0,0.0
R 665 000,2,1,,House,,,R1065,,0,
R 665 000,2,1,,Apartment/Flat,,,R1065,,0,
R 699 000,3,2,2,Townhouse,,70m²,R900,R400,0,
R 2 400 000,2,2,2,Apartment/Flat,2028m²,108m²,R3950,R1699,0,1.0
R 2 059 300,3,3,3,House,,,R800,R1000,0,1.0
R 3 490 000,3,2,3,House,1012m²,,,R2400,1,1.0
R 450 000,3,1,2,Apartment/Flat,993m²,75m²,R800,R600,0,
R 895 000,3,1,3,House,518m²,,,R601,0,1.0
R 980 000,3,2,4,House,652m²,196m²,,R800,0,1.0
R 2 495 000,2,2,2,Apartment/Flat,,,,,0,
R 980 000,3,1,1,House,495m²,,,R488,1,1.0
R 1 149 000,3,1,3,House,496m²,,,R151,0,1.0
R 3 100 000,4,2,2,House,496m²,265m²,,R1199,0,0.0
R 839 000,2,1,1,Apartment/Flat,,,R500,R200,0,
R 2 200 000,4,1.5,2,House,495m²,495m²,,R680,1,
R 520 000,2,1,1,Apartment/Flat,,,,,0,0.0
R 975 000,3,2,1,Townhouse,,73m²,R1193,R565,0,
R 650 000,1,1,1,Apartment/Flat,,48m²,,,1,0.0
R 755 000,2,1,1,Apartment/Flat,,51m²,R1300,R150,0,1.0
R 7 900 000,6,7,6,House,1588m²,,,,1,
R 2 600 000,5,3,3,House,1337m²,500m²,R1,R740,0,1.0
R 3 800 000,4,2,4,House,1077m²,,,R2000,1,1.0
R 699 000,2,1,1,Apartment/Flat,56m²,56m²,,R355,0,0.0
R 1 999 000,4,3.5,4,House,826m²,,,R3067,0,0.0
R 9 899 000,3,3,1,Apartment/Flat,237m²,237m²,R7065,,0,0.0
R 1 299 999,3,2,,Townhouse,10838m²,98m²,R300,R650,1,0.0
R 485 000,1,1,1,Apartment/Flat,3025m²,39m²,,R335,0,
R 135 000,,1,,Apartment/Flat,743m²,39m²,,,0,0.0
R 895 000,3,2,1,House,379m²,,,R700,0,
R 660 000,2,1,,Townhouse,,57m²,R1200,R369,1,
R 6 250 000,4,3.5,8,House,2012m²,,,,1,1.0
R 675 000,2,1,1,Apartment/Flat,51m²,51m²,R1261,R150,0,0.0
R 839 000,2,1,1,Apartment/Flat,56m²,56m²,R1335,R150,0,0.0
R 755 000,2,1,1,Apartment/Flat,51m²,51m²,R1261,R150,0,0.0
R 870 000,1,1,1,Apartment/Flat,77m²,77m²,,R1290,0,0.0
R 3 500 000,3,3,4,House,743m²,220m²,,R1390,1,
R 2 350 000,2,2,,Apartment/Flat,2028m²,108m²,R2890,R1490,0,1.0
R 900 000,1,1.5,1,Apartment/Flat,,126m²,R3398,R575,0,
R 3 190 000,2,2,4,House,495m²,,,R2387,1,1.0
R 689 000,1,1,1,Apartment/Flat,,50m²,R2082,R338,1,0.0
R 890 000,6,6,,Apartment/Flat,,,,,0,
POA,,,,IndustrialProperty,1797m²,707m²,,,0,
R 1 050 000,3,2,1,House,495m²,,,R1350,1,1.0
R 1 750 000,3,2,,Apartment/Flat,3971m²,141m²,R2763,R1270,1,
R 2 399 000,3,4,1,Townhouse,,,,R1300,0,
R 7 900 000,4,3,4,House,545m²,,,R3786,1,1.0
R 649 000,,,,,,,,,0,
R 899 000,3,2,,House,495m²,,,,0,1.0
R 4 200 000,5,3.5,4,House,1086m²,,,,1,0.0
R 1 250 000,3,1,3,House,,,,R1000,1,1.0
R 760 000,2,1,,Townhouse,2978m²,78m²,R1212,R400,1,1.0
R 2 450 000,2,2,4,House,495m²,,,,0,1.0
R 3 195 000,6,6,4,House,1007m²,,,R1500,1,1.0
R 3 518 900,2,2,,Apartment/Flat,74.5m²,74m²,R2000,,0,
R 500 000,1,1,1,Apartment/Flat,,36m²,R800,R300,1,
R 1 050 000,1,1,1,Apartment/Flat,,114m²,R833,R738,0,0.0
R 850 000,2,1,1,Apartment/Flat,,,,,0,0.0
R 755 000,2,1,1,Apartment/Flat,,,R1100,R200,0,
R 675 000,2,1,1,Apartment/Flat,,,R1000,R250,0,
R 665 000,2,1,2,Apartment/Flat,,,R1000,R250,0,
R 1 325 000,3,2,2,House,495m²,,,R460,0,1.0
R 550 000,0.5,1,1,Apartment/Flat,,33m²,R786,,0,0.0
R 3 400 000,4,3,3,House,778m²,339m²,,,0,1.0
R 1 600 000,4,1.5,1,House,1155m²,,,R848,0,1.0
R 5 800 000,3,2,3,House,2445m²,,,,0,1.0
R 1 680 000,3,2,1,House,1487m²,,,,1,1.0
R 1 799 000,3,2,,House,1091m²,250m²,,,1,1.0
R 1 799 000,1,1,1,Apartment/Flat,55m²,55m²,R1440,R1714,0,0.0
R 765 000,2,1,2,Apartment/Flat,,56m²,R824,R200,0,
R 3 450 000,3,2,5,House,1009m²,,,R2510,0,
R 7 895 000,4,2.5,2,House,2505m²,,,,1,1.0
POA,,,,IndustrialProperty,,,,,0,
R 1 800 000,3,2,2,Townhouse,,152m²,,,1,1.0
R 549 000,2,1,1,Apartment/Flat,61m²,61m²,,R340,1,0.0
R 1 990 000,2,2,,Apartment/Flat,,69m²,R2500,R1520,0,
R 2 650 000,2,2.5,2,House,495m²,1m²,,R1900,1,1.0
R 5 499 000,3,3.5,4,Townhouse,,340m²,R2300,R3100,1,1.0
R 700 000,3,1,,Townhouse,,67m²,R2181,,0,
R 675 000,2,1,1,Apartment/Flat,51m²,51m²,R1200,R250,0,1.0
R 1 650 000,3,1,4,House,743m²,,,,0,1.0
R 1 480 000,3,2,2,House,1000m²,,,R770,0,1.0
R 1 190 000,3,1,2,House,495m²,,,R361,0,
R 1 999 999,3,2.5,1,Townhouse,600m²,254m²,R2336,,1,1.0
R 980 000,2,1,1,Apartment/Flat,,58m²,R1200,,0,0.0
R 1 299 000,3,2,,Townhouse,,101m²,,,0,0.0
R 525 000,0.5,1,,Apartment/Flat,,,R2305,,0,
POA,,,,VacantLand/Plot,2337m²,,,,0,
R 1 975 000,2,2,2,Apartment/Flat,,87m²,R2755,R1130,1,0.0
R 3 900 000,,,,CommercialProperty,,275m²,R6875,R9029,0,
R 2 150 000,5,3,2,House,510m²,,,R900,0,1.0
R 450 000,1,1,1,Apartment/Flat,1800m²,46m²,R1000,R300,1,0.0
R 1 900 000,3,2,,House,995m²,,,,0,0.0
R 2 899 000,,,,IndustrialProperty,700m²,700m²,,,0,
R 2 495 000,3,3,3,House,793m²,,,R734,1,
R 4 250 000,4,2.5,2,House,495m²,,,,1,
R 773 000,3,2,1,House,200m²,60m²,,R300,0,
R 2 200 000,,,,Apartment/Flat,313m²,320m²,,,0,
R 4 995 000,3,2,2,House,743m²,260m²,,R2700,1,1.0
R 850 000,2,1,1,Townhouse,20100m²,60m²,R1594,R433,1,
R 1 285 000,3,3,2,Townhouse,8836m²,152m²,R2300,R653,1,1.0
R 1 700 000,,,,CommercialProperty,88607m²,31m²,R1770,,0,
R 2 000 000,3,3,,Apartment/Flat,208m²,208m²,,,0,
R 3 450 000,3,2,2,House,498m²,,,R2169,1,0.0
R 1 500 000,3,2.5,2,House,413m²,,,R1500,0,
R 840 000,4,2,6,House,317m²,317m²,,R497,0,1.0
R 4 599 000,4,3.5,2,House,1859m²,,,R2698,0,1.0
R 1 000 000,4,1,1,Townhouse,521m²,,,R223,0,
R 1 500 000,3,2,1,House,,,,,0,
R 3 995 000,5,3.5,3,House,1487m²,660m²,,R3800,1,1.0
R 1 049 990,2,,2,Townhouse,,80m²,R1030,R700,1,1.0
R 1 999 000,2,2,1,Apartment/Flat,,137m²,R2200,R604,0,
R 3 500 000,3,2.5,4,House,1020m²,,,R2692,1,1.0
R 2 200 000,3,2,1,Apartment/Flat,,165m²,R4560,R984,1,1.0
R 3 364 900,2,2,,Apartment/Flat,83m²,83m²,R2000,,0,
R 880 000,3,2,,House,,,R1100,R441,0,
R 3 390 000,,,,VacantLand/Plot,925m²,,,,0,
R 2 750 000,3,2,2,House,496m²,200m²,,,1,1.0
R 2 599 000,8,4,,House,1617m²,400m²,,R1865,0,
R 1 549 000,3,2,4,House,991m²,,,R928,0,1.0
R 1 450 000,3,1.5,1,House,847m²,,,,0,1.0
R 650 000,3,1,1,Townhouse,,84m²,R1360,R400,0,
R 665 000,2,1,1,Apartment/Flat,,,R1261,R150,0,0.0
R 2 399 000,3,2,2,House,499m²,,,,1,
R 10 000 000,,,,IndustrialProperty,2000m²,2000m²,,,0,
R 600 000,5,2,2,House,310m²,185m²,,,0,1.0
R 3 675 000,3,2,2,House,332m²,,,,0,1.0
R 1 290 000,4,2,2,House,495m²,,,R500,1,
R 5 499 999,4,4.5,3,House,607m²,607m²,,R3250,0,1.0
R 1 900 000,,,,CommercialProperty,519m²,,,R1096,0,
R 2 888 888,6,6,5,House,1700m²,,,,0,
R 3 199 999,3,2,7,House,743m²,,,,1,1.0
R 890 000,3,1,2,House,570m²,,,,1,1.0
R 10 000 000,,,,CommercialProperty,3468m²,3468m²,,,0,
R 1 650 000,4,2,8,House,1144m²,,,R900,1,
R 900 000,2,1,1,Townhouse,,83m²,,,0,0.0
R 899 000,2,2,1,Apartment/Flat,2985m²,106m²,R1800,,0,
R 560 000,2,1,1,Apartment/Flat,,,,,0,0.0
R 299 999,3,1,2,Apartment/Flat,,,,,0,
R 1 095 000,3,2,2,House,600m²,,,,0,
R 720 000,2,1,1,Apartment/Flat,79m²,79m²,R2300,R388,0,0.0
POA,,,,IndustrialProperty,20039m²,,,,0,
R 485 000,1,1,,Apartment/Flat,,64m²,R1882,,0,
R 9 900 000,3,5,2,Apartment/Flat,,365m²,R6500,R5200,1,1.0
R 500 000,2,1,1,Townhouse,,125m²,R850,,0,
R 810 000,2,1,2,Townhouse,,68m²,R1400,,0,
R 950 000,2,1,1,Townhouse,,98m²,R2180,R267,0,
R 885 000,3,1,3,House,500m²,,,R127,0,1.0
R 4 490 000,3,2.5,2,House,372m²,,R3890,R2460,0,
R 4 800 000,3,3,5,House,4200m²,,,R865,1,1.0
R 5 300 000,4,3.5,2,House,1320m²,450m²,,,1,1.0
R 799 000,3,2.5,1,House,453m²,,,R471,0,0.0
R 1 350 000,3,2,2,House,515m²,,,,1,
R 4 495 000,3,3,5,House,630m²,411m²,R1900,R2000,0,
R 600 000,2,1,,Apartment/Flat,,64m²,R1882,,0,
R 625 000,1,1,,Townhouse,4361m²,55m²,R1300,R443,1,0.0
R 427 000,1.5,1,2,Apartment/Flat,,79m²,R1486,R259,0,0.0
R 3 295 000,3,2,1,House,1914m²,,,R1750,1,
R 2 000 000,3,2.5,2,House,600m²,254m²,R2300,R1200,1,1.0
R 1 200 000,3,2,2,Townhouse,,98m²,R1500,R550,0,
R 1 450 000,2,1,1,Apartment/Flat,2535m²,96m²,R2044,R568,0,
R 1 040 000,3,1,,House,495m²,,,R1050,1,1.0
R 3 200 000,2,3,3,House,744m²,330m²,,R1258,1,1.0
R 750 000,2,2,2,Townhouse,,96m²,R1400,R490,1,1.0
R 720 000,3,,2,House,400m²,120m²,,R250,0,1.0
R 2 195 000,3,2,8,House,1858m²,,,,1,1.0
R 12 500 000,,,,CommercialProperty,2147m²,2147m²,,,0,
R 990 000,3,2,2,House,518m²,,,R355,1,
R 2 750 000,4,3,6,House,,,,R1500,0,
R 380 000,2,1.5,1,Apartment/Flat,3416m²,87m²,R1850,R200,1,0.0
R 2 395 000,4,2,3,House,1008m²,,,R780,1,
R 665 000,2,1,,Apartment/Flat,,,R1065,,0,
R 900 000,2,1,1,House,,,,R1000,0,
R 1 150 000,4,3,1,House,480m²,,,,1,1.0
R 1 700 000,2,2,2,Apartment/Flat,,,R3471,R1230,1,
R 1 980 000,4,2,,House,996m²,,,R1174,1,1.0
R 1 300 000,3,1,3,House,495m²,,,,0,1.0
R 750 000,3,3,3,House,1045m²,222m²,,R589,0,1.0
R 1 200 000,3,1,1,House,520m²,,,R452,0,
R 240 000,,1,1,Apartment/Flat,2221m²,29m²,,,0,0.0
R 1 150 000,3,1,2,House,396m²,,,R500,0,1.0
R 4 299 000,3,3,2,Apartment/Flat,221m²,221m²,R8346,R705,1,
R 3 800 000,,,,CommercialProperty,1486m²,300m²,,R1462,0,
R 3 195 000,4,3,2,House,400m²,368m²,R3493,R1326,1,1.0
R 3 350 000,4,2,7,House,1000m²,420m²,,R1400,0,1.0
R 1 400 000,4,1,2,House,840m²,,,,0,
R 450 000,2,1,,Apartment/Flat,,76m²,,R171,0,
R 750 000,2,1,2,Townhouse,154m²,110m²,R1177,R570,0,
R 5 900 000,4,4.5,2,House,1338m²,450m²,R600,R2410,1,
R 2 195 000,4,2.5,2,House,1585m²,,,,1,1.0
R 724 000,3,2,,House,56m²,56m²,,R300,0,1.0
R 1 399 000,4,2.5,10,House,1000m²,,,,0,1.0
R 950 000,3,2,2,House,1063m²,,,R275,0,1.0
R 2 900 000,4,3,6,House,1014m²,,,,0,1.0
R 350 000,1,1,1,Apartment/Flat,992m²,48m²,R639,R150,0,0.0
R 2 900 000,4,2,2,House,310m²,340m²,R3228,R1264,1,1.0
R 1 500 000,4,2.5,2,House,497m²,,,R540,0,1.0
R 3 390 000,,,,VacantLand/Plot,977m²,,,,0,
R 839 000,2,1,1,House,,56m²,R820,R150,0,
R 7 600 000,4,4,5,House,3257m²,,,R4445,1,1.0
R 620 000,1,1,,Apartment/Flat,994m²,45m²,,,0,0.0
R 1 150 000,9,5,5,House,495m²,431m²,,R1582,0,0.0
R 780 000,4,1,3,House,495m²,233m²,,,0,1.0
R 550 000,3,1,2,Townhouse,,57m²,R1000,R400,0,0.0
R 1 300 000,3,1,,House,495m²,,,R502,1,1.0
R 4 500 000,5,4,10,House,2082ha,,,R3656,1,
R 39 950 000,,,,VacantLand/Plot,,,,,0,
R 2 400 000,4,3,2,House,2500m²,,,,0,
R 1 200 000,3,2,1,Apartment/Flat,,99m²,,R1650,0,
R 395 000,1,1,1,Apartment/Flat,39m²,39m²,,R930,1,0.0
R 2 950 000,3,3,3,House,743m²,120m²,,,1,
R 755 000,2,1,1,Apartment/Flat,,51m²,R600,R600,0,1.0
R 2 650 000,3,1,15,House,2479m²,,,,1,
R 1 790 000,3,2,4,House,,992m²,,R1109,0,1.0
R 19 000 000,,,,IndustrialProperty,5000m²,2500m²,,,0,
R 695 000,2,1.5,,Townhouse,3300ha,110m²,R1200,R300,0,
R 1 200 000,1,1,1,Apartment/Flat,,98m²,,,0,
R 615 000,2,1,2,Townhouse,71m²,71m²,R1344,R261,1,0.0
R 950 000,3,1,,House,248m²,,,,0,
R 1 995 000,3,2,2,House,992m²,,,R954,0,1.0
R 7 800 000,3,3.5,5,Townhouse,478m²,388m²,R2000,R3035,1,1.0
R 1 700 000,2,2,2,Apartment/Flat,,90m²,R3180,R1175,1,0.0
R 3 750 000,3,3,2,Apartment/Flat,,240m²,R4804,,1,1.0
R 385 000,2,1,,Apartment/Flat,,55m²,R875,,0,0.0
R 1 650 000,3,2,3,House,495m²,300m²,,R600,1,1.0
R 850 000,3,2,2,House,200m²,70m²,,R400,0,1.0
R 3 700 000,,,,VacantLand/Plot,,,,,0,
R 2 350 000,,,,House,1205m²,,,,0,
R 25 000 000,4,4.5,13,House,4050m²,,,R9900,1,1.0
R 8 500 000,3,2.5,6,House,2215m²,,,R3571,1,
R 1 400 000,3,2,2,House,495m²,,,R600,0,1.0
R 2 500 000,3,2,2,House,1100m²,,,R850,0,1.0
R 495 000,1,1,2,Apartment/Flat,,49m²,R1100,R270,1,0.0
POA,3,3,,House,1000m²,,,,0,
R 1 024 000,1,1,2,Apartment/Flat,,64m²,,,1,
R 1 502 000,2,2,2,Apartment/Flat,,91m²,,,1,
R 1 638 000,3,2,2,Apartment/Flat,,117m²,,,1,
R 755 000,2,1,1,Apartment/Flat,,,R500,R200,0,
R 839 000,2,1,1,Apartment/Flat,,,R500,R200,0,
R 230 000,1,1,,Apartment/Flat,42m²,,R240,R120,0,
R 3 380 000,2,2,2,House,495m²,,,R2959,0,1.0
R 7 500 000,,,,Farm,,,,,0,
R 4 500 000,3,3,2,House,495m²,,,,1,1.0
R 1 100 000,1,1,1,Apartment/Flat,,96m²,,R600,0,
R 1 195 000,3,2,2,Townhouse,,97m²,R1352,R551,1,
R 760 000,2,1,1,Apartment/Flat,75m²,75m²,R1176,R442,1,1.0
R 1 150 000,3,2,3,House,495m²,,,R500,0,1.0
R 1 650 000,3,2,1,House,994m²,,,R439,1,1.0
R 680 000,2,1,1,Townhouse,,53m²,R490,R460,1,0.0
R 400 000,2,1,,Townhouse,,59m²,,,0,
R 660 000,2,1,2,Apartment/Flat,48m²,48m²,,R545,0,0.0
R 2 795 000,2,2,3,House,495m²,,,R1846,1,1.0
R 1 899 000,2,2,3,House,743m²,,,R1200,0,0.0
R 2 250 000,3,1.5,2,House,1012m²,300m²,,R1700,0,1.0
R 1 950 000,8,4,15,House,600m²,550m²,,R612,1,1.0
R 2 199 000,16,7.5,,House,1000m²,,,R800,1,1.0
R 720 000,2,1,,Townhouse,15635m²,61m²,R1200,R450,0,0.0
R 850 000,2,2,3,Townhouse,,103m²,R1899,R490,0,1.0
R 1 670 000,3,2,2,House,762m²,280m²,,R686,0,1.0
R 1 150 000,9,5,5,House,495m²,431m²,,R1582,0,0.0
R 1 150 000,9,5,5,House,495m²,431m²,,R1582,0,0.0
R 375 000,0.5,1,,Apartment/Flat,,26m²,R718,,0,0.0
R 629 000,2,1,1,Apartment/Flat,,60m²,R500,R1400,0,0.0
R 585 000,2,1,1,Townhouse,,44m²,,,0,
R 900 000,3,3,1,Apartment/Flat,,,R4000,R550,0,0.0
R 2 800 000,3,3,5,House,500m²,,,,1,1.0
R 1 520 000,3,3,3,House,1144m²,,,R688,1,1.0
R 2 150 000,3,2,1,Apartment/Flat,,,,R1000,0,
R 4 250 000,5,3,,House,1176m²,,,,1,1.0
R 4 200 000,3,2,4,House,1020m²,,,,1,1.0
R 1 375 000,2,2,2,Townhouse,,97m²,,,1,1.0
R 1 195 000,2,2,3,House,495m²,,,R375,0,1.0
R 1 390 000,3,1.5,1,House,,,,,0,1.0
R 6 500 000,,,,CommercialProperty,2477m²,,,,0,
R 1 150 000,4,2,,House,495m²,,,,0,
R 2 250 000,7,4,7,House,1059m²,,,R1074,0,
R 645 880,2,1,1,House,150m²,40m²,,R300,0,1.0
R 1 990 000,,,,CommercialProperty,995m²,,,,0,
R 765 000,2,1,1,Apartment/Flat,56m²,56m²,R1335,R150,0,0.0
R 399 710,1,1,,Apartment/Flat,20m²,20m²,R1288,R529,0,0.0
R 675 500,2,1,1,Apartment/Flat,1712m²,79m²,R1821,R132,0,
R 1 150 000,3,2,2,House,520m²,520m²,,R860,0,1.0
R 1 300 000,3,1,1,House,495m²,,,R450,0,1.0
R 1 499 000,15,13,,House,495m²,,,R1500,0,0.0
R 675 000,2,2,2,Apartment/Flat,17315m²,69m²,R900,R420,0,0.0
R 13 000 000,,,,CommercialProperty,1644m²,,,,0,
R 3 995 000,3,2.5,3,House,1003m²,,,,1,1.0
R 1 650 000,2,2,1,Apartment/Flat,14499m²,82m²,R2200,R1170,0,0.0
R 495 000,1,1,1,Apartment/Flat,32m²,32m²,,R300,1,0.0
R 790 000,2,1,1,Townhouse,1ha,96m²,R1300,R468,1,
R 1 250 000,3,2,1,Townhouse,,165m²,,,0,
R 1 350 000,2,2,,House,495m²,,,R473,0,1.0
R 1 500 000,9,3,7,House,734m²,,,R350,0,
R 1 050 000,6,2,6,House,495m²,,,R260,0,
R 395 000,1,1,1,Apartment/Flat,44m²,44m²,,R995,1,0.0
R 240 000,,1,1,Apartment/Flat,2221m²,30m²,,,0,0.0
R 900 000,5,2,3,House,480m²,,,R278,0,
R 10 228 900,3,3.5,3,Apartment/Flat,,237m²,R6319,,0,0.0
R 2 750 000,4,6,2,House,,,,R1200,0,
R 2 500 000,,,,VacantLand/Plot,920m²,,R3100,,0,
R 560 000,1,1,1,Apartment/Flat,,46m²,R1257,,1,0.0
R 1 799 000,3,2,7,House,1487m²,,,R960,1,
R 5 499 000,,,,Farm,,1m²,,R1500,1,
R 2 750 000,3,2,1,Townhouse,,211m²,R5971,R1579,0,
R 178 000,,1,,Apartment/Flat,1487m²,30m²,,,0,0.0
R 850 000,1,1,1,Apartment/Flat,96m²,96m²,R2643,R930,0,1.0
R 760 000,1,1,2,Apartment/Flat,51m²,51m²,,R510,1,0.0
POA,,,,House,,,,,0,
R 881 500,3,2,,House,250m²,,,R300,0,
R 755 000,2,1,1,Apartment/Flat,,56m²,R1300,R150,0,
R 7 495 000,4,4,3,House,700m²,485m²,,R3500,1,1.0
R 2 700 000,3,2,2,House,397m²,,,,1,1.0
R 650 000,2,2,1,Apartment/Flat,,109m²,R2500,R450,0,
R 650 000,3,1,1,House,400m²,,,,0,0.0
R 3 200 000,,,,VacantLand/Plot,851m²,,R3200,,0,
R 995 000,3,2,4,House,495m²,,,,0,1.0
R 340 000,0.5,1,1,Apartment/Flat,,33m²,R850,R250,0,
R 1 499 000,2,2,4,House,694m²,,,,0,1.0
R 6 900 000,,,,CommercialProperty,,,,,0,
R 749 000,3,1,,House,,,,R700,0,1.0
R 2 300 000,3,2,6,House,1487m²,450m²,,R1828,1,1.0
R 3 900 000,8,5,1,House,1983m²,,,R3059,1,1.0
R 985 000,2,1,5,House,594m²,,,R257,0,1.0
R 1 550 000,3,2,2,House,793m²,,,R572,0,1.0
R 4 950 000,3,3,6,House,1239m²,,,R3490,1,
R 5 999 000,4,4.5,4,House,497m²,,,,0,
R 3 795 000,7,7,4,House,1258m²,,,R1600,0,
R 670 000,,,,Apartment/Flat,,,R1100,,0,
R 1 950 000,3,3,4,House,1102m²,,,R782,1,1.0
R 1 300 000,1,1,1,Apartment/Flat,,95m²,R1800,R800,0,
R 1 299 000,5,3,1,House,600m²,,,R695,1,
R 7 450 000,3,2,3,House,,,,,0,
R 2 850 000,3,3.5,4,House,1017m²,700m²,,,1,1.0
R 4 900 000,3,2,2,House,1020m²,,,,1,
POA,4,4,4,House,3366m²,,,,1,
R 850 000,5,2,3,House,,,,R226,0,
R 380 000,1,1,,Apartment/Flat,,39m²,R1600,R400,0,
R 755 000,2,1,1,Apartment/Flat,,56m²,R1335,R150,0,0.0
R 899 000,2,2,1,Townhouse,97m²,97m²,R2930,R498,1,
R 630 000,2,1,,Apartment/Flat,,66m²,R1381,R334,0,
R 850 000,1,1,1,Apartment/Flat,,45m²,R1500,R575,1,0.0
R 290 000,1,1,1,House,,75m²,R550,R350,0,
R 899 000,2,2,,Townhouse,,,R2930,R497,1,1.0
R 1 200 000,3,1,6,House,495m²,,,,0,
R 5 500 000,2,2.5,5,House,1136m²,,,R3138,1,1.0
R 654 000,3,2,,House,150m²,60m²,,R300,0,1.0
R 399 000,2,1,1,Apartment/Flat,,75m²,R1415,R480,0,0.0
R 380 000,1,1,1,Apartment/Flat,,,,,0,
R 8 688 900,3,3.5,3,Apartment/Flat,,188m²,R5832,,0,0.0
R 950 000,3,1,3,House,800m²,200m²,R540,R520,0,1.0
R 620 000,2,1,1,Townhouse,60m²,60m²,R1200,R200,0,
R 450 000,2,1,1,Apartment/Flat,,76m²,R2100,R171,0,
R 899 000,3,2.5,3,House,600m²,237m²,,R598,0,0.0
R 800 000,2,1,,Townhouse,5053m²,65m²,,,0,
R 850 000,1,1,3,Apartment/Flat,19371m²,76m²,,,0,
R 699 900,1,1,2,Apartment/Flat,,,,,1,
R 1 850 000,4,2,1,House,603m²,,,,0,1.0
R 1 300 000,3,2,3,House,495m²,,,R410,0,
R 699 000,1,1,1,Apartment/Flat,916m²,85m²,R700,R2500,0,
R 895 000,1,1,1,Apartment/Flat,79m²,79m²,R2145,R535,0,
R 1 050 000,3,2,2,House,248m²,,,R359,0,
R 385 000,2,1.5,1,Apartment/Flat,,111m²,R2366,,0,0.0
R 1 810 000,3,3.5,8,House,2401m²,,,R710,0,1.0
R 1 850 000,3,2,2,Townhouse,162m²,162m²,R2575,R1028,0,1.0
R 950 000,3,1,2,House,496m²,,,R450,0,0.0
R 4 999 000,3,3.5,2,Apartment/Flat,,171m²,R7000,R4000,1,
R 980 000,3,2.5,1,Apartment/Flat,16792m²,115m²,R2000,R620,0,0.0
R 3 950 000,3,2,,House,1238m²,,,,1,
R 1 480 000,3,2,2,House,312m²,,,R247,0,
R 54 043 000,,,,IndustrialProperty,,6358m²,,,0,
R 1 950 000,5,3,1,House,498m²,360m²,,,0,1.0
R 765 000,2,1,1,Apartment/Flat,,,R500,R200,0,
R 3 500 000,3,2,2,Apartment/Flat,,,R2300,R2000,1,
R 1 599 000,3,2,2,Townhouse,,,R1271,R952,1,0.0
R 3 800 000,3,2,2,House,1033m²,,,,1,
R 680 000,2,1,,Townhouse,,51m²,R1500,,0,0.0
R 775 000,1,1,1,Apartment/Flat,,39m²,R578,R242,0,
R 1 895 000,3,2,5,House,1487m²,,,,1,0.0
