price,bedrooms,bathrooms,parking space,Type of Property,Erf Size,Floor Size,Levies,Rates and Taxes,Pool,Pets Allowed
R 2 564 500,3,2,2,Townhouse,248m²,185m²,R3500,R1656,1,
R 1 899 000,2,2.5,1,Townhouse,126m²,106m²,R3450,R840,1,1.0
R 850 000,2,1,1,Apartment/Flat,69m²,69m²,R1035,R343,0,0.0
R 689 000,2,1,1,House,200m²,50m²,R150,R150,0,1.0
POA,,,,IndustrialProperty,4500m²,,,R9500,0,
POA,,,,CommercialProperty,495m²,,,,0,
R 1 800 000,4,3,15,House,,,,R1200,0,
R 2 400 000,4,4,14,House,2024m²,340m²,,R1000,1,1.0
R 500 000,2,1,,House,300m²,,,R500,0,1.0
R 790 000,1,1,1,Apartment/Flat,,,,,1,
R 665 000,2,1,1,House,,51m²,R1000,R750,0,0.0
POA,,,,CommercialProperty,2252m²,2252m²,,R1,0,
R 755 000,2,1,1,Apartment/Flat,,56m²,R1300,R300,0,0.0
R 10 000 000,3,3.5,2,Apartment/Flat,,730m²,R10545,R3579,1,1.0
R 5 399 000,4,3,4,House,1447m²,421m²,,R2147,1,1.0
R 3 300 000,4,5,1,House,1205m²,385m²,,,1,1.0
R 6 214 000,,,,CommercialProperty,,143m²,R5470,R7724,0,
R 675 000,2,1,1,Apartment/Flat,,,R1000,R250,0,
R 665 000,2,1,1,Apartment/Flat,,51m²,R1200,,0,1.0
R 1 295 000,3,3,4,House,545m²,,,,0,1.0
R 64 800 000,8,11,12,House,4196m²,2000m²,,,1,1.0
R 8 499 900,,,,,,,,,0,
R 1 464 875,3,2,1,House,240m²,100m²,R900,R1600,0,1.0
R 1 345 000,3,2,1,House,300m²,83m²,R550,R450,0,1.0
R 750 000,2,1,1,Townhouse,,62m²,R1500,R350,1,0.0
R 3 499 000,3,2,15,House,1487m²,,,,0,
R 789 990,3,1,,House,,,,,0,
R 755 000,2,1,2,Apartment/Flat,,56m²,R824,R200,0,
R 2 650 000,3,2.5,2,House,1180m²,,,R2900,1,1.0
R 2 349 000,,,,Apartment/Flat,,78m²,R3600,,0,
R 630 000,1,1,,Townhouse,1166m²,34m²,R843,R875,1,0.0
R 16 000 000,42,42,36,House,1756m²,,,,0,
R 665 000,2,1,1,House,,51m²,R750,R1000,0,0.0
R 990 000,1,1,1,House,,75m²,R3200,R717,0,
R 2 500 000,3,3,2,House,743m²,,,,0,
R 2 200 000,3,2,2,House,509m²,,,,0,
R 770 000,3,1,7,House,770m²,165m²,,R439,0,
R 675 000,2,1,1,Apartment/Flat,51m²,51m²,R1261,R150,0,0.0
R 1 113 000,4,2.5,1,House,300m²,104m²,,R300,0,1.0
R 2 699 000,2,1,2,Apartment/Flat,,150m²,,,0,0.0
R 999 000,3,2,1,Apartment/Flat,,112m²,R1720,R587,0,
POA,,,,House,,,,,0,
R 4 298 000,3,2,8,House,1550m²,,,R1157,0,1.0
R 1 575 000,,,,,,,,,0,
R 2 350 000,4,5,2,House,,,R1200,R1200,0,
R 590 000,1,1,1,Apartment/Flat,1193m²,50m²,R1021,R390,1,0.0
R 3 999 000,3,4.5,3,House,495m²,,,R2429,0,1.0
R 950 000,3,1,3,House,475m²,,,,0,1.0
R 1 550 000,3,1,11,House,2023m²,,,R859,0,1.0
R 1 175 000,3,3,1,House,992m²,,,,0,
R 480 000,1,1,,Apartment/Flat,,50m²,,,0,
