price,bedrooms,bathrooms,parking space,Type of Property,Erf Size,Floor Size,Levies,Rates and Taxes,Pool,Pets Allowed
R 400 000,1,1,1,Apartment/Flat,,,,,0,
R 3 150 000,3,3,4,House,498m²,,,R2021,0,1.0
R 550 000,1,1,1,Apartment/Flat,,41m²,,,0,
R 1 690 000,2,3.5,2,Apartment/Flat,,114m²,R3715,R595,1,0.0
R 1 350 000,2,1,2,House,669m²,,,,0,1.0
R 1 050 000,3,2,,House,250m²,95m²,R1912,R531,0,
R 3 775 000,9,7,9,House,1983m²,543m²,,R3310,1,1.0
R 1 300 000,3,2,3,House,991m²,,,,0,1.0
R 3 800 000,3,2,2,House,660m²,,,R2116,1,1.0
R 1 439 000 - R 1 458 000,,,,,,,,,0,
R 1 280 000,,,,House,,,,,0,
R 665 000,2,1,2,Apartment/Flat,,,R1200,R250,0,
R 1 200 000,3,2,,Townhouse,,,,,0,
R 720 000,3,1,1,Townhouse,15632m²,70m²,,R389,1,0.0
R 430 000,1,1,1,Apartment/Flat,,34m²,R1812,R96,0,0.0
R 1 100 000,3,2,3,House,495m²,,,,0,
R 3 499 999,2,2,3,House,495m²,250m²,,,0,1.0
R 1 599 000,3,2,3,House,495m²,,,,1,1.0
R 3 450 000,3,3,6,House,1018m²,,,R2742,1,
R 1 195 000,3,2,1,Townhouse,,,,,1,
R 2 871 000,4,3,2,Apartment/Flat,,200m²,,R1460,0,0.0
R 5 199 000,3,2,3,Apartment/Flat,,330m²,R6500,R2800,1,0.0
R 845 000,2,2,1,Apartment/Flat,,67m²,R1354,R450,0,0.0
R 3 200 000,4,2,7,House,1091m²,360m²,,R1098,1,1.0
R 550 000,2,1.5,2,Apartment/Flat,,87m²,R1136,,1,1.0
R 950 000,2,1,1,Apartment/Flat,,,,,0,
R 8 500 000,4,3,2,House,2748m²,,,R2167,1,1.0
R 1 380 000,3,1,2,Townhouse,101m²,101m²,,R670,1,1.0
R 638 000,3,2,1,Townhouse,,,,,1,
R 6 250 000,3,3,3,House,1633m²,1615m²,R3747,,1,
R 2 475 000 - R 2 499 000,,,,,,,,,0,
R 490 000,2,1,1,Townhouse,3806m²,76m²,R800,R259,0,
R 950 000,4,2,1,House,,,,,0,1.0
R 1 450 000,3,2,,House,600m²,,,,0,1.0
R 2 500 000,3,2.5,2,Townhouse,,133m²,R3805,R1677,0,1.0
R 1 750 000,3,1.5,1,House,944m²,944m²,,R984,1,1.0
R 832 000,1,1,1,Apartment/Flat,,52m²,,,1,
R 1 595 000,3,2,4,House,495m²,274m²,,,0,1.0
R 410 000,1,1,1,Apartment/Flat,,,R1461,,0,
R 490 000,3,2,,Apartment/Flat,496m²,119m²,R1827,,0,
R 3 590 000,4,2,8,House,2335m²,,,R2400,1,1.0
R 325 000,2,1,1,Apartment/Flat,1243m²,107m²,,,0,0.0
R 950 000,2,1,1,Apartment/Flat,1263m²,58m²,R1380,R437,0,0.0
R 1 750 000,3,2,2,House,,,,,1,
R 1 250 000,4,3,3,House,,,,,1,1.0
POA,,,,CommercialProperty,,,,,0,
R 1 999 000,4,2,2,House,,,,,0,0.0
R 2 100 000,2,2.5,2,Townhouse,118m²,118m²,R2300,R1500,0,1.0
R 4 750 000,3,3.5,4,House,1020m²,,,,1,1.0
R 629 000,,,,,,,,,0,
R 850 000,3,2,2,House,200m²,70m²,,R450,0,1.0
R 695 000,1,1,1,Townhouse,,,R287,R308,0,
R 2 499 000,5,4,2,House,840m²,,,,1,
R 269 000,1,1,1,Apartment/Flat,1243m²,95m²,,,0,0.0
R 799 000,1,1,1,Townhouse,10390m²,45m²,,R471,1,0.0
R 799 000,3,2,5,House,450m²,140m²,,R350,1,1.0
R 2 950 000,3,2,3,House,496m²,,,R1900,1,1.0
R 750 000,,,,VacantLand/Plot,,,,,0,
R 390 000,,1,,Apartment/Flat,,31m²,R2000,R900,0,
R 1 000 000,6,5,,House,495m²,,,,0,
R 3 499 000,3,2,2,House,1000m²,,,,1,1.0
R 1 250 000,3,2,,House,900m²,,,R1500,0,1.0
R 950 000,2,1,1,House,,,R1650,R640,1,0.0
R 899 000,2,2.5,1,Townhouse,,106m²,R1488,R375,0,1.0
R 620 000,2,1,1,Townhouse,1273m²,90m²,,R336,0,0.0
R 2 450 000,4,2,8,House,,,,,1,
R 2 950 000,3,2,2,House,1850m²,,,,0,
R 1 810 000,3,3,3,House,,,,R710,0,
R 1 099 000,4,2,2,House,,,,,0,
R 1 600 000,1,1,2,Apartment/Flat,,69m²,,,1,1.0
R 675 000,2,1,1,Apartment/Flat,,,R1200,R150,0,
R 1 050 000,2,2,1,Townhouse,,86m²,R1504,R787,1,
R 4 000 000,,,,CommercialProperty,,,,,0,
R 1 290 000,3,1,6,House,,,,R445,0,
R 1 150 000,3,2,8,House,474m²,,,R650,0,1.0
R 1 650 000,3,2,6,House,1750m²,140m²,,R1000,1,1.0
R 420 000,1,1,1,Apartment/Flat,41m²,41m²,,R950,1,0.0
R 995 000,,,,CommercialProperty,,,,,0,
R 2 400 000,3,2,6,House,743m²,,,,0,
R 2 999 999,4,3.5,3,House,1804m²,461m²,,R1838,1,1.0
R 1 395 000,2,2,2,Apartment/Flat,,101m²,R2100,R906,0,1.0
R 685 000,2,1,2,House,,48m²,,R500,0,1.0
R 999 999,2,2,2,Apartment/Flat,,81m²,,,0,
R 715 000,2,1,,Apartment/Flat,1414m²,73m²,R3135,,0,
R 1 011 750,3,2,,Townhouse,,84m²,,,0,
R 675 000,1,1,2,Townhouse,8965m²,53m²,R789,R165,0,
R 2 499 900 - R 3 099 900,,,,,,,,,0,
R 2 250 000,3,3,2,House,411m²,,,,1,1.0
R 1 899 000,3,1.5,4,House,1121m²,,,R840,0,1.0
R 1 900 000,5,3,8,House,960m²,350m²,,,1,
R 2 650 000,3,2.5,7,House,2660m²,,,R1585,1,1.0
R 1 600 000,2,2,1,Apartment/Flat,,82m²,R2000,R1338,0,0.0
R 665 000,2,1,,Apartment/Flat,,,R1200,,0,
R 665 000,2,1,,House,,,R1200,,0,
R 755 000,2,1,1,Apartment/Flat,200m²,51m²,R1400,R250,0,1.0
R 1 464 875,3,2,2,House,240m²,100m²,R900,R1600,0,1.0
R 780 000,3,1,,House,,,,,0,
R 1 025 000,2,2,2,Townhouse,,98m²,R1296,R605,0,1.0
R 1 058 000,1,,1,Apartment/Flat,,105m²,R2872,R750,0,1.0
R 620 000,1,1,1,Apartment/Flat,,,R1873,R360,1,
R 1 099 000,3,2,1,Townhouse,5337m²,97m²,R1800,R648,1,
R 2 700 000,5,3.5,4,House,1487m²,900m²,,R2000,1,1.0
R 549 000,2,1,2,Apartment/Flat,61m²,61m²,,R340,1,0.0
R 1 490 000,2,1,,Apartment/Flat,,80m²,R1503,R646,0,1.0
R 1 750 000,4,3,5,House,742m²,350m²,,R1022,0,1.0
R 1 730 000,12,4,,House,324m²,220m²,,R248,0,1.0
R 750 000,2,2,2,House,450m²,,,R356,0,1.0
R 2 395 000,2,2,,Apartment/Flat,,162m²,R4246,R1613,0,0.0
R 2 275 000,3,3,4,House,1612m²,1612m²,,R1174,0,1.0
R 1 649 999,4,2.5,4,House,,,,,1,
R 860 000,2,2,2,House,248m²,,,,0,
R 1 550 000,3,2,5,House,495m²,,,R505,1,1.0
R 780 000,1,1,,Apartment/Flat,,62m²,R2454,,0,0.0
R 16 899 000,4,4,4,Apartment/Flat,,412m²,R20000,R9900,1,
R 950 000,3,1,1,House,495m²,130m²,,R520,0,1.0
POA,3,2,2,House,1245m²,146m²,,R400,0,1.0
R 895 000,3,2,2,House,750m²,140m²,,R1850,1,1.0
R 1 700 000,1,1,1,Apartment/Flat,,63m²,R3151,,1,0.0
R 1 999 999,6,3,2,House,965m²,,,,1,1.0
R 1 750 000,3,2,2,House,594m²,594m²,,R1600,1,
R 690 000,1,1,,Apartment/Flat,,81m²,R2319,R376,0,0.0
R 1 200 000,3,3,,Townhouse,118m²,,,,1,
R 3 200 000,5,4,2,House,918m²,,,,0,
R 800 000,3,1,1,House,,,,R450,0,1.0
R 1 495 000,2,2.5,2,Townhouse,,123m²,R1908,,0,0.0
R 2 999 000,1,1.5,1,Townhouse,4579m²,124m²,R1945,R1886,1,1.0
R 3 250 000,,,,VacantLand/Plot,840m²,,,,0,
