price,bedrooms,bathrooms,parking space,Type of Property,Erf Size,Floor Size,Levies,Rates and Taxes,Pool,Pets Allowed
R 1 550 000,5,2,3,House,991m²,,,,0,
R 450 000,3,1,1,Apartment/Flat,,,,,0,
R 665 000,3,2,2,Apartment/Flat,,76m²,R1390,R159,0,1.0
R 699 000,1,1,,Apartment/Flat,,62m²,,,0,0.0
R 1 700 000,3,,2,House,1300m²,,,,0,
R 699 000,2,1,1,House,,,R1200,R250,0,0.0
R 1 250 000,2,2,1,House,45m²,45m²,R950,R450,0,
R 10 322 500,,,,IndustrialProperty,8258m²,,,,0,
R 2 995 000,4,2.5,2,Townhouse,,268m²,R3366,R1059,1,1.0
R 599 000,2,1,2,Apartment/Flat,68m²,68m²,,R420,0,0.0
R 410 000,1,1,,Apartment/Flat,2779m²,36m²,R998,,0,0.0
R 2 600 000,2,2.5,1,Apartment/Flat,6790m²,137m²,R4291,R1225,1,1.0
R 1 750 000,10,6.5,7,House,1388m²,,,R800,0,
R 30 000 000,5,8.5,4,House,4015m²,,,,0,1.0
R 649 000,1,1,1,Apartment/Flat,1591m²,67m²,R3000,,0,1.0
R 1 299 000,2,1,1,House,495m²,,,,0,1.0
R 1 650 000,3,2,6,House,992m²,,,R963,0,1.0
R 2 700 000 - R 5 400 000,,,,,,,,,0,
R 2 450 000,5,2.5,4,House,1487m²,,,R1300,1,0.0
R 2 450 000,4,2,13,House,1267m²,,,R785,1,1.0
R 1 495 000,2,3,,Townhouse,,123m²,R1900,,1,
R 1 200 000,3,3,1,Townhouse,,,,,0,
R 825 000,2,1.5,2,Townhouse,,104m²,R2365,,0,1.0
R 470 000,2,1,,Apartment/Flat,,84m²,,R1200,0,
R 2 599 000,4,2,6,House,990m²,,,R1233,1,1.0
R 1 995 000,,,,VacantLand/Plot,4198m²,,,,0,
R 320 000,1,1,1,Apartment/Flat,,59m²,R700,R500,0,0.0
R 1 495 000,2,2,3,House,1029m²,,,,1,
R 1 650 000,12,4,6,Apartment/Flat,495m²,560m²,,,0,
R 730 000,3,1.5,2,Townhouse,,,,R410,0,0.0
R 1 715 000,4,3,6,House,495m²,,,R801,0,1.0
R 1 125 000,3,2,2,Apartment/Flat,,96m²,,,1,1.0
R 1 149 000 - R 1 219 000,,,,,,,,,0,
R 1 599 000,,,,Townhouse,10390m²,99m²,R1271,,0,
R 655 000,2,1,1,Apartment/Flat,,50m²,R1200,R150,0,
R 1 389 313,3,2,2,House,240m²,89m²,R900,R1600,0,1.0
R 675 000,2,1,1,Apartment/Flat,51m²,51m²,R1261,R150,0,0.0
R 799 999,1,1,1,Apartment/Flat,,84m²,R1318,,0,0.0
R 2 495 000,4,2,4,House,1113m²,,,R1435,1,1.0
R 1 799 000,3,2,4,House,362m²,,,,0,1.0
R 765 000,2,1,1,Apartment/Flat,,56m²,R700,R200,0,
R 755 000,2,1,1,Apartment/Flat,,56m²,R1300,R150,0,
R 15 500 000,4,4.5,3,House,3965m²,,,,1,
R 3 299 000,2,2.5,2,Apartment/Flat,,,R2472,R1652,1,1.0
R 699 000,2,1,2,Apartment/Flat,56m²,56m²,,R355,0,0.0
R 1 350 000,3,2,1,House,545m²,,,,1,0.0
R 2 600 000,3,2.5,2,House,2180m²,,,R1650,1,1.0
R 3 495 000,4,3.5,10,House,1889m²,,,R2312,1,1.0
R 1 375 000,2,1.5,1,Apartment/Flat,,135m²,R3216,R1070,1,
R 540 000,3,1,1,Townhouse,,57m²,R1400,,1,
R 550 000,2,1,1,Apartment/Flat,,62m²,R1788,R351,1,
R 19 000 000,,,,CommercialProperty,7000m²,7000m²,,,0,
R 890 000,3,2,1,Townhouse,45999m²,,R1100,R800,0,0.0
R 1 650 000,1,1,1,Apartment/Flat,,96m²,R1900,R800,0,
R 1 650 000,2,2,6,House,485m²,,,,0,1.0
R 1 599 000,2,1,5,House,420m²,,,,0,1.0
R 839 000,2,1,1,Apartment/Flat,,,R500,R200,0,
R 950 000,3,3,12,House,911m²,,,,0,0.0
R 850 000,3,2,5,House,495m²,,,R355,0,1.0
R 900 000,3,1,2,House,365m²,,,,0,
R 7 399 000,3,3.5,2,House,749m²,,R1500,R4319,1,1.0
R 727 500,2,1,,Apartment/Flat,,69m²,R1047,,0,
R 3 200 000,,,,VacantLand/Plot,908m²,,R3200,,0,
R 3 500 000,3,2,2,Apartment/Flat,,221m²,R9617,R2257,1,
R 600 000,2,1,1,Apartment/Flat,2976m²,50m²,R900,R350,0,
R 699 000,2,1,1,Apartment/Flat,,,R700,,0,0.0
R 695 000,3,2,1,Townhouse,10263m²,68m²,R780,R390,0,0.0
R 7 950 000,5,5,13,House,2032m²,750m²,,,1,1.0
R 1 699 900 - R 2 399 900,,,,,,,,,0,
R 10 500 000,,,,VacantLand/Plot,10.5ha,,,,0,
R 2 495 000,4,2,4,House,1984m²,260m²,,R1200,1,
R 2 200 000,3,2,1,Apartment/Flat,,165m²,,,1,1.0
POA,,,,House,,,,,0,
R 1 200 000,3,2,4,House,488m²,,,,1,1.0
R 755 000,2,1,1,Apartment/Flat,,51m²,R1200,R150,0,
R 2 650 000,,,,CommercialProperty,,,,,0,
POA,,,,CommercialProperty,2974m²,,,,0,
R 4 600 000,4,3,3,House,1150m²,,,,1,
R 900 000,3,2,2,Townhouse,,133m²,R1500,R500,0,
R 2 100 000,4,2.5,2,House,1011m²,343m²,,R509,0,1.0
