price,bedrooms,bathrooms,Type of Property,Erf Size,Floor Size,Levies,Rates and Taxes,Pets Allowed,Pool,parking space
R 2 499 000,4,3,House,991m²,380m²,,R915,1.0,0,4
R 1 271 290,,,CommercialProperty,496m²,496m²,,,,0,
R 1 800 000,,,CommercialProperty,495m²,,,R265,,0,
R 13 500 000,,,CommercialProperty,3600m²,,,,,0,
R 949 999,4,3,Townhouse,993m²,131m²,R2280,R680,0.0,0,2
R 1 799 999,3,2,Apartment/Flat,,96m²,R3956,,0.0,1,2
R 770 000,2,2,Apartment/Flat,83m²,,,,,0,2
R 530 000,2,1.5,Apartment/Flat,86m²,86m²,R800,R280,,0,2
R 3 200 000,2,2,Apartment/Flat,155m²,155m²,,,1.0,1,2
R 4 899 000,3,2,House,1145m²,350m²,,,1.0,1,5
R 1 350 000,3,2,House,1232m²,,,,,0,2
R 755 000,,,Apartment/Flat,,,R1200,,,0,
R 765 000,2,1,Apartment/Flat,,,R1200,R250,,0,1
R 5 700 000,,,CommercialProperty,992m²,992m²,,,,0,
R 2 700 000 - R 5 400 000,,,,,,,,,0,
