price,bedrooms,bathrooms,Type of Property,Erf Size,Floor Size,Levies,Rates and Taxes,Pets Allowed,Pool,parking space
R 550 000,1,1,Apartment/Flat,,,,,,0,
R 7 990 000,5,4.5,House,,,,,,1,4
R 179 999,,1,Apartment/Flat,1487m²,41m²,,,0.0,0,
R 2 950 000,2,2,House,1245m²,,,R2015,,0,4
R 3 350 000,3,2,House,863m²,,,,,0,8
R 1 825 000,4,3,House,495m²,320m²,,R696,1.0,0,4
R 1 550 000,2,1.5,Apartment/Flat,,138m²,R2400,,1.0,0,2
R 350 000,,1,Apartment/Flat,500m²,23m²,,,0.0,0,
R 10 000 000,,,CommercialProperty,,,,,,0,
R 720 000,3,1.5,Townhouse,9920m²,58m²,R850,R392,0.0,0,1
R 1 499 999,4,3,House,495m²,,,,,0,1
R 3 150 000,5,3,House,1259m²,1259m²,,R1107,1.0,1,2
R 895 000,1,1,Apartment/Flat,,54m²,R2097,,,1,1
R 3 200 000,4,3,House,1374m²,,,,,1,4
R 465 000,,1,Apartment/Flat,,27m²,R1038,R210,0.0,1,1
R 1 200 000,3,2,House,870m²,,,,,0,
R 8 500 000,3,3.5,House,790m²,,,R4836,,1,5
R 2 297 000,5,3,House,996m²,,,R1282000,,0,2
R 1 349 000,3,2,House,840m²,,,R689,,1,3
R 1 750 000,3,2,House,495m²,,,R865,1.0,0,3
R 2 700 000,3,2,Townhouse,,257m²,,,1.0,0,2
R 1 585 000,,,House,,,,,,0,
R 3 980 000,5,4,House,532m²,400m²,,,,1,2
R 400 000,1,1,Apartment/Flat,,,,,,1,
R 4 300 000,2,2,Apartment/Flat,,141m²,R6954,,0.0,1,2
R 919 000,5,2,House,674m²,,,R456,,0,2
R 570 000,2,1,Townhouse,,,,,,0,2
R 23 000 000,,,CommercialProperty,1164m²,851m²,,,,0,
R 550 000,2,1,Apartment/Flat,3806m²,77m²,R1067,R260,0.0,0,1
R 4 995 000,4,3.5,Townhouse,,317m²,,,1.0,1,2
R 1 520 000 - R 1 755 000,,,,,,,,,0,
R 1 799 999,2,2,Apartment/Flat,,111m²,R3250,,0.0,1,1
R 690 000,1,1,Apartment/Flat,48m²,,R2184,R435,1.0,1,2
R 755 000,2,1,Apartment/Flat,,,R1200,R250,,0,1
R 765 000,2,1,Apartment/Flat,,,R1200,R250,,0,1
R 1 350 000,2,2,House,495m²,,,R647,1.0,0,4
R 5 400 000,5,5,House,2360m²,630m²,,R3925,,1,4
R 850 000,3,1,House,,,,,1.0,0,2
R 1 300 000,5,2,House,330m²,,,R573,1.0,0,
R 295 000,1,1,Apartment/Flat,,,R735,,0.0,0,
R 3 300 000,12,12,House,495m²,,,,,0,8
R 260 000,1,1,House,,,,,,0,
R 720 000,,,Townhouse,,,R2300,,,0,
R 25 990 000,80,80,Apartment/Flat,,6000m²,R145000,R95000,,0,
R 2 700 000,,,CommercialProperty,495m²,,,,,0,
R 450 000,,,House,,,,,,0,
R 800 000,3,1,Townhouse,15635m²,83m²,R1300,R500,0.0,0,2
R 1 149 000 - R 1 219 000,,,,,,,,,0,
R 675 000,0.5,1,Apartment/Flat,,55m²,R1548,R590,,0,1
R 430 000,,,VacantLand/Plot,1044m²,1044m²,,,,0,
R 1 239 000,3,2,Townhouse,,106m²,R1322,,,1,1
R 3 570 000,2,2,Apartment/Flat,71.4m²,71m²,R3400,,,0,
R 780 000,3,2,House,345m²,,,R290,,0,
