price,bedrooms,bathrooms,parking space,Type of Property,Levies,Rates and Taxes,Pool,Floor Size,Pets Allowed,Erf Size
R 800 000,3,1,,House,,R175,0,942m²,1.0,
R 6 450 000,2,1,3,Apartment/Flat,R3720,,0,157m²,,4054m²
R 1 150 000,3,2,2,House,,,0,,,248m²
R 829 000,2,1,,Apartment/Flat,R878,R229,0,70m²,,
R 430 000,0.5,1,,Apartment/Flat,R1015,R636,0,34m²,1.0,
R 686 000,2,1,1,Townhouse,R1900,R360,0,,0.0,
R 350 000,1,1,1,Apartment/Flat,R792,R923,0,33m²,0.0,
R 1 350 000,,,,Apartment/Flat,,,0,,,
R 450 000,0.5,1,1,Apartment/Flat,R900,R200,1,24m²,0.0,655m²
R 3 315 000,1,1.5,2,Apartment/Flat,,,0,96m²,,96m²
R 1 900 000,,,,IndustrialProperty,,,0,650m²,,500m²
R 1 199 000,2,1,2,House,R500,,0,280m²,,740m²
R 720 000,3,2,2,Townhouse,R1189,R448,1,78m²,0.0,
R 2 350 000,,,,IndustrialProperty,,,0,339m²,,339m²
R 550 000,1.5,1,2,Apartment/Flat,R1112,R700,0,78m²,,
R 4 000 000,,,,CommercialProperty,,,0,,,2527m²
R 899 000,5,3,5,House,,,0,,,800m²
R 1 300 000,4,2,,Townhouse,,,0,,0.0,495m²
R 5 500 000,4,2.5,2,House,,,0,,,1257m²
R 650 000,2,1,1,Apartment/Flat,R850,R370,0,,,
R 599 000,,,,Townhouse,R790,,0,,,
R 8 799 000,3,3,2,Apartment/Flat,,,1,212m²,0.0,
R 1 700 000,3,2,2,House,,R1700,1,,1.0,1530m²
R 2 300 000,3,2,4,House,,R1025,1,,,1487m²
R 890 000,2,1,1,Apartment/Flat,R350,R400,0,,0.0,
R 850 000,2,1,,Apartment/Flat,R1700,R400,0,75m²,0.0,36749m²
R 3 600 000,13,8,10,Apartment/Flat,,R953,0,,,740m²
R 5 500 000,,,,IndustrialProperty,,,0,3200m²,,3200m²
R 2 200 000,2,1,1,Apartment/Flat,R1796,R615,1,88m²,,
POA,,,,IndustrialProperty,,,0,496m²,,496m²
R 160 000,1,1,,Apartment/Flat,R1173,,0,,,
R 1 850 000,3,2,3,Apartment/Flat,R3000,,1,,0.0,
R 2 995 000,3,5,,House,,,0,,,496m²
R 2 400 000,4,3,,House,,,0,,,495m²
R 399 000,0.5,1,,Apartment/Flat,R1000,R300,0,35m²,0.0,
R 920 000,2,2,2,Townhouse,R2000,R433,1,103m²,1.0,
R 320 000,2,2,2,Apartment/Flat,R800,R200,0,122m²,0.0,4990m²
R 760 000,3,1.5,1,House,,R380,0,,1.0,250m²
R 1 195 000,1,1,1,Apartment/Flat,R2481,R858,1,102m²,0.0,
R 1 299 000,3,2,,Apartment/Flat,R3100,,0,,,132m²
R 6 200 000,4,2,,House,,,1,,,2181m²
R 1 741 000,2,2,2,Apartment/Flat,R1741,,0,101m²,1.0,
R 2 750 000,3,2,2,House,,R2200,1,266m²,1.0,1000m²
R 550 000,2,1,2,Apartment/Flat,R980,R380,0,60m²,0.0,
R 4 500 000,5,3.5,5,House,,,0,,,1360m²
R 1 550 000,2,2,2,Apartment/Flat,R2672,R1375,0,105m²,1.0,
R 1 250 000,3,2,3,House,,,1,,0.0,
R 610 000,2,1,1,Apartment/Flat,R1300,R300,1,60m²,,
R 1 200 000,3,2,8,House,,R694,1,,1.0,589m²
R 1 150 000,2,1,1,Townhouse,R2340,R828,1,67m²,0.0,
R 710 000,1,1,1,Apartment/Flat,,,1,,0.0,
R 420 000,2,1,1,Apartment/Flat,R950,R250,0,70m²,,3000m²
R 999 000,2,1,1,Apartment/Flat,R1600,R650,0,,,
R 4 300 000 - R 4 600 000,,,,,,,0,,,
R 1 850 000,2,2.5,3,Apartment/Flat,R3000,R1200,1,,0.0,
R 1 950 000,5,3,2,House,,R980,0,550m²,,1900m²
R 850 000,3,1,1,House,,R468,0,,1.0,260m²
R 850 000,3,2,,House,,,0,,,496m²
R 6 780 000,,,,House,,,0,,,
R 489 000,1,1,,Apartment/Flat,R2100,R400,0,35m²,0.0,
R 3 300 000,2,2.5,2,Apartment/Flat,,,0,92m²,1.0,
R 950 000,2,1,1,Apartment/Flat,,R467,0,120m²,0.0,
R 999 000,2,1,,Townhouse,R1353,,0,,,80m²
R 285 000,1,1,,Apartment/Flat,R718,R403,0,29m²,,1487m²
R 795 000,2,2,2,Apartment/Flat,R350,R440,0,,0.0,
R 1 350 000,3,2,2,House,,,1,,1.0,495m²
R 465 000,2,1,1,Apartment/Flat,,,0,,,
R 3 700 000,3,1,2,House,,R1824,1,,1.0,496m²
R 699 000,1,1,,Apartment/Flat,R332,R881,0,43m²,,
R 890 000,2,1,1,Apartment/Flat,R1900,R400,0,103m²,,2080m²
R 21 550 000,3,3.5,2,Apartment/Flat,,,0,,1.0,
R 8 950 000,5,4.5,5,House,,R3300,1,501m²,1.0,880m²
R 3 099 000,3,2.5,8,House,,,1,,,1487m²
R 3 700 000,3,2,2,House,,,1,,1.0,1031m²
R 1 500 000,3,1,1,House,,,0,,,
R 65 000,,,,VacantLand/Plot,,,0,,,
R 2 900 000,4,3,4,House,,,0,,,1320m²
R 1 900 000,1,1,1,Apartment/Flat,,,1,,0.0,
R 2 650 000,3,2,2,House,,R1306,1,,,1984m²
R 870 000,4,2,1,House,,R417,0,235m²,1.0,248m²
R 9 500 000,12,14,9,House,,R1650,0,,,2550m²
R 955 000,3,1,,House,,,0,,1.0,495m²
R 7 495 000,3,3.5,3,House,,,1,,1.0,1239m²
R 1 500 000,,,,CommercialProperty,,,0,350m²,,773m²
R 850 000,2,1,1,Apartment/Flat,R1731,R354,0,,,
R 1 350 000,3,2,1,House,,R450,0,,,476m²
R 1 150 000,13,4,4,House,,R460,0,,,696m²
R 1 200 000,,,,CommercialProperty,,R850,0,289m²,,340ha
R 980 000,5,2,3,House,,,0,,,300m²
R 599 000 - R 750 000,,,,,,,0,,,
R 379 999,2,1,1,Apartment/Flat,,,0,,,
R 4 990 000,2,2.5,4,House,R6500,R2700,1,145m²,1.0,145m²
R 490 000,1,1,,Apartment/Flat,R1058,R244,1,31m²,0.0,
R 1 000 000,4,2,,House,,,0,,,
R 210 000,1,1,,Apartment/Flat,R1031,,0,,,
R 1 460 000,3,2,1,House,,R555,0,200m²,1.0,378m²
R 2 950 000,,,,IndustrialProperty,,,0,900m²,,1531m²
R 3 500 000,,,,House,,,0,,,1308m²
R 2 800 000,3,2.5,2,House,R3275,R1700,0,158m²,1.0,
R 795 000,2,1,1,Apartment/Flat,R1000,R430,0,76m²,1.0,76m²
R 5 400 000,3,3.5,2.5,Townhouse,R2000,R1800,0,300m²,1.0,410m²
R 900 000,3,2,1,House,,,0,,,495m²
R 1 290 000,3,1.5,1,House,,,0,,1.0,1116m²
R 450 000,1,1,,Apartment/Flat,R1300,R300,0,55m²,0.0,
R 6 495 000,4,3,2,House,R2000,R2500,0,,0.0,475m²
R 1 199 000,,,,House,,,0,,,940m²
R 995 000,1,1,,Apartment/Flat,,,0,,,70m²
R 1 100 000,4,2,,House,,R650,0,,1.0,495m²
R 250 000,1,1,1,Apartment/Flat,R900,R200,0,55m²,0.0,1985m²
R 270 000,2,1,1,Townhouse,,,0,72m²,,
R 4 782 000,,,,,,,0,,,
R 2 145 000,1,2,,Apartment/Flat,R2500,R650,0,125m²,,12928m²
R 14 999 000,3,3,2,Apartment/Flat,,,0,316m²,,316m²
R 4 200 000,2,2,2,Apartment/Flat,,,1,88m²,,
R 3 800 000,3,3,12,House,,R650,0,2800m²,,
R 1 285 000,2,1,2,House,,,0,,1.0,495m²
R 6 300 000,,,,CommercialProperty,R22713,,0,580m²,,
R 3 613 500,,,,CommercialProperty,R13074,,0,331m²,,
R 3 300 000,2,2,2,House,,R1788,1,495m²,0.0,495m²
R 395 000,2,1,,Apartment/Flat,R656,R320,0,89m²,,994m²
R 2 950 000,3,2,9,House,,,1,227m²,,1088m²
R 1 270 000,3,2,4,House,,,0,,1.0,495m²
R 2 100 000,5,3,1,House,,R1033,1,450m²,1.0,1743m²
R 375 000,2,1,1,Apartment/Flat,,,0,,,
R 1 150 000,2,2,,Apartment/Flat,R1759,,0,84m²,,13916m²
R 4 555 000,8,8,3,House,,,1,,,2164m²
R 530 000,1.5,2,,Apartment/Flat,R4000,R600,0,53m²,0.0,500m²
R 599 999,1,1.5,2,Townhouse,R2100,R500,1,64m²,1.0,
R 399 000,1,1,1,Apartment/Flat,,R190,0,43m²,0.0,
R 899 999,1,1,2,Apartment/Flat,R1339,R481,0,50m²,0.0,
