price,bedrooms,bathrooms,parking space,Type of Property,Levies,Rates and Taxes,Pool,Floor Size,Pets Allowed,Erf Size
R 5 500 000,5,5,2,House,,R2300,1,,1.0,1020m²
R 570 000,,,,Apartment/Flat,,,0,65m²,,65m²
R 660 000,1,1,1,Apartment/Flat,,R500,1,55m²,0.0,
R 430 000,1,1,,Apartment/Flat,,,0,,,
R 4 500 000,,,,CommercialProperty,,R3800,0,440m²,,447ha
R 1 699 000,3,2,6,House,,,1,,,595m²
R 580 000,3,1,,Townhouse,R1680,,0,,,
R 2 370 500,1,1,1,House,R1784,,0,,,53.5m²
R 2 500 000,2,2,4,Townhouse,,,0,,,
R 2 099 900,4,3,2,House,,,1,,,512m²
R 685 000,2,1,,Apartment/Flat,R1500,R300,0,50m²,0.0,494m²
R 8 900 000,3,3,2,House,,,0,246m²,,246m²
R 995 000,3,2,2,House,,,0,,,
R 2 200 000,,,,IndustrialProperty,,,0,548m²,,548m²
R 4 750 000,3,2.5,2,House,R7100,R3733,1,333m²,1.0,641m²
R 1 350 000,3,2,2,Townhouse,R1912,R648,1,119m²,1.0,
R 1 395 000,4,2,3,House,,R455,0,,1.0,
R 245 000,0.5,1,,Apartment/Flat,R1386,R436,0,39m²,0.0,
R 6 990 000,4,3.5,4,House,R3129,R4187,1,311m²,1.0,623m²
R 25 000 000,,,,IndustrialProperty,,,0,2000m²,,2353m²
R 1 750 000,3,2,6,House,,,1,380m²,1.0,1388m²
R 23 500 000,,,,IndustrialProperty,,,0,6700m²,,6525m²
R 580 000,2,1,1,Apartment/Flat,,,1,,0.0,
R 1 399 000,3,2,,Apartment/Flat,R1372,R363,0,108m²,,
R 1 195 000,3,2,2,Townhouse,R2150,R780,1,,,239m²
R 7 000 000,3,3,11,House,,,1,,1.0,2042m²
R 459 000,1,1,,Apartment/Flat,R894,,0,26m²,0.0,
R 1 490 000,3,3,1,Apartment/Flat,R2172,R770,0,187m²,,
R 660 000,2,1,,Townhouse,R1611,,1,77m²,,
R 2 100 000,11,6,,Townhouse,,,0,,,495m²
R 790 000,2,2,2,Apartment/Flat,R1212,R376,1,82m²,,
R 3 799 000,5,4.5,7,House,,R1755,1,,1.0,1676m²
R 2 500 000,5,3.5,4,House,,R952,0,320m²,1.0,770m²
R 2 750 000,3,3.5,2,Apartment/Flat,,,1,274m²,,274m²
R 2 499 000,3,3,1,House,,R1500,0,,,2135m²
R 4 690 000,,,,IndustrialProperty,R6471,R4299,0,719m²,0.0,719m²
POA,4,4,4,House,,R5160,1,,1.0,3956m²
R 629 000,,,,,,,0,,,
R 1 395 000,4,2,2,House,,,0,,,1132m²
R 6 850 000,5,5.5,4,House,,R2834,1,,1.0,1239m²
R 1 000 000,2,2.5,2,Apartment/Flat,R4800,R200,0,132m²,0.0,916m²
R 300 000,1,1,,Apartment/Flat,,,0,,,
R 1 195 000,4,2,4,House,,R580,1,,1.0,600m²
R 1 500 000,3,2,2,House,,,1,,1.0,1500m²
R 3 250 000,3,2,4,House,R3400,R1600,1,,,358m²
R 1 490 000,4,3,4,House,,R776,0,320m²,1.0,497m²
R 5 500 000,5,5,2,House,,,1,,,2023m²
R 1 250 000,4,3,3,House,,R500,0,,1.0,
R 899 000,,,,VacantLand/Plot,,,0,,,
R 12 400 000,6,5,3,House,,R9400,1,1380m²,1.0,2975m²
R 670 000,2,1,1,Apartment/Flat,R2700,R600,0,,0.0,
R 1 770 000,3,2,2,House,,R400,1,,1.0,
R 799 000,3,2.5,1,Apartment/Flat,,,0,,,
R 4 000 000,4,3,6,House,,R2856,1,,,1216m²
R 5 700 000,11,11,,House,,R1500,0,,0.0,959m²
R 1 250 000,4,3,1,Apartment/Flat,,,0,164m²,0.0,
R 3 500 000,4,2,2,House,,R1700,0,,,2008m²
R 2 390 000,,,,,,,0,,,
R 975 000,1,1,3,Apartment/Flat,R979,R663,0,90m²,,
R 950 000,3,2,1,Townhouse,R2500,R425,0,88m²,,88m²
R 3 395 000,4,4,2,House,,,1,,,495m²
R 1 649 000,3,2,3,House,,R693,1,,1.0,947m²
R 10 985 000,5,3,4,House,,R6215,1,,1.0,6735m²
R 405 000,2,1,,Apartment/Flat,R4180,,0,,,
R 1 284 999,3,1,4,House,,,0,,,495m²
R 2 200 000,3,1,10,House,,R900,1,,,1179m²
R 470 000,1,1,1,Apartment/Flat,R2705,R350,0,74m²,0.0,
R 1 150 000,2,2,,Apartment/Flat,,,0,102m²,0.0,
R 888 000,2,2,1,Townhouse,R2200,,0,,0.0,12010m²
R 1 500 000,3,2,1,House,,,1,,1.0,595m²
R 550 000,,,,VacantLand/Plot,,,0,,,
R 1 180 000,3,2,3,House,,R580,0,,1.0,325m²
R 1 939 000,,,,CommercialProperty,,,0,,,
R 3 800 000,4,3,2,House,R400,R1600,1,450m²,0.0,1304m²
R 3 600 000,4,2,1,House,,,1,,,
R 3 980 000,3,3.5,3,Apartment/Flat,R5800,R2200,1,158m²,,3327m²
R 995 000,6,4,6,House,,R600,0,,1.0,
R 950 000,1,1,1,Apartment/Flat,R1734,R646,1,44m²,,2559m²
R 950 000,1,1,1,Apartment/Flat,R2442,R392,0,93m²,0.0,
R 1 295 000,2,1,,Townhouse,R1020,R470,0,,0.0,
R 945 000,3,2,2,Townhouse,R4257,R233,0,,,
POA,,,,VacantLand/Plot,,,0,,,
R 2 300 000,,,,VacantLand/Plot,,,0,,,
R 579 000,2,1,,Townhouse,R850,R360,0,,0.0,
R 595 000,1,1,,Apartment/Flat,R1150,R350,0,41m²,0.0,499m²
R 6 950 000,4,3.5,4,House,,R3800,1,520m²,0.0,3063m²
R 499 000,2,1,1,Townhouse,R1400,R250,0,66m²,0.0,6339m²
R 950 000,3,2,2,House,,,0,250m²,1.0,418m²
R 1 279 000,2,1,2,Apartment/Flat,R1624,,0,89m²,,12928m²
R 490 000,,,,Townhouse,,,0,,,
R 4 750 000,3,4,2,House,,R2950,1,350m²,1.0,645m²
R 2 950 000,4,2.5,6,House,,,1,,,495m²
R 5 195 000,5,3.5,2,House,,R2900,1,,1.0,2200m²
R 3 200 000,3,2,3,House,,R2370,1,,0.0,496m²
R 580 000,3,1,,House,,,0,,0.0,
R 1 999 000,3,2,2,House,,,0,,,
R 1 160 000,1,1,1,Apartment/Flat,R1208,,0,58m²,1.0,
R 3 200 000,,,,CommercialProperty,,R1589,0,,,
R 899 999,2,2,1,Apartment/Flat,R2814,R681,1,84m²,0.0,24157m²
R 8 800 000,3,3,2,Apartment/Flat,,,0,212m²,,
R 800 000,3,3,4,House,,R480,0,,1.0,495m²
R 1 680 000,8,9,6,House,,,0,480m²,1.0,
R 3 800 000,,,,VacantLand/Plot,,,0,,,
R 1 400 000,9,2,2,House,,R600,0,,1.0,525m²
R 870 000,4,2,,House,,R600,0,,1.0,231m²
R 4 399 000,4,3.5,6,House,,R2666,1,,,2001m²
R 550 000,2,1,,Townhouse,R1000,R300,0,,0.0,
R 11 900 000,5,3,5,House,,R6000,1,900m²,1.0,1690m²
R 7 900 000,,,,CommercialProperty,,R14150,0,5200m²,,1830m²
R 1 600 000,2,2,2,Apartment/Flat,R2320,,1,98m²,,
R 11 900 000,4,3,2,House,,R4319,1,,1.0,1500m²
R 2 600 000,3,2.5,2,House,R3465,R1500,1,160m²,1.0,
R 4 900 000,3,3.5,2,House,,R2929,1,,1.0,1002m²
R 2 500 000,5,3,2,House,,,0,,,466m²
R 1 099 000,3,2,1,Townhouse,R1972,R650,0,98m²,,
R 9 999 000,9,9,8,House,,,1,,1.0,
R 910 000,3,1,7,House,,,0,,,
R 3 800 000,25,7,8,House,,R2020,0,,0.0,495m²
R 2 650 000,4,2,,House,,,1,,,1099m²
R 1 790 000,4,2,2,House,,R966,1,,1.0,751m²
R 799 000,1,1,,Apartment/Flat,R2100,R300,0,68m²,0.0,2073m²
R 1 200 000,1,1,1,Apartment/Flat,R1600,R900,1,56m²,1.0,
R 300 000,1,1,2,Apartment/Flat,R1400,R200,0,57m²,0.0,3218m²
R 1 350 000,,,,VacantLand/Plot,,,0,,,2025m²
R 5 200 000,,,,IndustrialProperty,,,0,1200m²,,1663m²
R 5 800 000,4,2.5,3,House,,,0,,,1344m²
R 3 995 000,2,2.5,10,House,,,0,,,1272m²
R 2 990 000,4,3,3,House,R1265,R1652,0,,1.0,300m²
R 3 850 000,3,3,3,House,,R2600,0,,1.0,495m²
R 4 770 000,,,,,,,0,,,
R 3 999 999,,,,House,,,0,,,
R 1 750 000,11,3,12,House,,R1850,0,,,1698m²
R 1 200 000,3,2,6,House,,,0,,,488m²
R 999 000,3,2,,Apartment/Flat,R1127,,1,121m²,,
R 2 500 000,3,2,5,House,,,1,,,991m²
R 899 000,3,2,1,House,,R445,0,,1.0,540m²
R 695 000,2,1,1,Apartment/Flat,R2114,R434,0,70m²,,
R 699 000,2,1,1,House,,R229,0,,1.0,213m²
R 1 350 000,2,2,2,Apartment/Flat,R2700,R690,1,93m²,0.0,
R 700 000,2,1,2,Townhouse,,,1,,,
R 785 000,2,1,1,Townhouse,R1475,,0,85m²,,
R 1 250 000,3,2,2,House,,R450,0,,,336m²
R 19 500 000,6,6.5,4,House,,R8205,1,1400m²,1.0,3695m²
R 1 800 000,2,1,1,Apartment/Flat,R3760,,0,113m²,0.0,
R 3 890 000,2,2,1,Apartment/Flat,,,1,100m²,,
R 599 000,3,1,,Apartment/Flat,R1500,,1,,,
R 950 000,2,,1,Apartment/Flat,,,1,,,
R 8 200 000,4,4,3,House,,R4628,1,479m²,1.0,802m²
R 1 970 000,3,2,2,House,,R894,0,,1.0,600m²
R 3 750 000,2,2,1,Apartment/Flat,R3950,,1,,,
R 580 000,2,1,,Townhouse,,,0,,0.0,
R 455 000,1,1,,Apartment/Flat,,,0,,,
R 2 350 000,,,,VacantLand/Plot,R1780,,0,,,660m²
R 1 400 000,3,1,1,House,,R2000,0,495m²,0.0,
R 1 600 000,2,2,1,Apartment/Flat,R1508,R1098,0,82m²,0.0,14499m²
R 1 790 000,1,1,1,Apartment/Flat,,,0,55m²,,
R 1 550 000,,,,CommercialProperty,,,0,,,764m²
R 1 099 000,3,1,2,House,,R600,0,,1.0,750m²
R 8 500 000,4,3,2,House,R2414,R4725,1,,,1320m²
R 1 790 000,3,3,8,House,,R1109,0,,1.0,992m²
R 2 649 000,4,4,,House,,,0,,1.0,1131m²
R 2 300 000,2,2,2,Apartment/Flat,,,0,,0.0,
R 595 000,2,1,1,Townhouse,,R350,0,72m²,,
R 3 100 000,2,1,1,Apartment/Flat,,,0,,,
R 3 750 000,3,3,3,House,,R2893,1,,,1012m²
R 940 000,1,1,1,Apartment/Flat,R1349,R610,1,45m²,0.0,
R 499 000,2,1,,Apartment/Flat,R1000,R380,0,,,
R 3 299 000,4,3,10,House,,R1650,1,,,1650m²
R 580 000,1.5,1,1,Apartment/Flat,,,0,89m²,,
R 1 500 000,2,1,1,Apartment/Flat,R2416,R1000,1,75m²,,
R 2 500 000,5,3,3,House,,,0,,,
R 690 000,3,2,1,House,,,0,,,446m²
R 225 000,,1,,Apartment/Flat,R921,,0,37m²,,1500m²
R 750 000,9,2,,House,,R171,0,,1.0,213m²
R 3 950 000,3,3,4,House,,R2363,1,,,1020m²
R 3 300 000,3,2,2,House,R2200,R2484,0,,1.0,597m²
R 3 600 000,4,2,4,House,,R2603,1,,1.0,1020m²
R 3 450 000,4,2,2,House,R1050,R3620,1,,1.0,1787m²
R 1 490 000,3,1.5,2,House,,R436,1,180m²,1.0,496m²
R 1 999 000,2,2,2,Apartment/Flat,R3200,R958,0,117m²,0.0,
R 1 850 000,,,,CommercialProperty,,,0,,,
R 775 000,1,1,1,Apartment/Flat,R2116,R1371,0,66m²,,
R 2 650 000,3,2,4,House,,R1500,1,,1.0,2234m²
R 2 900 000,2,2,2,Apartment/Flat,,,1,,0.0,
R 1 680 000,2,1.5,4,House,,,0,157m²,1.0,
R 395 000,1,1,1,Apartment/Flat,,R900,0,34m²,0.0,34m²
R 1 520 000 - R 1 755 000,,,,,,,0,,,
R 5 600 000,4,3,2,House,,,1,349m²,1.0,404m²
R 2 000 000,3,2,2,Apartment/Flat,R4400,R1400,0,151m²,,
R 520 000,3,1,,Apartment/Flat,R1320,,0,97m²,,456m²
R 650 000,2,1,,Apartment/Flat,R1900,R300,1,33m²,0.0,655m²
R 1 500 000,15,1,,House,,,0,,,
R 380 000,1,1,,Apartment/Flat,R1500,,0,30m²,0.0,
R 550 000,,1,,Apartment/Flat,R844,R822,0,41m²,,
R 530 000,,1,,Apartment/Flat,R1300,R300,1,32m²,0.0,
R 11 287 500,3,3,2,House,,,1,505m²,1.0,677m²
R 830 000,3,1.5,1,Apartment/Flat,,,0,,,
R 320 000,1,1,,Apartment/Flat,R1100,,0,48m²,,
R 650 000,1.5,1,1,Apartment/Flat,R2693,R842,0,82m²,,
R 6 750 000,,,,IndustrialProperty,,,0,,,2000m²
R 1 350 000,3,2,2,House,,,1,,,495m²
R 3 495 000,2,2.5,2,Townhouse,R2900,,0,,,
R 1 149 000,6,2,,House,,R530,0,,,248m²
R 550 000,1,1,,Apartment/Flat,R1624,,0,45m²,,1000m²
R 855 000,3,2.5,2,Townhouse,R2250,R1950,0,152m²,1.0,2882m²
R 1 200 000,,,,House,,,0,,,
R 4 500 000,5,5,3,House,R1500,R3000,0,,1.0,634m²
R 3 300 000,2,2,3,House,,R2550,1,,1.0,495m²
R 4 500 000,,,,Farm,,,0,,,
R 4 000 000,3,3.5,7,Townhouse,R2000,,0,420m²,0.0,
R 2 500 000,4,1,4,House,,,1,,,1.713ha
R 630 000,2,1,,Apartment/Flat,R1500,R400,0,72m²,,201m²
R 750 000,2,1,1,Apartment/Flat,R3207,R565,0,108m²,0.0,
R 720 000,2,2,1,Apartment/Flat,R1831,,1,69m²,,
R 847 000,2,1,1,Apartment/Flat,,,1,,,
R 4 300 000,2,2.5,,Apartment/Flat,,,0,141m²,,141m²
R 650 000,1.5,1,1,Apartment/Flat,R748,,0,70m²,0.0,
R 600 000,2,1,2,Apartment/Flat,,R340,1,,0.0,65m²
R 400 000,,1,1,Apartment/Flat,R1458,R650,1,37m²,,37m²
R 3 999 999,4,2,2,House,,,1,,,3396m²
R 1 150 000,1,1.5,1,Apartment/Flat,R1944,R463,0,94m²,1.0,
R 2 500 000,,,,Apartment/Flat,,,0,650m²,,1150m²
R 299 999,1,1,,Apartment/Flat,R1800,R769,0,,,
R 450 000,2,1,,Apartment/Flat,R990,R240,0,,,69m²
R 12 000 000,5,6.5,5,House,,R4500,1,700m²,1.0,2359m²
R 2 700 000 - R 5 400 000,,,,,,,0,,,
R 6 200 000,3,3.5,3,House,R1500,R4500,0,350m²,1.0,479m²
R 1 999 000,4,3.5,4,House,,R1426,1,,1.0,1487m²
R 1 449 000,2,2,1,Apartment/Flat,R2262,R938,1,70m²,,
