price,bedrooms,bathrooms,parking space,Type of Property,Erf Size,Floor Size,Levies,Rates and Taxes,Pets Allowed,Pool
R 985 000,2.0,2.0,1.0,Apartment/Flat,,86m²,R1367,R785,1.0,1
R 6 350 000,3.0,2.5,2.0,House,996m²,,,R2800,,1
R 1 100 000,4.0,2.0,1.0,House,495m²,,,R585,1.0,0
R 4 920 000,3.0,3.0,2.0,House,595m²,,R1682,R1507,1.0,1
R 1 595 000,3.0,2.5,2.0,House,672m²,200m²,,R850,1.0,1
R 1 005 000 - R 1 355 000,,,,,,,,,,0
R 1 150 000,1.0,1.0,1.0,Apartment/Flat,,88m²,R1803,R394,0.0,0
R 675 000,2.0,1.0,1.0,Apartment/Flat,51m²,51m²,R750,R180,,0
R 1 495 000,2.0,,2.0,House,495m²,,,R541,1.0,1
R 1 950 000,5.0,3.0,7.0,House,715m²,,,R1080,,0
R 900 000,3.0,1.0,7.0,House,497m²,,,R535,1.0,0
R 290 000,2.5,1.0,1.0,Apartment/Flat,,122m²,R1325,,0.0,0
R 665 000,2.0,1.0,1.0,Apartment/Flat,,51m²,R660,R180,,0
R 560 000,2.0,1.0,1.0,Townhouse,64m²,64m²,R1300,R326,0.0,0
R 760 000,3.0,2.0,1.0,Townhouse,76m²,76m²,R1700,R440,0.0,0
R 900 000,3.0,2.0,2.0,House,84m²,84m²,R1900,R440,0.0,0
R 890 000,3.0,2.0,1.0,House,82m²,82m²,R2400,R440,0.0,0
R 755 000,2.0,1.0,1.0,Apartment/Flat,,56m²,R600,R200,,0
R 3 700 000,5.0,4.0,2.0,House,640m²,325m²,R1785,R1272,1.0,0
R 665 000,2.0,1.0,1.0,Apartment/Flat,51m²,51m²,R1261,R150,0.0,0
R 7 935 000,,,,CommercialProperty,5811m²,529m²,R7935000,,,0
R 1 975 000,2.0,2.0,2.0,Apartment/Flat,152m²,152m²,R3004,R874,,0
R 4 990 000,,,,,,,,,,0
R 9 800 000,4.0,4.5,6.0,House,1193m²,500m²,,,1.0,1
R 755 000,2.0,1.0,1.0,Apartment/Flat,56m²,56m²,R1335,R150,0.0,0
R 7 590 000,,,,CommercialProperty,5811m²,506m²,R7590000,,,0
R 4 095 000,,,,CommercialProperty,5811m²,315m²,R4095000,,,0
R 2 300 000,3.0,2.0,4.0,House,990m²,990m²,,R724,1.0,1
R 575 000,3.0,1.0,1.0,Apartment/Flat,,129m²,R1093,R182,,0
R 720 000,2.0,1.0,,Apartment/Flat,1616m²,41m²,R1300,R300,0.0,0
R 8 950 000,5.0,4.0,4.0,House,698m²,479m²,,R4476,,1
R 665 000,2.0,1.0,1.0,Apartment/Flat,,51m²,R600,R200,,0
R 663 000,,,,CommercialProperty,5811m²,51m²,R663000,,,0
R 980 000,3.0,2.0,2.0,Townhouse,75m²,75m²,R2407,,0.0,0
POA,,,,VacantLand/Plot,2952m²,,R1,R1,,0
R 1 600 000,2.0,1.0,1.0,Apartment/Flat,4965m²,97m²,R3320,R800,,1
R 499 000,2.0,1.0,1.0,Townhouse,,69m²,R1400,R280,0.0,0
R 85 120 000,,,,CommercialProperty,2432m²,2432m²,R0,R0,,0
R 1 350 000,1.0,1.0,,Apartment/Flat,,60m²,R1370,R450,0.0,0
R 2 499 900 - R 3 099 900,,,,,,,,,,0
R 2 299 000,2.0,2.0,2.0,Apartment/Flat,5121m²,208m²,R2450,R3150,1.0,1
R 675 000,2.0,1.0,1.0,Apartment/Flat,,51m²,R1250,R250,,0
R 765 000,2.0,1.0,1.0,Apartment/Flat,,56m²,R1250,R250,,0
R 665 000,2.0,1.0,1.0,Apartment/Flat,,51m²,R600,R200,,0
R 610 000,1.0,1.0,1.0,Apartment/Flat,,48m²,R1200,R400,,1
R 2 795 000,3.0,2.0,2.0,Townhouse,,211m²,R3272,R1523,1.0,1
R 2 488 000,4.0,4.0,4.0,House,1450m²,,,R1257,1.0,1
R 4 455 000,2.0,2.5,2.0,Apartment/Flat,,113m²,R4520,R1575,0.0,1
R 1 599 000,8.0,4.0,,Apartment/Flat,,496m²,R1,R273,0.0,0
R 1 350 000,2.0,2.5,2.0,Apartment/Flat,146m²,146m²,R3040,R800,,0
R 427 000,2.0,1.0,2.0,Apartment/Flat,,79m²,R1486,R259,0.0,0
R 4 500 000,,,,IndustrialProperty,2685m²,1300m²,,,,0
R 2 400 000,5.0,2.0,2.0,House,995m²,,,R1067,,1
POA,,,,CommercialProperty,1487m²,374m²,,R11080,,0
R 700 000,4.0,2.0,4.0,House,317m²,90m²,,R450,1.0,0
R 2 750 000,4.0,2.0,2.0,House,1124m²,,,R1381,1.0,1
R 3 450 000,3.0,2.5,4.0,House,1040m²,480m²,,R1017,1.0,1
R 1 439 000 - R 1 458 000,,,,,,,,,,0
R 1 389 313,3.0,2.0,2.0,House,,89m²,R900,R750,1.0,0
R 435 000,2.0,1.5,1.0,Apartment/Flat,,100m²,R2102,R74,0.0,0
R 689 000,2.0,1.5,2.0,Apartment/Flat,1011m²,90m²,R1390,R230,,0
R 560 000,1.0,1.0,1.0,Apartment/Flat,499m²,39m²,R1700,,,0
R 4 750 000,3.0,2.0,8.0,House,1980m²,400m²,,R3000,1.0,1
R 1 150 000,2.0,1.0,1.0,Apartment/Flat,60m²,96m²,R538,R2273,0.0,1
R 395 000,2.0,1.0,1.0,Apartment/Flat,8167m²,79m²,R1200,R300,0.0,1
R 4 000 000,,,,IndustrialProperty,1500m²,910m²,,,,0
R 800 000,2.0,1.0,2.0,Townhouse,,65m²,R1922,R500,,0
POA,,,,IndustrialProperty,715m²,,,R3100,,0
POA,2.0,1.0,5.0,House,350m²,88m²,,R450,1.0,0
R 300 000,2.0,1.0,3.0,House,77210m²,38m²,R574,R200,1.0,0
R 1 890 000,4.0,2.0,5.0,House,1170m²,,,R2500,,0
R 4 800 000,,,,CommercialProperty,270m²,270m²,,,,0
R 2 500 000,5.0,3.0,3.0,House,595m²,595m²,,R1148,1.0,1
R 850 000,3.0,1.5,2.0,Townhouse,68m²,11881m²,R768,R480,,0
R 850 000,,,,VacantLand/Plot,1024m²,1024m²,,,,0
R 2 199 000,4.0,1.5,8.0,House,1134m²,,,R1300,1.0,1
R 1 195 000,3.0,2.0,2.0,Townhouse,,97m²,R1352,R795,1.0,1
R 2 475 000 - R 2 499 000,,,,,,,,,,0
R 190 000,1.0,1.0,1.0,Apartment/Flat,,67m²,R1477,,0.0,0
R 699 000,3.0,2.0,2.0,Townhouse,,82m²,R1715,R400,0.0,1
R 975 000,1.0,1.0,1.0,Apartment/Flat,,58m²,R1890,R470,,1
