price,Type of Property,Erf Size,Floor Size,Rates and Taxes,Pool,bedrooms,bathrooms,parking space,Levies,Pets Allowed
R 475 000,Apartment/Flat,1053m²,33m²,R445,0,,1,1,R800,
R 1 485 000,Apartment/Flat,,64m²,,1,1,1,1,,1.0
R 799 000,House,762m²,,R305,0,3,3,3,,
R 245 000,Apartment/Flat,,38m²,R480,0,0.5,1,,R974,0.0
R 575 000,Townhouse,496m²,122m²,R361,0,2,2,1,,0.0
R 2 299 000,House,1188m²,,,1,5,2,2,,1.0
R 25 000 000,House,4154m²,,R10114,1,5,5,6,,1.0
R 3 650 000,House,1076m²,,R2199,1,4,2,6,,
R 790 000,Townhouse,,65m²,R335,1,1,1,2,R1610,0.0
R 4 200 000,Apartment/Flat,88m²,,,1,2,2,2,R3872,
R 2 000 000,House,495m²,,,0,,,,,
R 2 200 000,Apartment/Flat,,148m²,,0,3,2.5,2,R3400,0.0
R 4 800 000,Apartment/Flat,,102m²,,1,2,2,2,R4488,
R 1 395 000,Townhouse,,170m²,R782,1,5,3,1,R3000,
R 739 000 - R 789 000,,,,,0,,,,,
R 1 299 000,House,950m²,,R566,0,3,2,2,,1.0
R 3 995 000,Apartment/Flat,,184m²,,1,2,2.5,2,,0.0
R 1 400 000,House,418m²,,R1200,0,3,1,1,,0.0
R 550 000,Townhouse,1m²,1m²,R300,0,2,1,,R800,0.0
R 950 000,House,,,,0,3,1,1,,
R 3 200 000,House,2500m²,,R1500,1,4,3,2,,1.0
R 1 350 000,Apartment/Flat,,60m²,,0,1,1,1,,0.0
R 250 000,Apartment/Flat,,89m²,,0,2,1,,,
R 4 700 000,IndustrialProperty,719m²,719m²,R4299,0,,,,R6471,
R 1 500 000,House,,,,0,3,2,,,
R 1 550 000,House,697m²,,,1,3,2,3,,1.0
R 85 000 000,CommercialProperty,1743m²,10000m²,,0,,,,,
R 599 000,House,378m²,,R207,0,2,1,2,,
POA,Apartment/Flat,,,,0,,1,,,
R 995 000,Apartment/Flat,,54m²,R839,1,1,1,1,,1.0
R 3 800 000,Apartment/Flat,,255m²,R1200,1,3,2.5,2,R1800,
R 3 950 000,House,1050m²,,R2602,1,4,2,2,,1.0
R 350 000,Apartment/Flat,,95m²,,0,1,1.5,1,R1267,0.0
R 720 000,Townhouse,,,R400,0,2,1,,R1400,
R 2 450 000,Apartment/Flat,3724m²,73m²,R1235,0,2,2,2,R2788,0.0
R 1 800 000 - R 5 400 000,,,,,0,,,,,
R 550 000,Apartment/Flat,1616m²,45m²,R200,0,1,1,,R1300,0.0
R 1 840 000,Townhouse,,180m²,,0,3,2,2,,
