price,Type of Property,Erf Size,Floor Size,Rates and Taxes,Pool,bedrooms,bathrooms,parking space,Levies,Pets Allowed
R 2 499 900 - R 3 099 900,,,,,0,,,,,
R 690 000,House,,,,0,3,1,1,,
R 999 000,House,,,,0,3,1.5,3,,1.0
R 3 360 000,House,1886m²,,,1,4,3.5,4,,1.0
R 590 000,Townhouse,495m²,94m²,R313,0,3,2,1,R150,0.0
R 4 490 000,House,767m²,361m²,R2625,0,3,2,2,,
R 469 000,Apartment/Flat,,25m²,R210,1,1,1,,R1024,0.0
R 2 650 000,Townhouse,260m²,153m²,R2354,0,2,2.5,2,R2600,1.0
R 1 690 000,House,495m²,495m²,R596,0,3,1,2,,
R 1 100 000,House,495m²,,,0,3,2,2,,
R 2 150 000,House,993m²,,R1218,1,4,2,2,,1.0
R 2 780 000,House,2163m²,2156m²,,0,4,2,,,
R 575 000,VacantLand/Plot,,,,0,,,,,
POA,House,950m²,,,1,4,5,4,,
R 650 000,Apartment/Flat,61m²,,R357,1,2,1,1,R1660,0.0
R 1 700 000,House,499ha,300m²,R774,0,4,2,7,,1.0
R 720 000,Apartment/Flat,,,R400,0,2,1,1,R1400,
R 890 000,Townhouse,,74m²,R510,1,4,2,,R1050,0.0
R 3 999 999,VacantLand/Plot,,,,0,,,,,
R 950 000,Apartment/Flat,,,,0,,1,2,,
R 4 782 000,,,,,0,,,,,
R 270 000,Apartment/Flat,22m²,22m²,R250,0,,1,,R720,
R 1 599 000,CommercialProperty,,,,0,,,,,
R 484 900,Apartment/Flat,6491m²,89m²,,0,2,1,,R1600,
R 3 250 000,House,1020m²,,R2493,0,3,3,10,,1.0
R 1 895 000,House,688m²,,R620,0,4,3,8,,1.0
R 3 518 900,Apartment/Flat,83m²,83m²,,0,2,2,,R2000,
R 1 600 000,House,991m²,,,1,3,2,5,,
R 1 049 000,Townhouse,,98m²,R605,0,2,2,,R1297,0.0
R 2 299 000,Apartment/Flat,53.5m²,53m²,,0,1,1,,R1800,
R 1 890 000,House,495m²,,R748,0,5,3,3,,1.0
R 3 800 000,CommercialProperty,1485m²,,,0,,,,,
R 1 395 000,House,900m²,300m²,,1,3,2,4,,
R 800 000,Apartment/Flat,,,,0,2,2,1,,
R 990 000,House,1098m²,,R750,0,8,4,1,,
R 1 950 000,House,498m²,,,0,,,,,
R 520 000,Apartment/Flat,,49m²,R210,1,1,1,1,,0.0
R 550 000,Apartment/Flat,,87m²,,1,2,2,2,,0.0
R 999 000,Townhouse,,84m²,,1,2,2,2,,
R 800 000,Townhouse,,43m²,R230,0,2,1.5,,R1300,
R 729 000,Apartment/Flat,,90m²,R445,0,3,1,1,R688,
R 1 500 000,House,1122m²,,R800,1,3,2,4,,
R 799 000,House,397m²,,,0,2,1,,,
R 750 000,Townhouse,4603m²,89m²,,1,2,1.5,1,,0.0
R 1 500 000,IndustrialProperty,495m²,,,0,,,,,
R 1 995 000,House,802m²,,R850,0,2,2,1,,
R 1 799 000,House,990m²,,,0,2,1,2,,1.0
R 4 399 000,House,1.8m²,,,0,5,3,2,,
R 6 800 000,IndustrialProperty,1275m²,1275m²,,0,,,,,
R 135 000,Apartment/Flat,,37m²,,0,0.5,1,,R1000,0.0
R 750 000,House,447m²,,R240,0,4,2,4,,0.0
R 310 000,Apartment/Flat,,29m²,,0,0.5,1,1,R794,0.0
R 1 599 000,House,495m²,495m²,R990,0,4,4,2,,1.0
R 8 999 000,House,1842m²,600m²,R3158,1,5,5,4,,1.0
R 550 000,Apartment/Flat,496m²,42m²,R239,0,2,1,1,R1220,0.0
R 6 800 000,House,1421m²,500m²,R2895,1,5,5,11,,1.0
R 1 400 000,Apartment/Flat,,116m²,R900,0,2,1.5,,R1850,0.0
R 1 500 000,Apartment/Flat,,96m²,R700,0,1,1,,R1500,1.0
R 895 000,House,462m²,90m²,R116,0,3,1,1,,1.0
R 159 999,House,42m²,,R200,0,0.5,1,,R700,
R 5 000 000,House,1597m²,,R3100,1,9,10,11,,1.0
R 1 249 000,Apartment/Flat,75m²,75m²,R721,0,2,1,1,R2582,
R 2 359 000,House,496m²,,,0,6,2.5,4,,
R 1 299 000,House,495m²,,,0,8,2,,,
R 8 900 000,Apartment/Flat,,220m²,,0,2,2.5,2,,1.0
R 2 500 000,House,495m²,270m²,,0,3,1,1,,1.0
R 6 345 000,CommercialProperty,,,,0,,,,,
R 26 000 000,IndustrialProperty,8737m²,,,0,,,,,
POA,House,1524m²,,R1262,1,4,2.5,4,,
R 3 499 000,House,1088m²,346m²,R1241,1,4,2,2,,1.0
R 819 999,Apartment/Flat,,,R1383,1,2,2,2,R650,
R 12 500 000,Apartment/Flat,,310m²,,0,4,4.5,2,,1.0
R 1 950 000,House,495m²,,,0,5,3,2,,
R 440 000,Apartment/Flat,108m²,108m²,R250,0,2,2,1,R1500,
R 490 000,House,695m²,47m²,,1,1,1,1,R1300,
R 895 000,Townhouse,,168m²,R700,1,3,2,2,R2600,
R 529 000,Apartment/Flat,,41m²,R313,0,1,1,,R812,0.0
R 1 680 000,Apartment/Flat,,173m²,R1600,1,3,2,2,R4000,
R 1 850 000,House,388m²,,R600,0,13,15,10,,0.0
R 1 375 000,Apartment/Flat,61m²,61m²,R850,0,1,1,2,R2200,
R 3 850 000,House,495m²,,R2586,1,3,3,4,,1.0
R 1 295 000,Apartment/Flat,10970m²,86m²,R494,1,2,1,2,R2161,0.0
R 1 750 000,House,990m²,,R1100,1,7,4,4,,1.0
R 1 590 000,House,495m²,,,0,5,2,2,,
R 580 000,Townhouse,61m²,,R250,1,2,1,,R730,
R 1 799 000,CommercialProperty,,,,0,,,,,
R 2 750 000,House,927m²,380m²,R1800,1,4,2,2,R520,0.0
R 739 000,House,497m²,,,0,3,2,,,
R 849 000,House,613m²,125m²,R350,0,3,2,1,,1.0
R 4 770 000,,,,,0,,,,,
R 775 000,Apartment/Flat,,,R616,0,2,1,1,R897,
R 250 000,Apartment/Flat,,62m²,,0,1,1,,R925,0.0
R 1 099 000,Apartment/Flat,,69m²,R800,1,2,1,1,R1800,1.0
R 1 350 000,House,2091m²,,R900,1,9,4,10,,
R 1 495 000,Townhouse,105m²,105m²,R601,1,2,2,1,,
R 800 000,House,463m²,463m²,R1500,0,3,2,4,,1.0
R 950 000,House,437m²,,,0,3,3,3,,
POA,VacantLand/Plot,2099m²,,,0,,,,,
R 799 000,Apartment/Flat,,,,0,2,2,1,,
R 4 350 000,House,850m²,360m²,R2529,0,3,2,8.5,,0.0
R 430 000,Apartment/Flat,936m²,108m²,,0,2,1,1,R1300,
R 4 500 000,IndustrialProperty,684m²,684m²,,0,,,,,
R 2 580 000,House,1517m²,,,1,6,5,7,,
R 4 500 000,CommercialProperty,1700m²,,,0,,,,,
R 5 499 000,House,878m²,878m²,R3291,1,3,4,4,R2500,1.0
R 4 000 000,IndustrialProperty,1000m²,1000m²,,0,,,,,
R 17 519 764,CommercialProperty,503m²,,,0,,,,,
R 12 396 367,CommercialProperty,329m²,,,0,,,,,
R 1 695 000,House,,,,0,4,2,3,,
R 1 250 000,CommercialProperty,310m²,,R1441,0,,,,,
R 980 000,Apartment/Flat,999m²,92m²,R386,0,2,2,1,R1576,
R 53 200 000,IndustrialProperty,,,,0,,,,,
R 1 800 000,CommercialProperty,500m²,,,0,,,,,
R 6 299 000,Apartment/Flat,,139m²,,0,2,2,2,,
R 1 650 000,House,565m²,,,0,3,2,8,,0.0
R 625 000,Apartment/Flat,,,,0,2,1,,R1500,
R 550 000,Apartment/Flat,735m²,44m²,,1,1,1,1,,
R 455 000,Apartment/Flat,,35m²,,0,,1,,,
R 2 199 000,Townhouse,,,,0,3,2,,,
R 749 000,House,346m²,,,0,2,2,2,,
R 1 399 000,House,507m²,,R900,0,4,3,4,,1.0
R 1 400 000,Townhouse,,135m²,R500,1,3,2,2,R3500,1.0
R 650 000,Apartment/Flat,,,,1,1,1,1,,
R 4 995 000,House,1710m²,640m²,R3800,1,4,2.5,2,,1.0
R 720 000,House,82m²,,,0,2,1,2,,
R 1 280 000,House,364m²,,,0,3,2,4,,
R 2 299 000 - R 2 552 550,,,,,0,,,,,
R 40 000 000,VacantLand/Plot,2994m²,,,0,,,,,
R 3 800 000,Apartment/Flat,,148m²,,1,2,2.5,2,,0.0
R 10 900 000,House,2024m²,,R4600,1,5,4,2,,
R 575 000,Apartment/Flat,,109m²,R3800,0,2,1,1,R1998,
R 3 750 000,House,1490m²,,R2000,1,5,3,6,R1050,
R 650 000,Apartment/Flat,11297m²,70m²,,0,2,1,1,R1528,
R 5 950 000,Apartment/Flat,,265m²,R4600,0,3,3.5,2,R3980,
R 5 800 000,House,804m²,,R3574,1,4,2,4,R2200,
R 9 500 000,IndustrialProperty,6761m²,6303m²,,0,,,,,
R 899 000,Townhouse,2394m²,109m²,R388,0,2,2.5,2,R2075,1.0
POA,VacantLand/Plot,4310m²,,,0,,,,,
POA,Apartment/Flat,,,,0,1,1,1,,0.0
R 7 300 000,House,1812m²,,R4713,1,4,3.5,4,,
POA,House,414m²,368m²,R1700,0,4,4,2,R1961,0.0
R 895 000,House,,,,0,5,3,1,,
R 2 300 000,VacantLand/Plot,,,,0,,,,,
R 799 000,Apartment/Flat,,71m²,R737,0,1,1,,R2145,
POA,VacantLand/Plot,1957m²,,,0,,,,,
R 669 000,Townhouse,,50m²,R150,0,2,1,,,0.0
R 1 390 000,House,1103m²,,,0,3,1,,,
R 2 190 000,House,,,R2650,0,3,3,3,,0.0
R 1 200 000,Apartment/Flat,3714m²,105m²,R1231,0,1,1,1,R3692,0.0
R 570 000,Apartment/Flat,300m²,34m²,R237,0,2,1,,R1432,
R 69 000 000,IndustrialProperty,2000m²,,,0,,,,,
R 1 195 000,Townhouse,,,,0,,,,,
R 1 250 000,House,686m²,,R600,1,3,2,,,1.0
R 2 100 000,House,1072m²,,,0,5,2,3,,1.0
R 1 499 000,House,495m²,,,0,2,2,3,,
R 18 000 000,House,2024m²,840m²,R6230,1,4,3.5,12.5,,1.0
R 12 000 000,House,845m²,,,1,4,3.5,9,,
R 1 299 999,House,612m²,,,1,3,2.5,4,,1.0
R 850 000,Apartment/Flat,,100m²,,0,2,2,2,R3000,1.0
R 1 275 000,Apartment/Flat,,,R500,0,3,2,,R1500,
R 1 270 000,House,495m²,,R900,0,4,1,1,,1.0
R 3 190 000,VacantLand/Plot,1250m²,,,1,,,,,
R 1 230 000,House,495m²,,,0,3,2,3,,
R 6 300 000,House,1276m²,,R2870,1,3,3.5,3,,1.0
R 1 100 000,Apartment/Flat,,138m²,R865,0,2,1,1,R3615,
R 4 794 900,Apartment/Flat,135m²,135m²,,0,3,2,,R2600,
R 490 000,Apartment/Flat,5861m²,83m²,,0,3,1,1,,
R 790 000,House,,,R300,0,3,2,3,,
R 625 000,Townhouse,,,R395,0,3,2,,R1300,0.0
R 595 000,Apartment/Flat,,,R369,1,2,1,1,R1300,0.0
R 950 000,House,495m²,,R468,1,3,1,8,,
R 1 450 000,House,910m²,,R575,1,3,2,,,1.0
R 2 980 000,House,,260m²,,1,2,2,3,,1.0
R 649 000,Apartment/Flat,,72m²,R300,0,2,1,1,R1089,0.0
R 450 000,Apartment/Flat,,33m²,,0,1,1,,,
R 3 250 000,CommercialProperty,,,,0,,,,,
R 4 450 000,House,1020m²,,R2909,0,4,3,3,,
R 8 500 000,VacantLand/Plot,79000m²,,,0,,,,,
R 25 000 000,IndustrialProperty,,10500m²,,0,,,,,
R 1 095 000,House,,,,0,3,2,,,1.0
R 449 000,House,150m²,,,0,1,1,2,,
R 2 730 000,CommercialProperty,496m²,,,0,,,,,
R 1 425 000,House,495m²,,R1250,0,3,2,1,,
R 6 000 000,IndustrialProperty,1500m²,,,0,,,,,
R 3 595 000,House,1159m²,,,0,3,3,3,,1.0
R 1 750 000,CommercialProperty,,,,0,,,,,
R 595 000,House,,,,0,2,1,,,
R 9 600 000,House,,,,0,,,,,
R 1 090 000,House,429m²,,R330,0,5,2,2,,1.0
R 28 000 000,IndustrialProperty,12800m²,,,0,,,,,
R 690 000,Townhouse,,,,1,3,2,1,,
R 3 150 000,Apartment/Flat,,117m²,R2173,0,2,2,2,R5046,
R 7 000 000,IndustrialProperty,7786m²,,,0,,,,,
R 490 000,Townhouse,,46m²,R238,0,2,1,,R680,
R 1 900 000,Townhouse,164m²,164m²,,0,3,2,5,,1.0
R 1 350 000,Apartment/Flat,1982ha,128m²,R499,0,3,2,2,,
R 1 299 000,House,,,,0,3,2,3,,1.0
R 570 000,,,,,0,,,,,
R 865 000,House,495m²,,,0,3,1,,,
R 3 900 000,House,1612m²,493m²,R1414,0,7,5,5,,
R 1 850 000,Apartment/Flat,4673m²,96m²,R1198,1,2,2,2,R2851,1.0
R 669 000,Apartment/Flat,,,,0,2,1,1,,
R 2 150 000,Townhouse,,124m²,R1886,1,3,2.5,1,R1960,1.0
R 1 600 000,Apartment/Flat,1m²,136m²,R1233,0,3,2,1,,
R 3 000 000,VacantLand/Plot,,,,0,,,,,
R 19 999 999,CommercialProperty,8470m²,8470m²,,0,,,,,
R 1 650 000,Apartment/Flat,,82m²,R1300,0,2,2,2,R2500,0.0
R 570 000,Apartment/Flat,75m²,,,0,2,1,,R1800,
R 4 299 000,House,,,R2300,0,3,2,2,,
R 1 120 000,House,495m²,,,0,3,2,2,,
R 2 800 000,House,,,,0,,,,R2200,
R 2 350 000,IndustrialProperty,691m²,1000m²,,0,,,,,
R 1 999 000,House,1801m²,310m²,R1646,1,3,2.5,3,,1.0
R 570 000,Apartment/Flat,637m²,55m²,,1,1,1,,R2900,0.0
R 8 000 000,CommercialProperty,1249m²,1000m²,,0,,,,,
R 450 000,Apartment/Flat,1016m²,45m²,R200,0,1,1,2,R1400,0.0
R 750 000,House,248m²,,R389,0,3,1,3,,0.0
R 720 000,Apartment/Flat,,69m²,R550,0,1,1,1,R1800,
R 1 695 000,Apartment/Flat,,139m²,R1207,1,2,2,2,R3658,
R 230 000,Apartment/Flat,,28m²,R392,0,0.5,1,,R1190,0.0
R 2 135 000,Townhouse,,239m²,R1440,0,3,2.5,2,R2880,0.0
R 1 600 000,House,405m²,,R650,0,3,2,2,,
R 27 500 000,CommercialProperty,3689m²,,,0,,,,,
R 7 900 000,House,3965m²,,,0,4,2,2,,
R 1 450 000,House,515m²,,R560,1,3,3,2,,1.0
R 500 000,Apartment/Flat,6783m²,47m²,,1,2,1,,,
R 1 200 000,House,1000m²,1000m²,,0,10,9,,,
R 230 000,Apartment/Flat,2221m²,30m²,R200,0,0.5,1,,R660,0.0
R 1 190 000,Townhouse,164521m²,72m²,,0,1,1.5,,,0.0
R 785 000,Apartment/Flat,,,,1,2,2,1,,
R 1 375 000,Apartment/Flat,,108m²,R1093,0,2,1,1,R2093,
R 4 875 000,House,609m²,,R2776,1,3,3.5,2,R2997,1.0
R 950 000,VacantLand/Plot,496m²,,R245,0,,,,,1.0
R 3 750 000,CommercialProperty,1500m²,496m²,,0,,,,,
R 1 850 000,House,693m²,182m²,,0,1,1,10,,0.0
R 7 870 000,CommercialProperty,1393.54m²,,,0,,,,,
R 539 000,,,,,0,,,,,
R 800 000,House,318m²,,R371,0,3,1.5,,,1.0
R 1 600 000,House,495m²,,,0,3,2,,,
R 1 520 000,Apartment/Flat,,127m²,R970,0,3,1.5,,R2010,0.0
R 8 500 000,House,2228m²,,R4000,1,5,4.5,4,,1.0
R 570 000,Apartment/Flat,,65m²,,0,2,1,1,R1370,0.0
R 465 000,Apartment/Flat,,27m²,,1,1,1,,R715,
R 700 000,VacantLand/Plot,,,,0,,,,,
R 5 750 000,House,1500m²,,R2688,0,3,2,5,,
R 1 150 000,CommercialProperty,495m²,,,0,,,,,
R 3 795 000,House,1661m²,,,1,4,2.5,4,,
R 650 000,Apartment/Flat,67m²,67m²,,0,1,1,,,
R 400 000,Apartment/Flat,497m²,82m²,,0,2,1.5,1,R1030,
R 4 900 000,House,1289m²,,R3924,1,4,3,2,,1.0
R 555 000,Apartment/Flat,,46m²,R271,0,1,1,,R1333,
R 700 000,Apartment/Flat,,109m²,,0,2,1,,R2340,
R 2 745 000,Townhouse,,,,0,3,3,2,R6043,0.0
R 1 875 000,Apartment/Flat,,158m²,R1000,1,2,2,1,R2000,1.0
R 4 000 000,IndustrialProperty,920m²,920m²,,0,,,,,
R 890 000,House,,,,0,3,2,1,,1.0
R 30 000 000,IndustrialProperty,,10000m²,,0,,,,,
R 8 750 000,IndustrialProperty,6062m²,6062m²,,0,,,,,
R 995 000,Apartment/Flat,2073m²,68m²,R1511,0,1,1,,R1925,
R 1 800 000,Apartment/Flat,,,R453,0,1,1,1,,
R 2 399 000,House,991m²,,,0,4,2,5,,1.0
R 6 750 000,House,1868m²,600m²,,1,5,3.5,4,,
R 16 970 000,House,2137m²,1023m²,,1,6,4.5,9,,1.0
R 4 350 000,House,1487m²,,R1500,1,4,2.5,2,,
R 7 595 000,VacantLand/Plot,660m²,434m²,R1500,0,,,,R1520,
R 8 908 900,Apartment/Flat,188m²,188m²,,0,3,2,,R4600,
R 3 850 000,Apartment/Flat,,405m²,,0,3,3.5,,,
R 695 000,House,1230m²,,R335,0,3,2,1,,1.0
R 3 800 000,House,1313m²,,R2700,0,3,2,2,,1.0
R 3 000 000,IndustrialProperty,2500m²,2500m²,R11500,0,,,,,
R 955 000,Apartment/Flat,,110m²,,0,2,1,,R3400,
R 7 999 000,Farm,,,,0,,,,,
R 2 700 000,House,1078m²,,,0,7,5,,,
R 2 600 000,House,402m²,,,0,4,3,1,,
R 1 449 000,House,1111m²,,,0,3,2,26,,
R 2 800 000,Apartment/Flat,,194m²,,0,3,2,2,,0.0
R 2 499 000,House,,,,1,4,2.5,4,,
R 799 000,Townhouse,,84m²,,0,2,1,1,,
R 1 499 000,Apartment/Flat,,90m²,R1190,0,2,2,2,R2263,
R 2 495 000,House,743m²,,R1792,0,12,2,,,1.0
R 9 500 000,IndustrialProperty,10585m²,,,0,,,,,
R 750 000,House,535m²,,,0,3,1.5,1,,1.0
R 6 500 000,IndustrialProperty,2974m²,1903m²,,0,,,,,
R 5 499 000,House,1494m²,,R13000,1,9,11,,,
R 1 795 000,House,1000m²,,R2387,0,2,1,2,,1.0
R 1 700 000,IndustrialProperty,300m²,300m²,,0,,,,,
R 380 000,Apartment/Flat,,37m²,R300,0,1,1,,R600,1.0
R 380 000,Apartment/Flat,2577m²,33m²,R450,1,,1,,R750,
R 3 350 000,Townhouse,,192m²,R2000,0,3,2.5,2,R4400,0.0
R 450 000,Apartment/Flat,,,,0,2,1,1,,
R 1 690 000,House,800m²,,,0,3,2,2,,1.0
R 16 500 000,CommercialProperty,527m²,2128m²,R12193,0,,,,,
R 799 000,Apartment/Flat,,75m²,R465,0,2,2,1,R1760,
R 699 000,Apartment/Flat,,52m²,R375,1,1,1,1,R2100,
R 35 000 000,IndustrialProperty,7918m²,7589m²,,0,,,,,
R 7 995 000,House,595m²,400m²,R1800,0,4,4,2,R1375,
R 6 495 000,House,1020m²,,,1,4,4.5,4,,1.0
R 2 399 000,Townhouse,,190m²,,0,3,2,4,,
R 659 000,Apartment/Flat,113m²,115m²,R500,0,3,2,1,R1800,0.0
R 2 000 000,CommercialProperty,495m²,,,0,,,,,
R 4 100 000,CommercialProperty,942m²,250m²,,0,,,,,
R 630 000,Apartment/Flat,,55m²,R381,0,2,1,1,R1183,
R 8 688 900,Apartment/Flat,188m²,188m²,,0,3,3,,R4600,
R 1 200 000,House,,115m²,R700,0,3,3,2,R2200,
R 689 000,Apartment/Flat,,50m²,R338,1,1,1,1,R2048,
R 2 499 000,House,1086m²,,,1,4,3,5,,1.0
R 5 600 000,IndustrialProperty,3664m²,2240m²,R5600,0,,,,,
R 549 000,Apartment/Flat,,33m²,R1200,0,1,1,1,R210,1.0
R 980 000,House,523m²,150m²,R570,1,3,1,1,,0.0
R 1 500 000,House,1795m²,,,1,4,3,8,,
R 1 899 999,House,992m²,,,0,3,2,1,,0.0
R 4 500 000,IndustrialProperty,700m²,700m²,,0,,,,,
R 1 250 000,House,,,,0,6,3,2,,
R 800 000,Townhouse,18135m²,70m²,R449,1,2,1,1,R2316,0.0
R 795 000,Apartment/Flat,,84m²,R870,1,1,1,1,R2692,0.0
R 3 999 000 - R 4 249 000,,,,,0,,,,,
R 9 850 000,House,646m²,527m²,R2300,1,3,3,2,,1.0
R 2 200 000,Apartment/Flat,,120m²,,1,3,2,,,1.0
R 2 999 000,House,496m²,200m²,R2000,1,2,2,2,,1.0
R 330 000,Apartment/Flat,,,,0,3,1,,,
R 575 000,Apartment/Flat,,77m²,R258,0,,1,,R1502,
R 19 999 000,House,2035m²,900m²,R5300,1,6,4.5,15,,1.0
R 1 295 000,House,727m²,,R450,0,3,1,9,,0.0
R 330 000,Apartment/Flat,,32m²,R300,0,0.5,1,1,R720,0.0
R 1 249 999,House,,,,0,3,2,,,
R 590 000,House,378m²,70m²,,0,2,1,3,,
R 400 000,Apartment/Flat,,113m²,R600,0,2,2,1,R1700,0.0
R 2 600 000,House,1020m²,,R1999,0,3,2,8,,
R 790 000,House,783m²,,,0,4,2,2,,1.0
R 820 000,Apartment/Flat,,108m²,R2600,1,1,1,1,,1.0
R 545 000,Townhouse,,50m²,R380,1,1,1,1,R1500,0.0
R 580 000,Apartment/Flat,,57m²,R355,1,2,1,1,R1202,
R 4 750 000,IndustrialProperty,1658m²,1200m²,,0,,,,,
R 830 000,House,217m²,,R400,0,3,2,2,R300,
R 185 000,Apartment/Flat,,45m²,,0,0.5,1,,,
R 2 999 999,House,495m²,495m²,R2182,0,3,3,2,,1.0
R 1 350 000,Townhouse,82m²,,R1000,1,3,2,,R1000,
R 420 000,Apartment/Flat,,37m²,R977,0,1,1,,R882,
R 1 475 000,Apartment/Flat,,77m²,R1272,1,2,2,,R3132,0.0
R 1 650 000,House,248m²,,R552,0,3,2,2,,1.0
R 750 000,House,,,,0,3,1,2,,0.0
R 1 425 000,Apartment/Flat,,110m²,R1300,0,3,2,3,R1286,
R 539 000,Apartment/Flat,2698m²,51m²,,0,2,1,,,0.0
R 1 749 000,House,495m²,,,0,3,3,3,,1.0
R 1 300 000,House,496m²,,R575,0,7,4,4,,
R 2 100 000,House,992m²,,R1096,1,5,4,8,,1.0
R 880 000,House,427m²,,,0,4,2,2,,
R 1 680 000,Apartment/Flat,496m²,150m²,,0,,,,,
R 1 699 000,Apartment/Flat,495m²,,,0,11,7,,,0.0
R 6 500 000,House,2030m²,,R3530,1,4,3.5,4,,1.0
R 895 000,Apartment/Flat,,,R325,0,1,1,,R850,0.0
R 2 400 000,Apartment/Flat,,,R1440,0,3,2,4,R2880,
R 2 190 000,House,,,,0,6,4,2,,
R 2 400 000,House,1629m²,,R1900,0,4,3,2,,
R 3 300 000,IndustrialProperty,2400m²,,,0,,,,,
R 15 999 000,House,3727m²,,,1,5,4.5,3,,1.0
R 1 090 000,Apartment/Flat,500m²,99m²,R437,0,1,2.5,,R2862,
R 9 850 000,House,1271m²,,,1,4,3.5,2,,1.0
R 1 799 000,House,497m²,,,1,3,1.5,4,,
R 780 000,Apartment/Flat,,71m²,R389,0,2,1,,R1550,
R 3 200 000,House,1617m²,,R2292,1,5,3,1,,
R 4 495 000,House,650m²,435m²,,1,4,4,4,,1.0
R 6 750 000,House,,,,1,3,3.5,3,,1.0
R 645 000,Apartment/Flat,655m²,46m²,R300,1,2,1,,R1900,0.0
R 1 800 000,Apartment/Flat,,142m²,R1200,0,3,2,2,R3082,0.0
R 22 000 000,Apartment/Flat,,412m²,R10000,0,4,4.5,4,R18200,
R 2 799 000,House,495m²,,R1885,0,3,2,2,,1.0
R 1 000 000,Apartment/Flat,,,R392,1,2,1,1,R2808,
R 3 350 000,House,1507m²,,,1,4,2,4,,1.0
R 1 870 000,House,793m²,,R720,0,3,1.5,1,,1.0
R 3 750 000,House,1011m²,,R2001,1,4,3,4,,1.0
R 1 300 000,House,495m²,,R1200,0,3,2,2,,
R 2 000 000,IndustrialProperty,,385m²,,0,,,,,
R 3 750 000,House,495m²,,,1,2,2,3,,1.0
R 980 000,House,600m²,,R581,0,3,1,1,,0.0
R 7 999 000,VacantLand/Plot,42478m²,,,0,,,,,
R 1 950 000,House,1950m²,987m²,R650,1,4,3,4,,1.0
R 1 400 000,House,495m²,208m²,R2000,1,4,2,,,1.0
R 2 300 000,House,1015m²,,R1242,1,3,2,4,,1.0
R 1 900 000,House,1000m²,,R764,1,4,2,4,,1.0
R 575 000,Apartment/Flat,995m²,45m²,R300,1,0.5,1,,R2000,0.0
R 2 850 000,CommercialProperty,7000ha,2200m²,R13000,0,,,,,
R 850 000,Townhouse,,,R650,0,3,3,2,R2285,
R 490 000,Apartment/Flat,,,,1,1,1,,,
R 985 000,Townhouse,,98m²,R543,0,3,2,1,R1943,
R 2 625 000,House,992m²,,R2281,1,3,2,4,,1.0
R 850 000,Apartment/Flat,,,,0,1,1,,,
R 2 499 000,House,714m²,,,0,5,4,6,,
R 1 695 000,Apartment/Flat,119m²,119m²,,1,2,3.5,1,,
R 550 000,Apartment/Flat,,78m²,R378,0,1,1,1,R2049,0.0
R 12 369 000,CommercialProperty,651m²,,,0,,,,,
R 1 549 000,House,495m²,,R575,0,4,1,1,,
R 37 000 000,VacantLand/Plot,4625m²,,,0,,,,,
R 4 500 000,IndustrialProperty,838m²,1370m²,R5200,0,,,,,
R 1 350 000,Townhouse,,82m²,R1000,0,3,2,2,R1268,0.0
R 5 980 000,House,,,,1,3,2,,,
R 12 500 000,House,818m²,,,1,5,4.5,2,,1.0
R 1 730 000,House,1460m²,,R2000,1,3.5,2,7,,1.0
R 499 000,House,378m²,,,0,2,1,4,,
R 825 000,Apartment/Flat,,78m²,R311,0,1,1,1,R2070,0.0
R 3 200 000,House,2023m²,,R1467,1,3,3,1,,1.0
R 680 000,Townhouse,,,,0,2,1,1,R1347,
R 2 995 000,House,496m²,1m²,R2100,1,3,2,1,,1.0
R 795 000,Apartment/Flat,,75m²,,0,2,1,,R1701,
R 2 100 000,House,892m²,,,0,3,2,,,
R 1 030 000,House,427m²,,R480,0,3,3,4,,0.0
R 35 000 000,House,497m²,,R12500,0,4,6,,,
R 550 000,Apartment/Flat,,87m²,,1,2,2,2,,0.0
R 8 000 000,VacantLand/Plot,,,,0,,,,,
R 3 200 000,VacantLand/Plot,882m²,882m²,,0,,,,R3000,
R 2 845 000,VacantLand/Plot,,,,0,,,,,
R 260 000,Apartment/Flat,,113m²,,0,2,1.5,1,,
R 1 249 000,Apartment/Flat,,182m²,,1,2,2,,,
R 1 175 000,Apartment/Flat,,,R566,0,3,2,,R1586,
R 690 000,Townhouse,,,,0,,,,R1787,
R 500 000,Apartment/Flat,6339m²,66m²,R250,0,2,1,,R1400,
R 815 000,House,200m²,65m²,R450,0,3,1,2,,1.0
R 590 000,Apartment/Flat,,,R346,0,2,1,1,R1600,
R 3 999 000,House,1206m²,,,0,4,3,5,,1.0
R 1 399 000,Apartment/Flat,,99m²,,1,3,2,,R1500,
R 895 000,Apartment/Flat,,80m²,R498,1,2,1,,R2524,0.0
R 2 300 000,CommercialProperty,498m²,,,0,,,,,
R 1 899 000,House,530m²,,,0,3,2,4,,1.0
R 10 900 000,CommercialProperty,320m²,,,0,,,,,
R 19 950 000,House,4165m²,,,1,3,3.5,6,,0.0
R 2 599 000,CommercialProperty,990m²,990m²,R1150,0,,,,,
R 699 000,Apartment/Flat,38472m²,67m²,R1026,1,3,1,,R945,0.0
R 7 200 000,House,2076m²,,,0,3,6,3,,
R 9 500 000,House,522m²,,R3621,1,3,2.5,3,R4500,
R 1 450 000,House,607m²,272m²,,1,8,4,4,,1.0
R 3 900 000,Apartment/Flat,,118m²,,1,1,2,2,,0.0
R 3 415 000,VacantLand/Plot,,,,0,,,,,
POA,House,,,,1,5,5,1,,
