price,bedrooms,bathrooms,Type of Property,Floor Size,Levies,Rates and Taxes,Pets Allowed,Pool,Erf Size,parking space
R 1 090 000,4,3,Apartment/Flat,95m²,R2837,R508,,1,655m²,
R 5 600 000,2,4,Apartment/Flat,420m²,R4702,R1416,0.0,0,420m²,2
R 680 000,,,CommercialProperty,135m²,R2137,R980,,0,,
R 3 250 000,3,2.5,House,,,,1.0,1,1101m²,4
R 1 450 000,4,2,House,,,,1.0,1,485m²,5
R 1 420 000,3,2,House,,,,,1,495m²,2
R 440 000,1,1,Apartment/Flat,48m²,,R800,,0,,2
R 860 000,,,VacantLand/Plot,,,,,0,,
R 3 790 000,5,4.5,House,410m²,,,1.0,1,1683m²,5
R 245 000,1.5,1,Apartment/Flat,72m²,R500,,0.0,0,,1
R 1 299 000,3,2,Apartment/Flat,106m²,R1350,R361,1.0,0,,
R 750 000,,,House,,,,1.0,0,1509m²,
POA,,,CommercialProperty,,,,,0,1258m²,
R 2 599 000,2,2.5,House,,R2647,R1534,1.0,0,234m²,1
R 355 000,0.5,1,Apartment/Flat,24m²,R1445,R569,0.0,0,,
R 1 385 000,3,2,House,495m²,,R800,,1,495m²,2
R 859 000,2,1,Townhouse,66m²,R1100,R532,0.0,0,32440m²,1
R 850 000,3,2,House,70m²,,R350,,0,200m²,
R 4 990 000,,,,,,,,0,,
R 330 000,0.5,1,Apartment/Flat,53m²,R1008,,0.0,0,,
R 470 000,2,1,House,57m²,R740,R293,,0,57m²,1
R 1 139 000,3,2,Apartment/Flat,100m²,R1375,R400,0.0,1,11600m²,2
R 755 000,2,1,Apartment/Flat,,R1200,R250,,0,,1
R 1 250 000,3,2,Townhouse,,R2200,R450,1.0,1,,1
R 4 000 000,2,2,Apartment/Flat,86m²,,,0.0,1,,2
R 13 000 000,,,IndustrialProperty,6000m²,,,,0,,
R 1 850 000,2,2,House,,,R3042,1.0,0,743m²,2
R 500 000,3,1,Apartment/Flat,95m²,,R256,0.0,0,496m²,
R 1 199 000,3,3,House,,,R833,1.0,1,960m²,4
R 450 000,3,1,House,,,,1.0,0,,
R 795 000,,,House,,,,,0,1529m²,
