price,bedrooms,bathrooms,Type of Property,Pool,parking space,Erf Size,Levies,Rates and Taxes,Pets Allowed,Floor Size
R 1 199 000,2,2,Apartment/Flat,0,1,,R630,R881,1.0,101m²
R 555 000,3,1,House,0,4,600m²,,,,
R 2 300 000,4,3,House,0,2,1487m²,,R877,0.0,
R 3 880 000,3,2.5,House,0,2,495m²,,R2450,1.0,495m²
R 11 000 000,,,IndustrialProperty,0,,12082m²,R12082,,,12082m²
R 2 390 000,,,,0,,,,,,
R 3 995 000,4,4,House,1,3,1619m²,,,0.0,
R 1 320 000,3,1,Apartment/Flat,0,2,,R3800,R600,,135m²
R 1 500 000,4,2,Apartment/Flat,1,3,5855m²,,R716,0.0,232m²
R 480 000,2,1,Apartment/Flat,0,1,994m²,R800,R1000,0.0,100m²
R 850 000,4,2,House,0,1,378m²,,,0.0,
R 1 549 000,2,2,Apartment/Flat,1,1,,R3010,R1200,,77m²
R 2 499 000,4,2,Apartment/Flat,0,2,,R5600,R1800,,232m²
R 50 000 000,,,IndustrialProperty,0,,6764m²,R4632,,,
R 600 000,2,1,Apartment/Flat,0,1,,R800,R280,,50m²
R 1 050 000,3,1,House,0,,495m²,,R500,0.0,490m²
R 6 800 000,,,VacantLand/Plot,0,,45033m²,,,,
R 480 000,1,1,Apartment/Flat,0,,2478m²,R886,R300,0.0,33m²
R 650 000,7,1,House,0,1,260m²,,,,
R 3 750 000,,2.5,House,0,2,487m²,,,1.0,
R 799 000,2,2,Apartment/Flat,0,1,,,,,97m²
R 8 350 000,3,3.5,Apartment/Flat,1,2,,R9470,R4716,1.0,220m²
R 1 090 000,2,2,Apartment/Flat,0,2,,,,,
R 695 000,2,1,Apartment/Flat,1,1,,R1497,R364,0.0,
R 750 000,3,1,House,0,,,,,,
R 4 782 000,,,,0,,,,,,
R 2 049 000,4,2.5,House,0,,990m²,,,,
R 2 050 000,5,3,House,0,3,,R1500,R250,,
R 1 295 000,1,1,Apartment/Flat,0,1,,R1800,R800,0.0,57m²
R 999 999,,,CommercialProperty,0,,505m²,,R950,,
R 1 800 000,,,VacantLand/Plot,0,,,,,,
R 1 225 000,3,2,Apartment/Flat,0,2,,R2585,R604,0.0,125m²
R 400 000,2,2,Apartment/Flat,0,2,1990m²,R1400,R300,0.0,70m²
R 2 299 000,2,2,Apartment/Flat,0,1,,R5100,,1.0,170m²
R 1 999 000,2,1,Apartment/Flat,0,,,R3671,R1082,,112m²
R 680 000,,,House,0,,,,,,
R 650 000,2,1,Apartment/Flat,0,,,R649,R250,,
R 400 000,1,1,Apartment/Flat,1,2,5158m²,R940,R300,0.0,29m²
R 1 300 000,3,1,House,0,,421m²,,,,
R 2 650 000,3,1,House,0,5,494m²,,,,
R 4 100 000,2,2,Apartment/Flat,1,2,,R6491,R2406,0.0,130m²
R 2 299 000 - R 2 552 550,,,,0,,,,,,
R 1 150 000,2,2.5,Apartment/Flat,1,2,125m²,,,,125m²
R 4 500 000,5,4,House,1,2,1043m²,,,1.0,
R 849 995,2,1,Apartment/Flat,1,,1898m²,R2000,R300,0.0,93m²
R 750 000,3,1,Townhouse,0,,,R1500,R413,,67m²
R 825 000,2,1,Apartment/Flat,0,,,R1918,,,50m²
R 980 000,3,1,House,0,2,495m²,R1400,R300,0.0,495m²
R 1 299 000,1,1,Apartment/Flat,0,,,R2274,R1048,1.0,88m²
R 850 000,2,1,Apartment/Flat,1,1,,,,,
R 1 549 000,3,2,Apartment/Flat,0,2,,R5173,R1715,,178m²
