price,bedrooms,bathrooms,Type of Property,Pool,parking space,Erf Size,Levies,Rates and Taxes,Pets Allowed,Floor Size
R 1 565 000,4,2,House,0,2,661m²,,,1.0,209m²
R 5 650 000,3,3.5,Apartment/Flat,0,2,,R4000,R3500,0.0,257m²
R 1 100 000,1,1,Townhouse,0,,,,R868,,77m²
R 490 000,0.5,1,Apartment/Flat,0,,5158m²,R1186,R253,,26m²
R 7 995 000,4,5,House,0,4,2371m²,,R900,1.0,798m²
R 1 850 000,,,CommercialProperty,0,,495m²,,R897,,380m²
R 1 399 000,3,2,Apartment/Flat,1,1,,R1372,R363,1.0,108m²
R 1 575 000,3,1,Apartment/Flat,0,2,4465m²,R2550,R675,0.0,159m²
R 950 000,1,1,Apartment/Flat,0,,725m²,R2400,,1.0,81m²
R 2 999 000,5,3,House,1,4,,,,,
R 9 799 000,,,Townhouse,0,,495m²,,,,
R 2 350 000,,1,Apartment/Flat,1,1,,R2244,,,52m²
R 850 000,3,2,Townhouse,0,,,R1500,R800,,78m²
R 650 000,3,2,Apartment/Flat,0,,,R1650,R200,,2095m²
R 707 180 - R 751 950,,,,0,,,,,,
