price,bedrooms,bathrooms,parking space,Type of Property,Erf Size,Floor Size,Levies,Rates and Taxes,Pets Allowed,Pool
R 1 499 000,3,3,1,House,450m²,,,,,0
R 2 100 000,4,2,,House,,,,,,0
R 1 250 000,5,2,2,House,712m²,,,,,0
R 2 690 000,2,2,2,Apartment/Flat,,138m²,R2886,R1232,0.0,0
R 13 000 000,16,16,,House,1000m²,,,,,1
R 340 000,3,2,2,Apartment/Flat,,122m²,R800,R230,0.0,0
R 899 000,3,2,,Townhouse,,,R1100,R350,,0
R 990 000,3,2,6,House,864m²,,,,,1
R 2 499 900 - R 3 099 900,,,,,,,,,,0
R 4 299 000,3,2.5,4,House,496m²,,,,,0
R 3 000 000,,,,CommercialProperty,1274m²,,,,,0
R 1 470 000,2,2,1,Apartment/Flat,,,R4075,,0.0,0
R 2 950 000,4,3,2,House,1044m²,,,,,0
R 3 499 000,4,2,10,House,1487m²,,,,,1
R 6 495 000,4,4,7,House,1651m²,,,,,1
R 540 000,1,1,,Apartment/Flat,,,,,,0
R 495 000,1,1,1,Townhouse,,,,,,0
R 19 990 000,5,6,5,House,5700m²,,R1000,R4000,,1
R 1 699 000,3,2,1,House,2019m²,,,,,1
R 2 390 000,,,,House,,,,,,0
R 2 250 000,4,3,2,House,495m²,400m²,,,0.0,0
R 2 000 000,,,17,Apartment/Flat,2500m²,495m²,,R5893,,0
R 600 000,1,1,1,Apartment/Flat,,89m²,R2353,R1400,,0
R 7 000 000,6,4,,House,20215m²,,,,,0
R 1 500 000,13,4,3,House,496m²,,,,,0
R 3 500 000,,,,House,,,,,,0
R 1 670 000,2,1,2,Apartment/Flat,,86m²,R1914,,1.0,1
R 3 500 000,,,,CommercialProperty,694m²,,,,,0
R 2 600 000,8,3.5,8,House,546m²,,,,,0
R 8 499 900,,,,,,,,,,0
R 799 000,1,1,,Apartment/Flat,,54m²,R990,R163,,0
R 4 000 000,,,,CommercialProperty,2868m²,,,,,0
R 10 500 000,4,3,2,House,3965m²,,,,1.0,1
R 850 000,1,1,1,Apartment/Flat,,,,,0.0,0
R 240 000,3,1,2,Apartment/Flat,9700m²,74m²,R900,R300,0.0,0
R 940 000,2,1,1,Apartment/Flat,,75m²,R1985,,1.0,1
R 16 000 000,6,6.5,14,House,4300m²,1700m²,,,0.0,1
R 5 650 000,4,3,10,House,2890m²,,,,,1
R 840 000,3,1.5,1,Apartment/Flat,,,R1450,R400,,0
R 1 250 000,2,2,2,House,740m²,,,,,0
R 4 700 000,,,,VacantLand/Plot,3642m²,,,,,0
R 650 000,1.5,1,1,Apartment/Flat,,72m²,,,0.0,0
R 3 200 000,4,2,3,House,1983m²,,,,1.0,0
R 1 000 000,7,2,2,House,495m²,,,,1.0,0
R 200 000,0.5,1,,Apartment/Flat,,,R690,R230,,0
R 599 000 - R 750 000,,,,,,,,,,0
R 770 000,2,1,,Apartment/Flat,,,R500,R500,,1
R 1 260 000,3,2,7,House,470m²,,,,1.0,1
R 268 500 000,,,,CommercialProperty,,7258m²,,,,0
R 1 399 000,4,2,4,House,496m²,,,,,0
R 870 000,3,2,,House,778m²,,,,,0
