price,bedrooms,bathrooms,Type of Property,Floor Size,Levies,Rates and Taxes,Pets Allowed,Pool,parking space,Erf Size
R 3 298 900,2,2,Apartment/Flat,83m²,R2000,,,0,,83m²
R 485 000,0.5,1,Apartment/Flat,44m²,R1600,R300,0.0,0,,499m²
R 599 000,4,2,House,,,R353,,0,1,169m²
R 1 090 000,3,2,House,,,R804,,0,2,496m²
R 2 508 000,1,1,Apartment/Flat,53m²,R1300,,,0,,53.5m²
R 1 350 000,1,1.5,Apartment/Flat,105m²,R2400,R727,1.0,0,2,6842m²
R 460 000,2,2,Apartment/Flat,110m²,,,0.0,0,1,
R 3 395 000,3,2,House,,,R2158,1.0,1,2,1511m²
R 1 500 000,7,4,House,120m²,,R450,,0,,500m²
R 780 000,4,2,House,,,R385,1.0,0,1,2277m²
R 6 490 000,4,3,House,,,R5350,,1,9,1753m²
R 475 000,1,1,Apartment/Flat,64m²,R1791,R1296,0.0,0,,
R 1 800 000,8,2,House,,,R612,0.0,0,3,472m²
R 2 999 999,3,2,House,,,,,1,2,600m²
R 690 000,2,1.5,Townhouse,61m²,R1600,R482,0.0,0,1,6483m²
R 4 700 000,4,3.5,House,,,R1981,,1,2,1180m²
R 1 199 000,3,2,Townhouse,135m²,R2200,,1.0,1,2,
R 629 000,,,,,,,,0,,
R 2 290 000,4,3,House,295m²,,,,1,2,495m²
R 1 150 000,,,House,,,,,0,,474m²
R 1 849 000,3,2,House,,,,1.0,1,2,744m²
R 1 900 000,,,IndustrialProperty,375m²,,,,0,,375m²
R 799 999,3,2,House,,,R312,1.0,0,,478m²
R 1 750 000,3,2,Townhouse,102m²,R3500,R1050,1.0,1,2,
R 1 250 000,3,2,House,,,,,0,5,
POA,3,2,House,,,R775,,0,3,814m²
R 560 000,1,1,Apartment/Flat,50m²,R1580,R60,0.0,1,1,8595m²
R 1 095 000,3,2,House,,,R400,,0,6,874m²
R 220 000,,1,Apartment/Flat,,,,,1,1,
R 290 000,,,House,,,,,0,,
R 1 850 000,1,1,Apartment/Flat,50m²,,R1175,0.0,0,1,1861m²
R 385 000,1,1,Apartment/Flat,42m²,,,0.0,0,1,
R 1 999 000,9,5,House,,,,,0,,1487m²
R 9 800 000,8,4,House,620m²,,R4000,0.0,1,10,2022m²
R 1 850 000,2,1,Apartment/Flat,156m²,R5979,R1015,0.0,1,1,4968m²
R 7 600 000,5,5,House,450m²,,R3703,,0,3,1300m²
R 739 000 - R 789 000,,,,,,,,0,,
R 330 000,0.5,1,Apartment/Flat,20m²,R700,R200,0.0,0,,
R 13 480 000,5,4.5,House,857m²,,R6877,1.0,1,3,3383m²
R 320 000,2,1.5,Apartment/Flat,100m²,R1826,,0.0,0,1,
R 835 000,2,2,Apartment/Flat,106m²,R3723,R1208,0.0,0,1,
R 550 000,0.5,1,Apartment/Flat,46m²,R1300,R300,0.0,0,,1616m²
R 380 000,2,2,Apartment/Flat,103m²,R914,,0.0,0,1,
R 2 300 000,3,1.5,Apartment/Flat,139m²,R3100,R893,0.0,0,2,
R 3 518 900,2,2,Apartment/Flat,92m²,R2200,,,0,,92m²
R 2 790 000,3,2,House,,,R858,,0,2,1370m²
R 9 800 000,3,3,Apartment/Flat,178m²,R7000,R3500,,0,2,
R 1 900 000,,,CommercialProperty,900m²,,R3862,,0,,
R 540 000,1,1,Apartment/Flat,38m²,R1400,R200,,0,,
R 195 000,0.5,1,Apartment/Flat,38m²,R1129,,0.0,0,1,
R 675 000,2,1,Apartment/Flat,,,R250,,0,1,
R 1 280 000,11,5,House,,,,,0,5,495m²
R 32 500 000,,,CommercialProperty,,,,,0,,
R 760 000,2,1,Townhouse,80m²,R2149,,,1,2,80m²
R 2 650 000,4,2,Apartment/Flat,154m²,R2500,R1500,0.0,0,1,154m²
