price,bedrooms,bathrooms,Type of Property,Pool,parking space,Floor Size,Levies,Rates and Taxes,Pets Allowed,Erf Size
R 430 000,2,1,Apartment/Flat,0,,57m²,,,0.0,
R 1 250 000,3,2,House,1,2,,,,,
R 1 700 000,,,CommercialProperty,0,,,,,0.0,
R 6 000 000,,,CommercialProperty,0,,,,,,
R 550 000,1,1,Apartment/Flat,0,,44m²,,,,
R 460 000,,1,Apartment/Flat,1,,31m²,R920,R960,,5158m²
R 5 499 000,4,1.5,House,0,4,384m²,,,1.0,4259m²
R 799 000,1,1,Apartment/Flat,0,,54m²,R991,R194,,
R 5 704 000,,,CommercialProperty,0,,,,,,
R 1 695 000,2,2,Apartment/Flat,1,2,96m²,R1767,R1246,0.0,
R 1 699 000,3,2,House,0,9,,,,,1321m²
R 550 000,1,1,Apartment/Flat,0,,31m²,R1700,R200,,
R 2 750 000,3,2.5,Apartment/Flat,0,2,155m²,,,,155m²
R 1 350 000,11,2,House,0,1,,,R320,1.0,495m²
R 739 000 - R 789 000,,,,0,,,,,,
POA,,,CommercialProperty,0,,,,,,42140m²
R 799 000,1,1,Apartment/Flat,0,,54m²,R995,R163,,
R 500 000,1,1,Apartment/Flat,0,1,42m²,,,0.0,
R 1 850 000,6,3.5,House,0,,,,R1200,1.0,715m²
R 5 150 000,6,5,House,1,2,,,R1200,1.0,2024m²
R 2 060 000,4,2,House,1,2,,,,,1084m²
R 5 999 000,4,4.5,House,1,12,,,,,
R 15 000 000,,,CommercialProperty,0,,,,,,1616m²
R 2 300 000,,,CommercialProperty,0,,,,,,
R 8 000 000,,,IndustrialProperty,0,,3284m²,,,,11814m²
R 6 900 000,2,2,Apartment/Flat,0,1,139m²,R6100,R4000,0.0,
R 1 320 000,6,4,House,1,,,,,,495m²
R 2 799 000,2,2,Apartment/Flat,1,2,114m²,,,0.0,
R 8 000 000,,,CommercialProperty,0,,,,,,2970m²
R 3 700 000,4,4,House,1,2,,,R1450,1.0,923m²
R 825 000,1,1,Apartment/Flat,0,2,74m²,,,0.0,
POA,,,IndustrialProperty,0,,,,,,
R 3 500 000,4,2.5,House,1,2,,,R2008,1.0,2024m²
R 1 350 000,3,2,Townhouse,0,1,,R750,R439,0.0,
R 749 500,1,1,Apartment/Flat,0,,84m²,R2945,R500,,84m²
R 750 000,4,3,Apartment/Flat,0,4,189m²,R3286,R700,0.0,
R 7 800 000,4,3.5,House,1,3,700m²,,,1.0,3305m²
R 495 000,1,1,Townhouse,0,,66m²,,,,
R 2 399 000,20,13,House,0,,,,,,990m²
R 6 400 000,,,CommercialProperty,0,,,,,1.0,3375m²
R 1 700 000,4,2,House,0,3,,,,,
R 1 700 000,2,2,Apartment/Flat,1,,77m²,R3200,R920,,
R 7 200 000,4,3.5,House,0,3,,,,1.0,2070m²
R 5 450 000,5,3,House,0,2,,,R4600,,2465m²
R 3 300 000,3,4,House,1,2,,,,1.0,495m²
R 2 950 000,3,2,House,0,1,,,R1888,,1013m²
R 1 390 000,2,2,Apartment/Flat,1,1,107m²,R3167,R800,,
R 1 100 000,4,2,House,0,6,,,,,
R 865 000,4,1,House,1,5,,,,,
R 485 000,,,VacantLand/Plot,0,,,,,,976m²
R 950 000,1,1,Apartment/Flat,0,1,80m²,R1480,R650,0.0,
R 2 850 000,3,2.5,House,1,4,,,,1.0,967m²
R 760 000,3,1,House,0,,,,,,290m²
R 629 000,,,,0,,,,,,
R 2 795 000,3,3.5,House,1,2,,,R953,1.0,1806m²
R 6 495 000,3,2.5,House,0,2,,,R4059,1.0,991m²
R 10 000 000,,,IndustrialProperty,0,,1300m²,,,,1300m²
R 10 500 000,,,VacantLand/Plot,0,,,,,,
R 1 450 000,3,2,House,0,,500m²,,R800,,500m²
R 3 000 000,3,2,Apartment/Flat,0,2,156m²,R4400,R1000,1.0,
POA,,,IndustrialProperty,0,,13529m²,,,,
R 1 199 999,3,2,House,0,1,,,R600,1.0,301m²
R 1 800 000,4,2,House,0,5,,,,,496m²
R 799 000,2,1,House,1,1,,,R500,1.0,
R 2 395 000,2,2,House,1,2,,,,,496m²
R 795 000,3,3,House,0,2,200m²,,R1200,,531m²
R 1 850 000,3,2,House,1,3,,,R1250,1.0,991m²
R 1 199 000 - R 1 299 000,,,,0,,,,,,
