price,bedrooms,bathrooms,parking space,Type of Property,Floor Size,Levies,Pets Allowed,Pool,Erf Size,Rates and Taxes
R 750 000,2,1,1,Townhouse,73m²,R2000,,0,,R452
R 750 000,2,1,,Apartment/Flat,,,,0,,
R 4 100 000,6,2,9,House,,,1.0,0,942m²,
R 4 995 000,4,3.5,4,House,,,1.0,1,1170m²,
R 7 200 000,,,,CommercialProperty,,,,0,1787m²,
R 3 500 000,,,,House,,,,0,,
R 675 000,2,1,1,Apartment/Flat,51m²,R744,,0,,R513
R 875 000,3,2,2,Townhouse,,R1900,1.0,1,,R400
R 2 400 000,2,2.5,2,House,,,1.0,1,495m²,
R 2 949 000,4,4,2,House,,,,1,500m²,
R 2 370 500 - R 2 552 550,,,,,,,,0,,
R 3 999 999,,,,CommercialProperty,,,,0,2478m²,
R 2 300 000,5,2,3,House,,,,1,1487m²,
R 520 000,0.5,1,1,Apartment/Flat,39m²,R1200,0.0,0,2073m²,R300
R 730 000,3,2,,Townhouse,,,,0,,
R 370 000,1,1,,Townhouse,,,0.0,0,,
R 2 799 000,11,9,4,House,,,,0,,
R 1 599 000,2,1,1,Apartment/Flat,109m²,,0.0,0,,
R 1 695 000,1,1,,House,1m²,,1.0,0,880m²,R3500
R 578 000,,,,Apartment/Flat,50m²,,,0,50m²,
R 699 000,1,1,1,Apartment/Flat,73m²,R1447,0.0,0,,
R 22 900 000,4,5,6,House,1200m²,,,0,9500m²,
R 2 690 000,4,3.5,1,House,,,,1,495m²,
R 1 500 000,3,3,9,House,,,,0,,
R 11 500 000,,,,CommercialProperty,,,,0,57885m²,
R 3 995 000,,,,CommercialProperty,450m²,,0.0,0,992m²,
R 2 650 000,3,2,5,House,,,1.0,1,1012m²,
R 6 500 000,40,40,,House,,,,0,2091m²,
R 1 300 000,1,1,,Apartment/Flat,147m²,R2518,,0,147m²,R685
R 950 000,2,1,,House,,,1.0,0,320m²,R200
R 380 000,,1,,Apartment/Flat,27m²,R700,,0,2779m²,R250
R 1 190 000,3,1,1,House,,,1.0,0,495m²,R738
R 550 000,2,1,2,Apartment/Flat,,,,1,,
R 379 000,,1,,Apartment/Flat,29m²,R629,,0,29m²,R111
R 1 990 000,,,,CommercialProperty,,,,0,,R1100
R 1 250 000,2,2,,Apartment/Flat,124m²,R2800,1.0,0,,R900
R 550 000,2,1.5,2,Townhouse,65m²,R586,,1,,R291
R 1 085 000,2,2,3,House,,,0.0,0,,
R 2 590 000,3,3,4,House,,,1.0,0,356m²,
R 7 450 000,3,2.5,2,Apartment/Flat,242m²,,,0,,
R 2 800 000,3,3,7,House,,,,1,1338m²,
R 800 000,2,1,,Townhouse,,,,1,,
R 755 000,2,1,1,Apartment/Flat,92m²,,,0,,
R 2 200 000,3,2,4,House,,,,0,496m²,
R 2 300 000,3,2,5,House,,,,0,496m²,
R 4 495 000,7,7,11,House,,,1.0,1,833m²,
R 949 000,2,1.5,1,Apartment/Flat,96m²,R2943,1.0,0,,R414
R 330 000,3,1,,Apartment/Flat,,,,0,,
R 1 600 000,4,1,1,House,,,,0,1000m²,
R 1 800 000,,,,CommercialProperty,,,,0,496m²,
R 1 935 000,4,4,2,House,,,,0,495m²,
R 1 520 000 - R 1 755 000,,,,,,,,0,,
R 1 400 000,3,2,2,House,,,,0,378m²,
R 895 000,3,1,,House,,,,0,,
R 550 000,1,1,1,Apartment/Flat,31m²,R1413,,1,,R348
R 1 500 000,5,2,2,House,,,,0,496m²,
R 820 000,2,1,1,Apartment/Flat,,R1650,,0,,R390
R 1 695 000,3,2,2,House,,,,0,360m²,R1200
R 3 500 000,,,,CommercialProperty,,,,0,2252m²,R3500
R 3 249 000,4,2,5,House,,,1.0,0,999m²,
R 2 900 000,3,2,3,House,,,,1,991m²,
R 3 000 000,4,3,2,House,,,,0,1100m²,
R 1 650 000,2,2,1,Apartment/Flat,104m²,R2282,0.0,0,,R1242
R 392 000,,1,,Apartment/Flat,44m²,R1198,,1,,R346
R 460 000,,1,1,Townhouse,,,,0,,
R 1 500 000,4,2,2,House,,,,0,496m²,R526
R 950 000,2,1,,House,,,0.0,0,252m²,
R 2 700 000,,,,House,,,1.0,0,,R1000
R 949 000,5,2,2,House,496m²,R750,1.0,0,495m²,R400
