price,bedrooms,bathrooms,parking space,Type of Property,Pets Allowed,Pool,Floor Size,Levies,Rates and Taxes,Erf Size
R 750 000,1,1,,Apartment/Flat,,0,53m²,R5,R493,
R 3 200 000,3,3,3,House,,1,400m²,,R1360,770m²
R 14 000 000,3,3.5,,Apartment/Flat,,0,316m²,R2714,R2700,514m²
R 4 300 000 - R 4 600 000,,,,,,0,,,,
R 499 000,,,,VacantLand/Plot,,0,,,R580,495m²
R 1 050 000,3,2,3,House,,0,,,,554m²
R 480 000,0.5,1,,Apartment/Flat,,0,40m²,,R300,
R 1 350 000,1,1,,Apartment/Flat,,0,80m²,R1233,R194,4196m²
R 755 000,2,1,1,Apartment/Flat,0.0,0,56m²,R600,R500,
R 265 000,2,1,1,Apartment/Flat,0.0,0,85m²,R1300,,
R 410 000,1,1,,Apartment/Flat,,1,40m²,,,695m²
R 425 000,0.5,1,,Apartment/Flat,,0,36m²,R967,,
R 799 000,1,1,1,Apartment/Flat,0.0,1,45m²,R748,R464,10390m²
R 4 500 000,3,2.5,2,Apartment/Flat,,1,212m²,R2500,,
R 4 500 000,3,2,2,House,1.0,1,400m²,,R2000,1090m²
R 750 000,3,2,10,House,0.0,0,280m²,,R482,455m²
R 8 500 000,5,3,1,House,1.0,1,480m²,,R3400,876m²
R 799 999,2,2,1,Townhouse,0.0,1,127m²,R1200,R836,9408m²
R 1 695 000,3,1,,House,0.0,0,350m²,,R3031,495m²
R 1 500 000,2,1,,Apartment/Flat,,0,120m²,R4900,R1000,
R 1 000 000,3,2,2,Apartment/Flat,,0,112m²,R1000,R400,112m²
R 1 825 000,3,2,2,House,1.0,0,,,,1160m²
R 195 000,,1,,Apartment/Flat,,0,,R1030,R400,
R 6 250 000,2,2.5,2,Apartment/Flat,1.0,1,171m²,R6612,R4023,
R 5 704 000,,,,CommercialProperty,,0,184m²,,,184m²
R 1 595 000,2,1,3,Apartment/Flat,1.0,1,91m²,R2600,,5533m²
R 1 300 000,4,2,2,House,1.0,1,,,R780,615m²
R 995 000,3,2,2,Townhouse,0.0,0,73m²,R1138,,
R 4 399 000,3,3.5,4,House,,0,,,,498m²
R 240 000,1,1,,Apartment/Flat,0.0,0,52m²,R1000,R113,4359m²
R 1 495 000,5,2,4,House,1.0,1,230m²,,R1100,812m²
R 550 000,2,1,1,Apartment/Flat,,0,59m²,R2200,,
R 1 200 000,2,2,,Apartment/Flat,,0,87m²,,,1041m²
R 1 695 000,2,2,2,Apartment/Flat,0.0,1,112m²,R2300,R479,
R 2 900 000,4,3.5,4,House,1.0,1,,,R1775,1604m²
R 839 000,2,1,1,Apartment/Flat,0.0,0,56m²,,,56m²
R 4 450 000,2,2,4,House,,0,,,R2353,1115m²
R 629 000,,,,,,0,,,,
R 1 250 000,1,1,1,Apartment/Flat,,0,88m²,R3787,R800,
R 755 000,2,1,1,Apartment/Flat,,0,56m²,R1300,R250,
R 1 700 000,3,2,3,House,,0,,,R1000,1983m²
R 3 399 000,3,2,2,House,1.0,1,495m²,,R2000,
R 2 300 000,3,2,5,House,1.0,1,240m²,,R1200,1487m²
R 675 000,2,1,1,House,,0,51m²,R820,R150,
R 200 000,1,1,,Apartment/Flat,,0,,R1600,,
R 920 000,3,2,2,Townhouse,0.0,0,95m²,R1013,R242,
R 1 095 000,2,2,2,Townhouse,0.0,1,83m²,R1700,R300,1247m²
R 3 750 000,3,2,5,House,,1,400m²,,,1016m²
R 638 000,2,1,,House,1.0,0,40m²,,R300,150m²
R 1 500 000,3,1,5,House,0.0,0,,,R729,496m²
R 280 000,0.5,1,,Apartment/Flat,,0,27m²,R950,,
R 3 200 000,3,2.5,2,Townhouse,0.0,1,252m²,R1980,R1260,
R 1 575 000,,,,,,0,,,,
R 1 100 000,3,2,5,House,1.0,0,210m²,,R500,495m²
R 1 250 000,8,2,,House,,0,,,R2000,748m²
R 21 805 000,,,,CommercialProperty,,0,536m²,R0,R0,623m²
R 8 500 000,2,2.5,2,Apartment/Flat,1.0,0,197m²,R2583,R2000,310m²
R 2 010 000,3,2,2,House,,0,,,,
R 1 850 000,,,,CommercialProperty,,0,,R5571,,
R 14 000 000,,,,CommercialProperty,,0,980m²,,,980m²
R 650 000,2,1,1,Apartment/Flat,0.0,1,49m²,R1055,R331,
R 2 999 000,2,2,2,Apartment/Flat,1.0,1,74m²,R3200,R2125,
R 760 000,3,1,1,House,,0,,,R700,495m²
R 2 900 000,3,2,4,House,1.0,0,,,,922m²
R 2 300 000,3,2,3,House,,0,,,R724,990m²
R 2 700 000,2,2,1,Apartment/Flat,0.0,1,196m²,R5102,R1229,
R 1 300 000,4,2,2,Apartment/Flat,0.0,1,170m²,R2700,R650,
R 1 599 000,3,2,3,House,1.0,1,,,,1091m²
R 707 180 - R 751 950,,,,,,0,,,,
R 495 000,2,1,,Townhouse,,0,95m²,R1123,R177,
R 520 000,1.5,1,,Apartment/Flat,,0,74m²,R1997,,
R 1 300 000,4,1,2,House,1.0,0,159m²,,R473,516m²
R 765 000,2,1,1,Apartment/Flat,0.0,0,56m²,R1335,R150,56m²
R 1 450 000,3,2,,Townhouse,1.0,0,,R1000,R500,1ha
R 490 000,4,1.5,1,Apartment/Flat,0.0,0,121m²,R1200,,
R 5 600 000,,,,CommercialProperty,,0,174m²,,,174m²
R 1 100 000,2,1,,House,,0,1059m²,,R426,1060m²
R 11 190 000,4,5,4,House,1.0,1,558m²,,,908m²
R 1 295 000,3,1,4,House,,1,,,R5500,495m²
R 975 000,2,2,1,Apartment/Flat,0.0,1,84m²,,R680,84m²
R 3 375 000,4,4,2,House,,1,,,R1300,980m²
R 345 000,2,1,2,Apartment/Flat,0.0,0,62m²,R500,R250,1221m²
R 1 550 000,3,2,4,House,1.0,1,,,R590,612m²
R 1 695 000,3,2,2,Townhouse,0.0,1,110m²,,R560,10970m²
R 950 000,2,1,1,Apartment/Flat,0.0,1,70m²,R1650,R586,42992m²
R 1 750 000,5,2,6,House,1.0,0,400m²,,R541,496m²
R 1 299 999,3,2,,Townhouse,0.0,0,101m²,,R300,10838m²
R 749 000,2,1,1,Apartment/Flat,0.0,0,74m²,R1000,R420,74m²
R 4 000 000,,,,IndustrialProperty,,0,1000m²,,,2069m²
