price,bedrooms,bathrooms,Type of Property,Floor Size,Levies,Rates and Taxes,Pool,Erf Size,Pets Allowed,parking space
R 1 299 000,4,2,House,185m²,,R500,1,496m²,,4
R 675 000,2,1,Apartment/Flat,51m²,R1200,R150,0,,,1
R 3 100 000,2,2,House,500m²,,R4000,1,1313m²,1.0,2
R 940 000,2,2,Townhouse,86m²,R655,R651,1,37252m²,0.0,1
R 665 000,2,1,Apartment/Flat,51m²,R750,R500,0,,0.0,2
R 490 000,1,1,Apartment/Flat,47m²,R1900,R1039,1,695m²,,1
R 2 995 000,2,2,Apartment/Flat,205m²,,R1846,0,,0.0,2
R 900 000,4,2,House,,,R426,0,495m²,1.0,2
R 580 000,2,1,Townhouse,44m²,,R500,1,26987m²,1.0,1
R 1 005 000 - R 1 355 000,,,,,,,0,,,
R 765 000,3,1.5,House,75m²,,R400,0,300m²,,
R 3 950 000,3,2.5,House,415m²,,R3400,1,1276m²,,6
