price,bedrooms,bathrooms,Type of Property,Floor Size,Pets Allowed,Pool,parking space,Erf Size,Rates and Taxes,Levies
R 5 299 000,,,CommercialProperty,500m²,,0,,,,
R 6 000 000,,,IndustrialProperty,,,0,,2393m²,,
R 2 700 000,1,1,Apartment/Flat,64m²,,0,,,,
R 985 000,3,1,House,,1.0,0,5,476m²,R486,
R 2 490 000,,,VacantLand/Plot,,,0,,1148m²,,
R 1 300 000,,,IndustrialProperty,248m²,,0,,248m²,,
R 1 850 000,1,1,Apartment/Flat,47m²,,1,1,,,
R 5 990 000,2,2.5,Apartment/Flat,182m²,,0,2,,,
R 7 690 000,3,3.5,Apartment/Flat,216m²,,0,2,,,
R 2 700 000 - R 5 400 000,,,,,,0,,,,
R 5 899 000,4,4.5,House,,1.0,1,2,1550m²,R2943,
R 1 590 000,4,2,House,,,1,6,994m²,R1200,
R 2 999 000,3,2,House,,,0,4,496m²,,
R 850 000,5,1,House,,1.0,0,1,496m²,R1000,
R 3 299 000,4,3,House,,,0,2,494m²,,
R 2 850 000,4,3,House,,,1,8,1980m²,R1169,
R 3 800 000,,,CommercialProperty,,,0,,,,
R 5 800 000,2,2.5,Apartment/Flat,160m²,0.0,1,2,,R3805,R8091
R 627 000,2,1,House,,,0,1,,,
R 1 050 000,3,1,Apartment/Flat,,1.0,0,2,,,R1265
R 549 000,1,1,Apartment/Flat,35m²,0.0,0,,,,R1300
R 10 999 000,5,6,Townhouse,750m²,0.0,0,12,1300m²,R4200,R3000
R 830 000,2,1,House,77m²,1.0,1,2,,R984,R1560
R 4 450 000,2,2,Apartment/Flat,92m²,0.0,1,1,2128m²,R2000,R4000
R 2 200 000,,,CommercialProperty,,,0,,710m²,R550,
R 1 000 000,,,VacantLand/Plot,,,0,,,,
R 3 900 000,,,CommercialProperty,,,0,,,,
R 3 299 000,3,3,House,,,1,2,495m²,,
R 3 500 000,1,1.5,Apartment/Flat,95m²,0.0,1,,,,
R 8 950 000,4,3.5,House,,1.0,0,4,1519m²,R4000,
R 750 000,,,IndustrialProperty,,,0,,,,
R 550 000,,1,Apartment/Flat,,,0,1,,,
R 1 075 000,2,2,Townhouse,89m²,1.0,1,,,R400,R2500
R 990 000,3,1,House,185m²,,0,3,242m²,,
R 480 000,,1,Apartment/Flat,,,1,1,,,
R 1 395 000,2,2,Townhouse,132m²,1.0,0,1,,,
R 1 395 000,2,1.5,Apartment/Flat,105m²,,0,1,105m²,,
R 42 000 000,,,IndustrialProperty,3789m²,,0,,,,
R 2 300 000,2,2,Apartment/Flat,118m²,0.0,0,2,,R1385,R2960
R 75 000 000,7,9,Apartment/Flat,,,1,5,1500m²,,
R 560 000,2,1,Apartment/Flat,,,0,,,,
R 750 000,2,1,Townhouse,,,0,1,,,
R 499 000,3,1,House,,1.0,0,1,,,
R 490 000,1,1,Apartment/Flat,,,0,,,,
R 2 500 000,3,2,Apartment/Flat,141m²,0.0,1,2,,,
R 799 000,3,1,House,500m²,0.0,0,2,500m²,R700,
R 1 050 000,2,1,Apartment/Flat,62m²,,1,1,,,
R 795 000,2,1,House,,1.0,0,1,,R443,
R 2 390 000,,,,,,0,,,,
POA,,,CommercialProperty,,,0,,14152m²,,
R 1 999 000,2,2,Townhouse,112m²,,1,2,,R1286,R3671
R 300 000,3,1,Apartment/Flat,97m²,,0,1,,,R853
POA,,,IndustrialProperty,65534m²,,0,,65534m²,,
R 9 399 000,4,3,House,600m²,1.0,1,3,993m²,,
R 595 000,3,2,House,,1.0,0,1,912m²,,
R 13 500 000,6,6,House,1300m²,,1,4,,R5600,
R 1 800 000,5,2,House,,1.0,0,2,,,
R 1 450 000,2,1,Townhouse,100m²,0.0,1,1,,R1055,R3242
R 1 095 000,3,1,House,,0.0,0,1,711m²,R321,
R 2 300 000,2,2,Apartment/Flat,118m²,0.0,0,1,,R1385,R2960
R 50 000 000,,,IndustrialProperty,,,0,,,,
R 1 499 000,4,2,House,,,0,6,2023m²,R1271,
