price,bedrooms,bathrooms,parking space,Type of Property,Floor Size,Levies,Rates and Taxes,Pets Allowed,Pool,Erf Size
R 175 000,,1,,Apartment/Flat,44m²,,,0.0,0,1487m²
R 2 750 000,3,3,6,House,,,,,1,500m²
R 570 000,3,1,,Apartment/Flat,,,,,0,
R 1 225 000,3,2,,Townhouse,98m²,R1100,R500,,0,10838ha
R 2 700 000,3,2,3,House,,,,0.0,1,
R 8 000 000,,,,CommercialProperty,,,,,0,2007m²
R 695 000,1,1,1,Apartment/Flat,51m²,,R510,0.0,1,51m²
R 530 000,2,1,,Apartment/Flat,,,,,0,
R 9 600 000,,,,CommercialProperty,,,,,0,7937m²
R 2 950 000,,,,VacantLand/Plot,,,,,0,
R 850 000,3,1,2,House,171m²,,R400,1.0,0,580m²
R 2 399 990,3,3,,House,,,,,0,
R 429 999,3,2,2,Apartment/Flat,,,,,0,
R 250 000,1,1,,Apartment/Flat,32m²,,,,0,
R 4 770 000,,,,,,,,,0,
R 1 495 000,7,5,3,House,,,R952,,0,1485m²
R 300 000,1.5,1,2,Apartment/Flat,79m²,R1035,,0.0,0,
R 1 799 000,2,2,1,Apartment/Flat,88m²,R3032,R859,0.0,1,
R 1 800 000,3,2,4,House,,,,,1,1064m²
R 6 000 000,,,,CommercialProperty,,,,,0,
R 1 150 000,1,1,1,Apartment/Flat,88m²,R2809,R425,0.0,0,
R 2 549 000,3,2,3,House,,,,1.0,1,990m²
R 355 000,2,1.5,1,Apartment/Flat,98m²,R1032,,0.0,0,
R 26 000 000,,,,IndustrialProperty,,,,,0,11000m²
R 5 200 000,,,,CommercialProperty,1349m²,,,,0,922m²
R 3 795 000,7,6,2,House,,R1,R1600,1.0,1,1258m²
R 1 250 000,,,,CommercialProperty,280m²,,,,0,347m²
R 580 000,2,1,1,Townhouse,,,,,0,
R 370 000,2.5,1,1,Apartment/Flat,107m²,R1454,,0.0,0,
R 2 199 000,5,3,5,House,750m²,,R920,,0,1950m²
R 680 000,4,2,,Apartment/Flat,186m²,,,,0,994m²
R 680 000,4,2,,Apartment/Flat,186m²,,,,0,994m²
R 410 000,2,1,,Apartment/Flat,105m²,,,,0,994m²
R 410 000,2,1,,Apartment/Flat,105m²,,,,0,994m²
R 1 520 000 - R 1 755 000,,,,,,,,,0,
R 3 299 000,4,3,2,House,360m²,,R1322,,1,1361m²
R 1 625 000,3,2,3,Townhouse,,R1070,R929,,0,
R 1 495 000,3,2,2,House,,,R802,1.0,0,495m²
R 1 999 000,4,1.5,5,House,270m²,,R1061,1.0,0,1630m²
R 1 550 000,,,,IndustrialProperty,,,,,0,480m²
R 665 000,2,1,1,Apartment/Flat,65m²,R1300,R356,,0,9143m²
R 300 000,,,,House,,,,,0,
R 1 995 000,6,6,5,House,270m²,,R2820,,0,496m²
R 540 000,1,1,1,Apartment/Flat,48m²,,,,1,
R 7 500 000,4,4,3,House,1m²,,R4688,1.0,1,1239m²
R 2 550 000,,,,House,120m²,,R2620,,0,496m²
R 7 600 000,4,4,6,House,,,,,0,8716m²
R 839 000,2,1,1,Apartment/Flat,,R1200,R250,,0,
R 675 000,2,1,1,Apartment/Flat,,R1200,R250,,0,
R 3 795 000,2,2,2,House,,,,,1,496m²
R 2 699 000,3,2,2,House,,,R1191,1.0,0,504m²
R 1 499 000,3,1.5,1,Apartment/Flat,112m²,R2500,R600,0.0,1,
R 2 500 000 - R 4 300 000,,,,,,,,,0,
R 950 000,,,,House,,,,,0,
R 6 200 000,5,3,2,House,,,R1900,,1,661m²
R 1 150 000,1,1,1,Apartment/Flat,81m²,R2603,R982,0.0,0,
R 695 000,3,2,3,House,,,R1000,,0,
POA,,,,CommercialProperty,,,,,0,495m²
R 900 000,2,2,,House,300m²,,R408,,0,
R 375 000,0.5,1,,Apartment/Flat,39m²,R1143,,,0,
R 2 200 000,5,3.5,4,House,,,R1140,1.0,0,922m²
R 2 800 000,6,5,7,House,,,R1286,1.0,1,2034m²
R 1 950 000,4,3,,House,,,R1000,0.0,0,990m²
R 2 950 000,2,2,4,Apartment/Flat,86m²,R6166,R2066,0.0,0,95m²
R 1 550 000,4,2,,House,,,,,0,
