price,bedrooms,bathrooms,parking space,Type of Property,Floor Size,Levies,Rates and Taxes,Pets Allowed,Pool,Erf Size
POA,7,4,3,House,,,,1.0,0,495m²
R 1 200 000,3,1,6,House,,,R247,1.0,0,496m²
R 510 000,2,1,1,Apartment/Flat,61m²,,R369,,0,
R 3 200 000,3,3.5,2,Townhouse,,R2742,R1309,,1,
R 665 000,2,1,1,Apartment/Flat,,R1200,R250,,0,
R 665 000,2,1,1,Apartment/Flat,,R1200,R250,,0,
R 665 000,2,1,1,Apartment/Flat,,R1200,R250,,0,
R 980 000,4,1,1,House,,,,,0,
R 700 000,2,1,,Townhouse,68m²,R1500,R420,0.0,1,
R 2 475 000 - R 2 499 000,,,,,,,,,0,
R 650 000,2,1,1,Apartment/Flat,47m²,R1600,,0.0,1,32000m²
R 630 000,2,1,1,Townhouse,74m²,R1262,,,1,35848m²
R 1 100 000,3,1,2,House,,,,1.0,1,496m²
R 270 000,2,1,,House,,,,,0,305m²
R 2 100 000,7,2,5,House,,,R900,1.0,0,495m²
R 1 180 000,3,2,2,Townhouse,148m²,R2200,R780,,1,
R 850 000,1,1,1,Apartment/Flat,44m²,R1434,R363,0.0,1,
R 745 000,5,1.5,2,House,200m²,,R586,,0,420m²
R 560 000,2,1,,Townhouse,64m²,,,,0,
R 2 395 000,2,3,2,Apartment/Flat,157m²,R3310,R1409,0.0,1,
R 635 000,2,1,1,Apartment/Flat,,,,0.0,0,
R 2 699 000,5,2,2,House,,,R775,0.0,0,
R 1 200 000,1,1.5,,Apartment/Flat,107m²,R3305,R1340,0.0,0,
R 10 490 000,3,3,2,Apartment/Flat,218m²,R8568,R5434,,0,218m²
R 1 200 000,4,2,6,House,,,,,0,
R 3 200 000,6,3,,House,,,,1.0,0,1892m²
R 2 995 000,4,2.5,6,House,,,,1.0,1,1041m²
R 12 900 000,5,6,5,Townhouse,572m²,,,0.0,1,933m²
R 430 000,1.5,1,,Townhouse,52m²,R1475,R241,,1,
R 1 575 000,,,,,,,,,0,
R 440 000,2,1.5,,Apartment/Flat,108m²,,,0.0,0,
R 363 000,1,1,,Apartment/Flat,36m²,R1900,,,0,
R 1 199 000,3,2,2,Apartment/Flat,93m²,R1479,R750,,0,
R 150 000,0.5,1,1,House,41m²,R700,,0.0,0,14000m²
R 2 280 000,4,3,4,House,,,R1273,1.0,1,1389m²
R 675 000,2,1,1,Apartment/Flat,,R1134,R250,,0,
R 320 000,0.5,1,,Apartment/Flat,25m²,R1600,,,0,
R 1 950 000,3,2,6,House,,,R600,1.0,0,990m²
R 630 000,4,1,,House,,,,,0,
R 2 100 000,4,3.5,2,House,,,R1200,0.0,1,1509m²
R 1 795 000,4,1,8,House,,,R800,1.0,0,990m²
R 780 000,,,,Townhouse,,R1312,,,0,
R 3 850 000,3,2.5,2,Townhouse,229m²,R5332,R2055,1.0,1,
R 850 000,2,1,1,Townhouse,70m²,,R226,,1,
R 755 000,2,1,1,Apartment/Flat,,R1335,R250,,0,
R 2 395 000,2,2,2,Apartment/Flat,,R2115,R1344,1.0,1,
R 840 000,2,2,,Townhouse,86m²,R1700,R460,,0,18796m²
R 12 500 000,,,,CommercialProperty,882m²,,,,0,1983m²
R 1 149 000,5,4,3,House,,,R408,,0,346m²
R 1 329 000,1,1,1,Apartment/Flat,55m²,R2090,R450,,0,
R 699 000,3,1,1,House,,,R282,,0,446m²
R 500 000,,,,VacantLand/Plot,,,,,0,1679m²
R 1 850 000,3,2,4,House,,,R800,1.0,1,992m²
R 14 000 000,,,,CommercialProperty,496m²,,,,0,496m²
R 350 000,2,1,,Apartment/Flat,89m²,R1750,R300,0.0,0,497m²
R 2 299 000,3,3,,Apartment/Flat,208m²,R6383,,,1,5121m²
R 3 495 000,5,3,5,House,,,,,1,1012m²
R 1 899 999,11,6,6,Apartment/Flat,,,R2800,,0,447m²
R 450 000,1,1,1,Apartment/Flat,38m²,R801,R203,,1,27368m²
R 660 000,2,1,1,Townhouse,54m²,R1800,R449,0.0,1,32599m²
R 1 299 000,4,2,3,Apartment/Flat,,,R700,,1,
R 3 400 000,3,2,2,House,,,,1.0,0,495m²
R 1 075 000,,,,IndustrialProperty,400m²,,,,0,500m²
R 1 900 000,2,2,2,Apartment/Flat,86m²,R2161,R393,0.0,0,
R 2 395 000,2,2,2,Apartment/Flat,112m²,R4000,R1700,,0,
R 1 149 000,3,2,2,Townhouse,111m²,R1655,,0.0,0,
R 3 750 000,3,2.5,3,Townhouse,237m²,R6182,R1901,0.0,0,
R 799 999,,,,VacantLand/Plot,,,,,0,
R 500 000,2,1,10,House,77m²,,R246,1.0,0,525m²
R 1 100 000,13,3,,House,,,,,0,
R 1 990 000,3,2,1,House,,,,,0,1798m²
R 1 550 000,3,1,2,House,350m²,,R594,1.0,1,1115m²
R 1 350 000,4,3,10,House,,,R1000,,0,
R 1 150 000,3,2,1,Apartment/Flat,,R2485,R643,0.0,1,
R 5 600 000,,,,IndustrialProperty,2240m²,,,,0,3664m²
R 1 900 000,3,3,2,House,113m²,R4579,R1345,0.0,0,
R 850 000,1,1,1,Apartment/Flat,58m²,R2025,R443,1.0,0,
R 569 000,2,1,1,Apartment/Flat,,,,,1,
R 6 969 000,3,3,2,Apartment/Flat,204m²,R3665,R5188,,1,
R 799 000,2,1,,Apartment/Flat,70m²,R2352,R450,,1,
R 1 645 000,2,2,1,Apartment/Flat,82m²,R1583,R924,0.0,0,
R 850 000,2,1,1,Townhouse,125m²,R823,,0.0,1,
R 685 000,,,,IndustrialProperty,176m²,R1800,R1600,,0,176m²
R 595 000,3,1,2,House,,R545,,,0,350m²
