price,Type of Property,Erf Size,Levies,Pool,bedrooms,bathrooms,parking space,Floor Size,Rates and Taxes,Pets Allowed
R 649 000,,,,0,,,,,,
R 5 999 000,House,1620m²,,1,3,2,2,460m²,,1.0
R 1 299 000,Apartment/Flat,,R1350,0,3,2,,106m²,R363,
R 595 000,Apartment/Flat,,R731,0,3,2,,112m²,,0.0
R 3 518 000,Apartment/Flat,80.5m²,R3600,0,2,2,,80m²,,
R 4 999 000,House,1561m²,,1,5,3.5,5,540m²,R2126,1.0
R 2 800 000,Apartment/Flat,545m²,,0,,,,545m²,,
R 1 089 000,House,600m²,,1,3,2,4,208m²,R350,1.0
R 755 000,Apartment/Flat,,R1200,0,2,1,1,,R250,
R 1 500 000,House,500m²,,0,7,4,,120m²,R450,
R 19 000 000,CommercialProperty,5500m²,,0,,,,,,
R 570 000,Townhouse,,R782,0,2,1,,55m²,R921,
R 16 000 000,VacantLand/Plot,87000m²,,0,,,,,,
R 599 000,House,169m²,,0,4,2,1,,R353,
R 460 000,Apartment/Flat,,,0,2,2,1,110m²,,0.0
R 1 800 000,House,472m²,,0,8,2,3,,R612,0.0
R 3 298 900,Apartment/Flat,83m²,R2000,0,2,2,,83m²,,
R 1 600 000,House,,,0,5,3,2,,,
R 1 600 000,House,1300m²,,0,7,5,5,,,
R 2 475 000 - R 2 499 000,,,,0,,,,,,
R 485 000,Apartment/Flat,499m²,R1600,0,0.5,1,,44m²,R300,0.0
R 1 090 000,House,496m²,,0,3,2,2,,R804,
R 2 508 000,Apartment/Flat,53.5m²,R1300,0,1,1,,53m²,,
R 1 280 000,House,495m²,,0,11,5,5,,,
R 3 395 000,House,1511m²,,1,3,2,2,,R2158,1.0
R 6 490 000,House,1753m²,,1,4,3,9,,R5350,
R 475 000,Apartment/Flat,,R1791,0,1,1,,64m²,R1296,0.0
R 690 000,Townhouse,6483m²,R1600,0,2,1.5,1,61m²,R482,0.0
R 2 999 999,House,600m²,,1,3,2,2,,,
R 4 700 000,House,1180m²,,1,4,3.5,2,,R1981,
R 1 199 000,Townhouse,,R2200,1,3,2,2,135m²,,1.0
R 760 000,Townhouse,80m²,R2149,1,2,1,2,80m²,,
R 2 290 000,House,495m²,,1,4,3,2,295m²,,
R 1 150 000,House,474m²,,0,,,,,,
R 1 900 000,IndustrialProperty,375m²,,0,,,,375m²,,
R 2 300 000,Apartment/Flat,,R3100,0,3,1.5,2,139m²,R893,0.0
R 799 999,House,478m²,,0,3,2,,,R312,1.0
R 1 750 000,Townhouse,,R3500,1,3,2,2,102m²,R1050,1.0
R 1 250 000,House,,,0,3,2,5,,,
POA,House,814m²,,0,3,2,3,,R775,
R 999 950 - R 2 550 000,,,,0,,,,,,
R 560 000,Apartment/Flat,8595m²,R1580,1,1,1,1,50m²,R60,0.0
R 1 380 000,Apartment/Flat,,R1300,0,2,1,1,96m²,,1.0
R 1 095 000,House,874m²,,0,3,2,6,,R400,
R 220 000,Apartment/Flat,,,1,,1,1,,,
R 2 850 000,House,1686m²,,1,4,2.5,2,,R3488,1.0
R 1 850 000,Apartment/Flat,1861m²,,0,1,1,1,50m²,R1175,0.0
R 385 000,Apartment/Flat,,,0,1,1,1,42m²,,0.0
R 1 999 000,House,1487m²,,0,9,5,,,,
R 9 800 000,House,2022m²,,1,8,4,10,620m²,R4000,0.0
R 1 850 000,Apartment/Flat,4968m²,R5979,1,2,1,1,156m²,R1015,0.0
R 7 600 000,House,1300m²,,0,5,5,3,450m²,R3703,
R 5 000 000,Townhouse,,,1,4,4,2,374m²,,1.0
R 330 000,Apartment/Flat,,R700,0,0.5,1,,20m²,R200,0.0
R 320 000,Apartment/Flat,,R1826,0,2,1.5,1,100m²,,0.0
