price,bedrooms,bathrooms,parking space,Type of Property,Rates and Taxes,Pool,Erf Size,Pets Allowed,Floor Size,Levies
R 2 995 000,3,1.5,3,House,R2100,1,1700m²,1.0,,
R 1 494 000,2,2,3,House,,0,386m²,,,
R 950 000,2,2,2,Apartment/Flat,,1,,0.0,80m²,
R 890 000,4,3,3,House,R500,1,478m²,,,
R 815 000,3,2,1,House,R400,0,220m²,,,R200
R 6 950 000,4,3.5,3,House,R4631,1,869m²,0.0,,
R 5 200 000,,,,IndustrialProperty,,0,1800m²,,,
R 750 000,2,1,1,Townhouse,,1,,0.0,,
R 1 500 000,3,2,2,House,,0,478m²,1.0,226m²,
R 2 999 000,4,3.5,,Apartment/Flat,R1300,1,,,291m²,R5000
R 1 600 000,2,1,,House,,0,,,,
R 1 300 000,8,1,5,House,,0,495m²,,,
R 1 150 000,1,1,1,Apartment/Flat,R791,0,,1.0,86m²,R2199
R 2 475 000 - R 2 499 000,,,,,,0,,,,
R 25 000 000,,,,IndustrialProperty,,0,,,10500m²,
R 849 000,5,4,1,House,R203,0,900m²,1.0,,
R 839 000,2,2,1,Townhouse,R450,1,,1.0,97m²,R1400
R 1 450 000,3,2,4,House,R621,0,744m²,1.0,,
R 4 950 000,4,4,10,House,R1572,1,1463m²,,,
R 1 350 000,2,2,2,House,R850,1,,1.0,101m²,R2200
R 400 000,1.5,1,1,Apartment/Flat,,0,,0.0,73m²,R1087
R 18 500 000,,,,CommercialProperty,,0,3964m²,,1692m²,
R 14 000 000,,,,IndustrialProperty,,0,7267m²,,2900m²,
R 1 050 000,7,4,1,House,,0,,,,
R 5 659 000,3,3.5,9,House,R2800,1,718m²,1.0,560m²,R1800
POA,3,2,7,House,,0,600m²,1.0,210m²,
R 1 799 000,6,4,1,House,,1,1005m²,,330m²,
R 6 450 000,3,3.5,2,House,R4000,0,396m²,1.0,400m²,R4200
R 750 000,2,2,,Apartment/Flat,,0,,,,R2041
R 999 950 - R 2 550 000,,,,,,0,,,,
R 2 000 000,2,1,1,Apartment/Flat,,1,93m²,,92m²,R1850
R 499 000,2,1,1,Apartment/Flat,R265,0,68m²,,,
R 950 000,3,1,2,Apartment/Flat,,0,,,,
R 1 999 999,3,2,4,House,R1021,0,743m²,1.0,,
R 350 000,,,,Apartment/Flat,,0,,,26m²,
R 350 000,1,1,,Apartment/Flat,,0,,,26m²,R1648
R 634 000,2,1,2,Townhouse,R161,0,2368m²,,68m²,R1600
R 2 499 000,6,4,3,House,R1300,1,1253m²,1.0,,
R 3 199 000,3,2.5,1,House,R2100,1,1490m²,0.0,,
R 1 320 000,1,1.5,,Apartment/Flat,R884,1,139m²,,139m²,R4023
R 1 720 000,3,1,,Apartment/Flat,,0,,,103m²,
R 1 150 000,3,1,1,Townhouse,R643,0,,0.0,,R2485
R 3 914 900,2,2,2,Apartment/Flat,,0,,0.0,102m²,R2427
R 1 050 000,4,1,5,House,R187,0,495m²,0.0,,
R 850 000,2,1,2,House,R1500,0,495m²,1.0,495m²,
R 2 499 999,4,3,5,House,R1005,1,900m²,,,
R 1 050 000,4,2,2,House,R257,0,495m²,1.0,250m²,
R 775 000,2,1,,Apartment/Flat,,0,,,,
R 1 450 000,3,2.5,4,House,R600,1,481m²,0.0,,
R 2 495 000,3,2.5,2,Townhouse,R1433,1,,1.0,119m²,R2885
R 550 000,0.5,1,,Apartment/Flat,R58,0,,0.0,32m²,R800
R 2 650 000,,,,CommercialProperty,,0,,,,
R 695 000,1,1,,Apartment/Flat,R450,0,,0.0,,R2200
R 2 495 000,3,2,1,House,R972,1,991m²,1.0,,
R 3 199 000,2,2,,Apartment/Flat,R2059,0,,,90m²,R3045
R 2 090 000,1,1,,Apartment/Flat,R1271,0,,,53m²,R1784
R 3 730 000,2,2,,Apartment/Flat,,0,74.6m²,,74m²,R2700
R 1 150 000,2,1,1,Apartment/Flat,R300,0,4465m²,0.0,127m²,R2560
R 665 000,2,1,2,Apartment/Flat,R500,0,,0.0,51m²,R750
R 875 000,2,1,1,Townhouse,R450,1,,,89m²,R1600
R 1 411 328,2,2,2,Townhouse,R750,0,364m²,0.0,108m²,
R 5 500 000,,,,IndustrialProperty,,0,,,1600m²,
R 634 999,2,1,,Apartment/Flat,R400,1,,,69m²,R1700
R 350 000,1,1,1,Apartment/Flat,,0,,,,
R 549 900,1,1,1,Apartment/Flat,R1519,0,725m²,0.0,61m²,R1853
R 2 750 000,,1,1,Apartment/Flat,,1,,,51m²,R2244
R 4 950 000,4,3,3,House,R2978,1,769m²,1.0,1m²,
R 1 950 000,2,2,2,Apartment/Flat,R2105,0,1860m²,0.0,130m²,R3400
R 2 150 000,3,3.5,2,House,R1098,0,1071m²,,,
R 3 958 900,2,2,,Apartment/Flat,,0,107m²,,107m²,R2600
R 1 650 000,3,2,5,House,R760,0,798m²,1.0,,R875
R 695 000,1,1,1,Townhouse,R450,0,,,,R2200
R 800 000,3,2,,House,,0,300m²,1.0,70m²,
R 1 395 000,1,1,1,Apartment/Flat,R790,0,,1.0,97m²,R2630
R 5 795 000,5,5,2,House,R3680,1,664m²,1.0,622m²,R1928
R 960 000,2,2,2,Apartment/Flat,,0,84m²,1.0,84m²,
R 850 000,3,1,6,House,,0,480m²,1.0,,
R 980 000,1,1,1,Apartment/Flat,R706,1,,1.0,,R2489
R 295 000,2,1,,Apartment/Flat,R128,0,,,62m²,
R 17 900 000,,,,CommercialProperty,,0,5293m²,,2040m²,
R 2 700 000,3,2,2,Townhouse,R2102,0,303m²,1.0,303m²,
R 7 200 000,4,4,2,House,R6000,0,,,388m²,R3000
R 579 999,2,1,,Townhouse,,0,44m²,,,R1185
R 990 000,2,1.5,2,Townhouse,R1034,0,,1.0,115m²,R2394
R 33 626 000,,,,IndustrialProperty,,0,18225m²,,13480m²,
R 1 525 000,2,2,1,Apartment/Flat,R834,1,142m²,1.0,104m²,R3197
POA,3,2,1,House,R570,0,594m²,1.0,155m²,
R 3 900 000,,16,,Apartment/Flat,R8000,0,1500m²,,4000m²,R12000
R 800 000,3,1,4,House,,0,325m²,1.0,,
R 1 700 000,5,2,1,House,,0,1000m²,,,
R 1 850 000,,,,VacantLand/Plot,,0,6814m²,,,
R 7 095 000,,,,Farm,R1307,0,,,,
R 2 500 000,3,2,2,Apartment/Flat,,1,,0.0,141m²,R4093
R 1 900 000,3,2,,Apartment/Flat,R1040,0,,0.0,99m²,R2900
R 1 275 000,3,2,2,Townhouse,R1252,1,123m²,0.0,123m²,R2632
R 680 000,2,1,3,Apartment/Flat,R510,0,10158m²,0.0,48m²,R1137
R 380 000,1,1,,Apartment/Flat,,0,,0.0,,
R 1 750 000,4,3,1,House,R800,0,990m²,1.0,,
R 629 000,,,,,,0,,,,
R 850 000,4,1,5,House,,0,556m²,1.0,,
R 600 000,1,2,1,Apartment/Flat,R378,0,4601m²,,78m²,R2359
R 900 000,5,1,,House,,0,495m²,,,
R 1 199 999,3,2,3,House,R400,1,495m²,,,
R 850 000,1,1,1,Apartment/Flat,,1,,,55m²,
R 995 000,2,2,1,Townhouse,R687,1,37252m²,0.0,86m²,
R 1 600 000,3,1,,House,,0,,,,
R 2 300 000,10,6,4,House,R750,1,1212m²,1.0,,
R 6 975 000,3,3.5,3,House,R2637,1,1313m²,1.0,,
R 650 000,3,2,,House,,0,338m²,,,
R 1 950 000,4,4,,House,R700,0,495m²,,495m²,
R 1 900 000,3,2,1,Apartment/Flat,R1000,0,,0.0,160m²,R6000
R 4 259 000,3,2.5,2,House,,1,690m²,,545m²,R2300
R 450 000,2,1,1,Apartment/Flat,,0,,0.0,83m²,R1236
R 750 000,,,,Apartment/Flat,,0,,,,R2000
R 6 000 000,5,2,2,House,,0,,0.0,,
R 700 000,4,3,2,House,,0,,1.0,350m²,
R 3 700 000,5,3,6,House,R1386,1,1099m²,1.0,,
R 4 950 000,,,,IndustrialProperty,,0,5000m²,,1100m²,
R 1 700 000,3,2,5,House,,0,495m²,1.0,320m²,
R 720 000,3,1.5,1,Apartment/Flat,,0,,,,R190
R 875 000,2,1,1,Apartment/Flat,,1,,,62m²,
R 3 495 000,3,3.5,3,House,R2000,1,1080m²,1.0,400m²,
R 1 200 000,2,2,2,Apartment/Flat,,1,,0.0,101m²,R2102
R 3 499 000,2,2.5,4,Apartment/Flat,R2500,0,,0.0,164m²,
R 10 500 000,3,3.5,,Apartment/Flat,R2290,0,349m²,,208m²,R2293
R 4 499 000,4,3,3,House,R2374,1,787m²,1.0,,
R 300 000,1,1,,Apartment/Flat,,0,,0.0,76m²,R1003
R 1 850 000,3,2.5,3,House,R972,1,990m²,,280m²,
R 795 000,2,1,1,House,,0,3122m²,,82m²,
R 3 500 000,4,4,7,House,R950,1,1489m²,,1487m²,R2000
R 950 000,1,1,1,Apartment/Flat,R769,1,,0.0,96m²,R3012
R 2 850 000,4,3,5,House,R1200,0,990m²,1.0,240m²,
R 1 095 000,2,1,,Apartment/Flat,R2000,1,,0.0,,R1977
R 707 180 - R 751 950,,,,,,0,,,,
R 13 495 000,,,,CommercialProperty,R19811,0,7147m²,,5874m²,
R 559 000,3,2,2,Townhouse,R550,0,495m²,0.0,97m²,
R 599 000,3,1,1,House,R272,0,587m²,,,
R 520 000,3,1,2,Apartment/Flat,R500,0,,,69m²,R1500
R 2 799 000,4,2,6,House,R2500,1,1097m²,,,
R 1 900 000,2,2,2,Townhouse,R1300,1,,1.0,90m²,
R 1 350 000,,,,CommercialProperty,,0,,,,
R 2 999 000,3,2,4,House,R2149,0,2122m²,1.0,361m²,
R 6 850 000,4,3,3,House,R3500,1,2207m²,1.0,,
R 1 400 000,3,2.5,1,Townhouse,R594,1,,0.0,223m²,R2300
R 2 200 000,5,3,4,House,R880,1,768m²,1.0,270m²,
R 430 000,2.5,1,1,Apartment/Flat,,0,,0.0,111m²,R1567
R 1 475 000,4,2.5,2,Townhouse,R851,1,,1.0,181m²,R2600
R 9 350 000,4,4.5,8,House,R6900,1,1000m²,1.0,,
R 3 800 000,,,,CommercialProperty,,0,,,200m²,
R 2 390 000,5,4,6,House,R1000,1,637m²,1.0,,
R 1 995 000,9,5,3,House,,0,1000m²,,,
R 900 000,3,2,1,House,,0,1220m²,1.0,,
R 3 815 000,3,2.5,2,Townhouse,R1500,0,23076m²,,250m²,R2000
R 5 495 000,3,2,5,House,R2711,1,1983m²,1.0,,
R 6 250 000,5,3,4,House,,1,2023m²,1.0,,
R 485 000,1,1,,Apartment/Flat,,0,1000m²,,64m²,R1882
R 1 575 000,2,2,2,Apartment/Flat,R1318,1,,1.0,97m²,R3500
R 1 800 000,,,,CommercialProperty,,0,,,,
R 1 170 000,4,2,,House,,1,,1.0,,
R 360 000,2,1,2,Apartment/Flat,,0,,0.0,115m²,R1210
R 700 000,2,1,1,Apartment/Flat,R345,0,15397m²,0.0,49m²,R1918
R 480 000,2,1,1,Apartment/Flat,,0,,,47m²,
R 395 000,2,2,1,Apartment/Flat,,0,,0.0,91m²,R1742
R 1 100 000,3,2,1,House,,0,,,,
R 1 050 000,3,1,6,House,R100,1,828m²,,,
R 1 399 999,3,2,2,House,R789,0,495m²,1.0,,
R 3 990 000,1,1,,House,,0,,,270m²,
R 799 000,2,1,1,Apartment/Flat,,0,916m²,,85m²,R2250
R 7 499 000,4,3,8,House,R4768,1,2025m²,1.0,2025m²,
R 3 815 000,3,2.5,2,Townhouse,,0,500m²,,,R2000
R 3 999 000 - R 4 249 000,,,,,,0,,,,
R 5 450 000,4,3,6,House,R3528,1,575m²,,,
R 750 000,1,1,1,Apartment/Flat,R249,0,,0.0,97m²,R2746
R 550 000,2,1,3,House,R335,0,512m²,1.0,,
R 3 695 000,2,2.5,6,House,,0,495m²,1.0,495m²,
R 1 480 000,2,2,2,Townhouse,R406,0,,1.0,135m²,R2546
R 839 000,2,2,1,Townhouse,R450,0,32354m²,1.0,107m²,R1500
R 799 000,3,2,5,House,R305,0,603m²,,,
R 590 000,3,2,2,Apartment/Flat,R131,0,,0.0,134m²,R2000
R 550 000,3,1,1,Apartment/Flat,,1,,,57m²,
R 845 000,2,1,1,Townhouse,,0,,,,R1600
R 2 495 000,,,,CommercialProperty,R4573,0,1190m²,,1190m²,
R 1 595 000,4,2,,House,R822,0,992m²,1.0,,
R 2 855 000,3,2.5,2,Apartment/Flat,R1300,1,,1.0,,R2900
R 6 000 000,,,,CommercialProperty,,0,992m²,,437m²,
R 2 900 000,3,2,2,House,R2100,1,993m²,1.0,232m²,
R 475 000,3,2,1,Apartment/Flat,,0,,0.0,148m²,R2335
R 799 000,2,1,2,Apartment/Flat,R413,1,,0.0,84m²,R860
R 2 850 000,3,2,2,Apartment/Flat,R1900,1,,0.0,240m²,R4800
R 2 695 000,4,2.5,8,House,R1146,0,1000m²,,,
R 390 000,3,1,,Townhouse,R550,0,994m²,,84m²,R500
R 1 900 000,,,,CommercialProperty,R1402,0,495m²,,200m²,
R 1 500 000,2,1,,House,R2200,0,248m²,0.0,,
R 42 000 000,,,,IndustrialProperty,,0,6749m²,,,
R 899 000,,,,VacantLand/Plot,R2400,0,1200m²,,,
R 1 300 000,4,2,1,Townhouse,R450,0,15045m²,0.0,61m²,R50
R 2 250 000,3,2,4,House,R1082,1,1115m²,1.0,,
R 2 200 000,4,3,4,House,R950,1,992m²,1.0,350m²,
R 430 000,2,1,2,Apartment/Flat,R700,0,1492m²,,85m²,R1500
R 5 650 000,3,3.5,4,House,R2600,1,495m²,,,
R 3 899 000,3,3,2,House,,0,1983m²,,,
R 3 525 000,1,1.5,1,Apartment/Flat,R2000,0,,,183m²,R2250
R 1 995 000,2,2,2,Apartment/Flat,R1577,1,,0.0,90m²,
R 2 600 000,,,,CommercialProperty,R1,0,411m²,,411m²,R1
R 680 000,2,1,1,Townhouse,,1,,0.0,,
R 420 000,1,1,,Apartment/Flat,R205,0,2790m²,0.0,27m²,R1480
R 1 399 000,3,2,1,Apartment/Flat,R200,1,1m²,0.0,110m²,R1600
R 2 500 000 - R 4 300 000,,,,,,0,,,,
R 2 995 000,2,2,3,Apartment/Flat,R1745,0,237m²,0.0,237m²,R3531
R 440 000,2.5,1,,Apartment/Flat,,0,,0.0,113m²,R1505
R 850 000,3,1,2,House,R319,0,1205m²,,,
R 1 400 000,3,2,1,Townhouse,R594,0,,0.0,223m²,R2300
R 1 650 000,2,1.5,2,Apartment/Flat,,0,,,102m²,R3297
R 1 595 000,2,1,1,Apartment/Flat,R1790,1,,,130m²,R3300
R 1 850 000,3,2.5,3,Townhouse,,0,,0.0,195m²,
R 799 000,4,1,3,House,R200,0,502m²,1.0,350m²,
R 1 060 000,2,2,1,Townhouse,,1,,,100m²,
R 750 000,2,1,2,House,,0,1292m²,,,
R 599 000,3,1,1,Apartment/Flat,R200,0,,,112m²,R1520
R 470 000,3,1,1,Apartment/Flat,R300,0,,,86m²,R1100
R 2 000 000,,,,VacantLand/Plot,,0,2025m²,,,
R 665 000,,,,Townhouse,,0,100m²,,,
R 700 000,2,1,1,House,,0,,,,
R 3 950 000,1,1.5,2,Apartment/Flat,,0,,0.0,128m²,
POA,3,2,,House,,0,,,,
R 9 500 000,,,,CommercialProperty,R4000,1,3175ha,,2000m²,
R 1 250 000,3,2.5,3,House,R443,1,496m²,1.0,166m²,
R 765 000,3,1,2,Townhouse,R415,1,,,75m²,R1179
R 1 250 000,3,2,2,Townhouse,R742,0,1500m²,0.0,161m²,R675
R 6 500 000,,,,CommercialProperty,,0,1454m²,,,
R 1 599 000,3,2,2,House,R1800,0,935m²,,,R300
R 2 299 000,5,3,3,House,R827,0,915m²,,,
R 610 000,2,1,,Townhouse,,1,,,,
R 1 750 000,,,,Apartment/Flat,,0,,,102m²,
R 1 180 000,3,3,1,House,R300,0,489m²,,,
R 1 590 000,3,2,2,House,,0,656m²,,,
R 1 499 000,4,2,2,House,,1,400m²,1.0,,
R 760 000,3,1,5,House,,0,495m²,,,
R 1 999 000,3,2,2,Apartment/Flat,,1,,0.0,192m²,R3694
R 940 000,,,,House,,0,480m²,,,
R 1 020 000,2,2,1,Townhouse,,0,,0.0,98m²,R750
R 4 399 500,4,2,3,House,R2400,1,1980m²,1.0,1m²,
R 849 000,4,3,6,House,R508,0,400m²,,,
R 3 850 000,3,2.5,2,House,R2423,0,495m²,1.0,495m²,
R 2 500 000,4,4,4,House,R1407,1,2064m²,1.0,,
R 3 150 000,3,2,4,House,,0,495m²,1.0,,
R 870 000,4,2,2,House,,0,,,,
R 4 400 000,4,3.5,5,House,R2217,0,1020m²,1.0,,
R 1 990 000,2,2,2,Townhouse,,1,457m²,0.0,,
R 749 000,3,2,3,House,,0,420m²,,,
R 4 750 000,4,2.5,9,House,R3676,1,1706m²,0.0,,
R 700 000,2,1,,Apartment/Flat,R382,1,10882m²,1.0,111m²,R2242
R 699 000,4,1,4,House,R241,0,378m²,,,
R 19 000 000,5,4,4,House,R8050,1,4014m²,,,
R 1 500 000,3,3,2,House,,1,759m²,1.0,361m²,
R 699 000,2,1.5,,Townhouse,,0,,,64m²,R1150
R 4 500 000,,,,IndustrialProperty,,0,,,3300m²,
R 3 450 000,3,2,4,House,R1157,0,1013m²,1.0,,
R 1 049 000,3,2,,House,R750,0,,,,
R 1 500 000,,,,House,,0,,,,
R 1 380 000,3,2,5,House,,0,,1.0,496m²,
R 2 500 000,,2,5,House,R2000,0,496m²,,,
R 3 300 000,4,4,4,House,,0,1674m²,,683m²,
R 1 930 000,3,2,4,House,,1,,,,
R 4 200 000,3,2.5,2,Townhouse,,1,,,229m²,
R 895 000,3,2,,Townhouse,R441,0,,,68m²,R1
R 3 900 000,,,,IndustrialProperty,,0,,,,
R 970 000,3,2,2,Townhouse,R300,0,,0.0,90m²,R1840
R 665 000,2,1,1,Apartment/Flat,R250,0,,,,R1200
R 2 375 000,2,2.5,2,Apartment/Flat,R1080,0,,0.0,146m²,R5374
R 2 475 000,5,3,4,House,R1500,1,1064m²,,,
R 7 950 000,,,,CommercialProperty,,0,1785m²,,1545m²,
R 999 999,3,1.5,,House,R850,0,,,,
R 1 250 000,4,2,2,Townhouse,,1,,0.0,128m²,
R 3 900 000,2,2.5,2,Townhouse,R3701,0,,,260m²,R8097
R 1 950 000,3,2.5,2,House,R1000,0,2024m²,1.0,,
R 1 095 000,3,3,2,Apartment/Flat,R1960,0,496m²,0.0,280m²,
R 899 000,3,2,4,House,R275,0,323m²,,,
R 1 299 999,2,1,2,Apartment/Flat,,0,,0.0,74m²,
R 760 000,,,,VacantLand/Plot,,0,,,,
R 2 590 000,3,2,2,Apartment/Flat,R2081,1,,0.0,199m²,R5850
R 2 200 000,2,2,1,Apartment/Flat,R1800,0,,1.0,119m²,R2700
R 2 300 000,9,4.5,4,House,R960,0,495m²,0.0,347m²,
R 759 000,3,1,,House,R220,0,,,,
R 2 050 000,3,2,2,House,R450,1,2024m²,1.0,,
R 2 750 000,,,,CommercialProperty,,0,495m²,,240m²,
R 6 152 000,4,3,4,House,R2147,1,1447m²,,421m²,
R 3 600 000,3,2.5,2,House,R2055,1,,0.0,350m²,
R 3 820 000,3,3,2,House,R1289,1,496m²,1.0,,
R 1 650 000,3,2,,House,R1047,0,417m²,0.0,,
R 11 000 000,4,4,4,House,R2850,1,952m²,,,
R 650 000,2,1,1,Townhouse,R398,0,10568m²,0.0,57m²,R1300
R 1 395 000,2,2,2,Apartment/Flat,,1,,1.0,101m²,
R 2 700 000,10,10,2,House,R1314,0,970m²,1.0,,
R 24 500 000,,,,CommercialProperty,,0,3800m²,,,
R 675 000,2,1,1,Apartment/Flat,R180,0,51m²,,51m²,R824
R 1 200 000,3,2,6,House,R655,0,372ha,,130m²,
R 950 000,,,,VacantLand/Plot,,0,,,,
R 2 500 000,7,7,1,Apartment/Flat,,0,,,80m²,
R 1 350 000,,,,House,,0,,,,
R 270 000,1,,,House,,0,,,,
R 1 975 000,3,2,,House,R1900,0,595m²,0.0,,
R 899 000,2,1,,Apartment/Flat,R2000,1,,1.0,,R1977
R 925 000,2,1.5,,Townhouse,R301,0,,1.0,90m²,R1445
R 10 990 000,3,4,1,Apartment/Flat,,1,,,265m²,
R 1 350 000,3,1,1,House,,0,991m²,,,
R 650 000,3,1,2,Apartment/Flat,,0,,0.0,57m²,
R 1 100 000,,,,VacantLand/Plot,R2735,0,1765m²,,,
R 2 150 000,4,1,6,House,,0,1983m²,0.0,,
R 520 000,2,2,2,House,,0,,,,
R 1 199 000 - R 1 299 000,,,,,,0,,,,
R 1 700 000,2,2,1,House,,1,,0.0,113m²,
R 1 200 000,3,3,1,House,R295,0,489m²,1.0,,
R 1 550 000,2,1,1,Apartment/Flat,R862,1,,1.0,88m²,R3356
R 950 000,2,2,,Apartment/Flat,R530,1,6354m²,0.0,75m²,R2300
R 650 000,2,1,,Apartment/Flat,,0,7710m²,,61m²,R2160
R 3 900 000,3,2,4,Townhouse,R1706,1,160m²,1.0,125m²,R3454
R 995 000,1,1,,Apartment/Flat,R600,0,79m²,,79m²,R2300
R 310 000,1,1,,Apartment/Flat,,1,5158m²,,28m²,R1045
R 880 000,5,1.5,,House,R400,0,500m²,1.0,,
R 670 000,2,1,1,Apartment/Flat,,1,,,,
R 4 450 000,,,,CommercialProperty,R1527,0,248ha,,200m²,
R 500 000,1,1,,Apartment/Flat,,1,,,,
R 4 500 000,,,,CommercialProperty,,0,3150m²,,3150m²,
R 4 500 000,,,,IndustrialProperty,,0,857m²,,3200m²,
R 1 599 000,3,2.5,2,Townhouse,R1215,1,,1.0,159m²,R5500
R 770 000,2,1.5,1,Townhouse,R350,0,,,,R2021
R 280 000,1,1,1,Apartment/Flat,R480,0,,0.0,59m²,R600
R 1 750 000,5,3,4,House,R748,0,495m²,1.0,,
R 4 500 000,5,3,4,House,R1815,0,1675m²,1.0,,
R 2 950 000,3,3.5,2,House,R2240,1,743m²,1.0,200m²,
R 1 599 000,3,2,2,House,R495,1,495m²,,,
R 3 785 000,3,2.5,3,Townhouse,R1500,0,500m²,,240m²,R2000
R 500 000,2,1,,Apartment/Flat,R200,0,499m²,1.0,60m²,R1400
R 595 000,2,1,1,Townhouse,R350,1,,,58m²,R1450
R 459 000,1,1,,Apartment/Flat,R423,0,5158m²,,31m²,R862
R 877 000,3,1,5,House,R558,0,569m²,,,
R 7 490 000,4,3.5,2,House,,0,515.9m²,,350m²,
R 450 000,,1,,Apartment/Flat,R300,1,,,36m²,R1100
R 560 000,3,1,,House,,0,350m²,,,
R 1 995 000,2,1,1,Apartment/Flat,,0,3725m²,,130m²,R3359
R 1 300 000,1,2,4,House,,0,497m²,,495m²,
R 775 000,3,2,1,Townhouse,R381,0,496m²,0.0,120m²,R1100
R 6 500 000,,,,CommercialProperty,R2600,0,606m²,,606m²,
R 7 490 000,5,5.5,14,House,R3351,1,2044m²,0.0,865m²,
R 6 500 000 - R 7 990 000,,,,,,0,,,,
R 2 595 000,2,2.5,2,Townhouse,R1376,0,,1.0,115m²,R3466
R 98 000 000,,,,CommercialProperty,,0,3568m²,,,
R 16 950 000,4,4.5,4,House,,0,1033m²,,652m²,R2000
R 345 000,0.5,1,,Apartment/Flat,R527,0,,0.0,27m²,R1173
R 7 800 000,,,,VacantLand/Plot,R1500,0,8ha,,,
R 3 299 999,3,3,4,House,,0,480m²,,,R1250
R 1 199 000,2,2,2,Apartment/Flat,R650,0,,1.0,106m²,R1550
R 4 350 000,,,,House,,0,,,,
R 5 500 000,,,,VacantLand/Plot,,0,,,,
R 1 400 000,3,2,,House,R800,0,900m²,0.0,,
R 1 750 000,3,2,2,House,R545,0,1178m²,0.0,,
R 6 950 000,3,3.5,2,Townhouse,R3200,1,464m²,1.0,,R4500
R 1 699 000,4,3,4,House,R2000,1,999m²,,,
R 790 000,2,2,,Townhouse,R350,1,,,82m²,R1790
R 4 675 000,,,,IndustrialProperty,R4209,0,4300m²,,560m²,R826
R 1 450 000,2,2,2,Apartment/Flat,,0,1000m²,0.0,95m²,
R 549 000,3,1,8,House,,0,3252m²,,,
R 1 699 900 - R 2 399 900,,,,,,0,,,,
R 4 200 000,4,3,2,House,R2637,0,2035m²,1.0,,
R 795 000,5,3,1,House,R402,0,495m²,,,
R 1 990 000,7,5,,House,R1140,0,669m²,0.0,669m²,
R 900 000,2,1,1,Apartment/Flat,R361,0,,,127m²,R3750
R 1 575 000,3,2,2,House,,1,341m²,,,
R 1 200 000,3,1,1,House,R470,0,495m²,1.0,,
R 950 000,2,2,1,Apartment/Flat,,0,80m²,,78m²,
POA,,,,IndustrialProperty,,0,1954m²,,,
POA,5,5,5,House,,1,4047m²,1.0,,
R 2 100 000,4,3,1,House,,0,2023m²,,,
R 2 699 000,5,4,4,House,R2183,1,1940m²,1.0,,
R 1 900 000,6,4,2,House,R1000,0,1m²,1.0,1m²,R1
R 899 000,2,2.5,,Townhouse,R388,0,,,131m²,R2075
R 1 500 000,4,2,2,House,R816,1,545m²,1.0,300m²,
R 1 750 000,3,2.5,4,Apartment/Flat,R861,1,9911m²,0.0,151m²,R3233
POA,3,2.5,2,Townhouse,R1800,1,,,208m²,R2300
R 2 400 000,4,2,2,House,,1,1600m²,0.0,,
R 4 700 000,,,,IndustrialProperty,,0,14567m²,,744m²,
R 850 000,2,2,1,Townhouse,,0,,,89m²,R1735
R 495 000,1,1,,Apartment/Flat,R300,1,995m²,0.0,31m²,R1300
R 750 000,7,2,,House,R343,0,296m²,0.0,,
R 950 000,3,2,1,House,,0,,,,
R 1 945 000,2,2,2,Apartment/Flat,R1600,0,,0.0,85m²,R2300
R 650 000,2,2,2,Apartment/Flat,,0,,0.0,111m²,R3852
R 1 650 000,2,2,1,Apartment/Flat,R1300,0,,0.0,82m²,R2500
R 12 200 000,,,,IndustrialProperty,,0,4500m²,,3262m²,
R 2 399 000,3,2,4,House,R1100,1,,,314m²,R2050
R 5 750 000,2,2.5,2,Apartment/Flat,R3329,1,142m²,,142m²,
R 3 350 000,14,4,,House,,0,800m²,,,
R 1 699 000,2,1,1,Apartment/Flat,R984,0,115m²,0.0,,R2722
R 1 095 000,2,1,1,Townhouse,R573,1,,0.0,80m²,R1353
R 1 295 000,3,2,5,House,R680,0,496m²,,,
R 1 750 000,3,2,2,House,,1,1174m²,1.0,,
R 850 000,2,2.5,1,Apartment/Flat,R356,0,106m²,,106m²,R2603
R 3 000 000,2,2,2,Apartment/Flat,R1890,0,,,143m²,R4084
R 2 999 000,4,3,2,House,R1240,0,2125m²,1.0,,
R 4 950 000,4,3.5,7,House,R2986,1,1983m²,1.0,,
R 899 000,3,2,1,House,R800,0,251m²,,,
R 298 000,1,1,,Apartment/Flat,,0,,,,
R 1 025 000,4,4,2,House,R543,0,411m²,0.0,258m²,
R 899 000,5,3.5,2,House,,0,488m²,,,
R 380 000,2,1,1,Apartment/Flat,R200,0,1260m²,0.0,98m²,R1600
R 3 195 000,3,2,2,House,R2981,1,447m²,1.0,320m²,R1900
R 2 599 000,4,3,2,House,R1550,1,495m²,1.0,280m²,
R 1 090 000,4,2,1,House,R450,1,638m²,,300m²,
R 4 900 000,4,4,2,House,R2006,1,1467m²,1.0,1467m²,
R 6 900 000,,,,House,R2600,0,1720m²,0.0,300m²,
R 3 400 000,3,2,2,Apartment/Flat,R1276,1,5533ha,,125m²,
R 1 790 000,3,2,3,Apartment/Flat,,0,,0.0,128m²,R1798
R 790 000,3,1.5,1,House,R347,0,251m²,0.0,,
R 550 000,3,1,,Townhouse,R291,1,6783m²,0.0,57m²,R1650
POA,,,,CommercialProperty,R13583,0,2702m²,,,
R 1 450 000,3,1,6,House,R705,0,497ha,1.0,200m²,
R 2 650 000,4,2,4,House,R990,1,1856m²,1.0,,
R 2 100 000,,,,CommercialProperty,,0,693m²,,182m²,
R 2 999 000,3,2,3,House,R2000,1,,1.0,200m²,
R 1 250 000,3,2,1,Apartment/Flat,,0,,,,
