price,bedrooms,bathrooms,parking space,Type of Property,Rates and Taxes,Pool,Erf Size,Pets Allowed,Floor Size,Levies
R 1 275 000,3,2,3,Townhouse,R822,0,,,,R2216
R 650 000,2,1,1,Apartment/Flat,,1,,0.0,79m²,R1735
R 1 499 000,3,2,2,Apartment/Flat,R705,0,,,106m²,R1182
R 1 299 000,3,2,2,Apartment/Flat,,0,,,93m²,
R 599 000,2,1,,Apartment/Flat,R350,1,1000m²,,55m²,R1500
R 2 580 000,4,3,4,House,R1699,0,1286m²,1.0,560m²,R1
R 870 000,1,1,1,Townhouse,R750,1,,0.0,49m²,R1250
R 1 289 000,3,2,2,Apartment/Flat,R700,1,54125m²,,90m²,R1200
R 2 200 000,9,6,,House,R5063,0,495m²,,,
R 430 000,1,1,1,Apartment/Flat,,0,,,,R950
R 2 395 000,3,2,2,House,R1000,1,998m²,,,
R 1 250 000,2,2,1,Apartment/Flat,R3200,1,34512m²,0.0,105m²,R780
R 2 700 000 - R 5 400 000,,,,,,0,,,,
R 500 000,1,1,1,Apartment/Flat,R250,0,,,71m²,R940
R 1 750 000,4,2.5,,House,R834,1,1268m²,1.0,,
R 845 000,2,1,1,Townhouse,,0,8965m²,,79m²,
R 1 080 000,2,3,2,House,R208,1,248m²,1.0,,
R 3 200 000,4,4,3,House,R1500,0,871m²,,,R1
R 27 999 999,,,,CommercialProperty,,0,920m²,,,
R 890 000,2,1,1,Apartment/Flat,R600,0,78m²,0.0,78m²,
R 3 990 000,4,2.5,3,House,R2300,1,1080m²,1.0,320m²,
R 1 299 000,5,2,1,House,R950,0,495m²,,495m²,
R 25 000 000,,,,CommercialProperty,,0,2274m²,,,
R 2 200 000,3,2.5,2,House,,1,1016m²,1.0,,
R 1 980 000,2,2,2,Apartment/Flat,R1200,1,,0.0,101m²,R3200
R 1 000 000,1,1,1,Apartment/Flat,R920,0,,1.0,82m²,R2628
R 670 000,3,1,6,House,,1,531m²,,,
R 680 000,2,1,1,Apartment/Flat,R450,1,3925m²,0.0,77m²,R1900
R 560 000,1,1,2,Apartment/Flat,,0,45m²,,45m²,
R 2 950 000,,,,IndustrialProperty,,0,,,900m²,
R 890 000,2,1,1,Apartment/Flat,,0,,,66m²,
