price,Type of Property,Pets Allowed,Pool,bedrooms,bathrooms,parking space,Erf Size,Floor Size,Levies,Rates and Taxes
R 1 495 000,House,1.0,1,2,1,,595m²,,,R657
R 2 450 000,Apartment/Flat,,1,3,2,2,,129m²,R3800,R1500
R 985 000,Apartment/Flat,,0,1,1,1,1799m²,65m²,R2000,
R 960 000,House,1.0,0,3,1,,,,,
R 590 000,Apartment/Flat,,1,1,1,1,1016m²,43m²,,R200
R 420 000,Apartment/Flat,,0,3,1,,994m²,101m²,R1300,
R 2 800 000,House,,0,,,,,,,
R 990 000,Apartment/Flat,1.0,0,3,2.5,1,,190m²,R3000,R350
R 3 850 000,House,,0,4,3,,1984m²,,,
R 750 000,Apartment/Flat,0.0,0,2,2,1.5,,63m²,R884,R572
R 9 300 000,Apartment/Flat,,0,34,34,,3473m²,3473m²,,R1400
R 16 000 000,CommercialProperty,,0,,,,,,,
R 629 000,,,0,,,,,,,
R 13 999 000,Apartment/Flat,,1,4,4,2,,412m²,,
R 5 200 000,IndustrialProperty,,0,,,,3000m²,,,
R 2 495 000,House,,1,4,2,14,1447m²,,,
R 1 200 000,Apartment/Flat,0.0,0,2,1,,,84m²,R2200,R430
R 4 375 000,House,1.0,1,8,8,6,3718m²,,,R2260
R 270 000,Apartment/Flat,,0,1,1,1,57m²,994m²,R750,
R 742 000,House,,1,2,1,2,,,,R300
R 350 000,House,,0,,,,,,,
R 550 000,Apartment/Flat,,0,3,1,,,54m²,,
R 2 350 000,Apartment/Flat,,0,1,1,,,69m²,,
R 1 550 000,House,0.0,0,3,3,3,846m²,,,R800
R 3 098 000,House,0.0,0,5,4,14,,1488m²,,R1400
R 449 000,Apartment/Flat,0.0,0,3,2,,,75m²,R350,R1200
R 5 950 000,House,1.0,1,4,3.5,2,1258m²,,,
R 2 195 000,House,1.0,0,8,2,2,669m²,,,R1294
R 470 000,Apartment/Flat,,0,2,1,1,76m²,,R1750,R400
R 1 100 000,House,,0,3,2,5,404m²,,,
R 4 200 000,Apartment/Flat,,1,3,2,3,,155m²,R5000,R1600
R 975 000,House,,0,3,1,5,,,,R280
R 599 000,Townhouse,,1,2,1,1,,65m²,R781,R285
R 2 499 900 - R 3 099 900,,,0,,,,,,,
R 8 999 000,House,0.0,1,6,7,12,3866m²,800m²,,R3600
R 14 000 000,CommercialProperty,,0,,,,2730m²,,,
R 1 750 000,Townhouse,1.0,1,3,2,1,,,R3600,
R 2 599 000,Townhouse,1.0,1,3,2,2,,,,
R 2 800 000,VacantLand/Plot,,0,,,,2231m²,,,R1500
R 875 000,Townhouse,1.0,1,2,2,2,,97m²,R2672,R484
R 14 500 000,House,1.0,1,4,4,4,1782m²,1289m²,,R5500
R 1 699 000,House,,0,3,3,8,716m²,,,R320
R 5 350 000,House,1.0,1,3,2.5,3,2599m²,,,R2800
R 1 230 000,House,,0,3,1,,980m²,980m²,,
R 750 000,House,0.0,0,3,1,,279m²,,,
R 4 200 000,Apartment/Flat,1.0,1,2,2.5,2,,118m²,,
R 2 500 000,VacantLand/Plot,,0,,,,,,,
R 320 000,Apartment/Flat,,0,2,1,,,48m²,,
R 1 250 000,House,,0,6,3,5,496m²,,,
R 55 000 000,IndustrialProperty,,0,,,,34248m²,11508m²,,
R 28 000 000,Apartment/Flat,,0,,20,,1288m²,2500m²,,R2999
R 570 000,Apartment/Flat,,0,2,1,,,,,
R 680 000,Apartment/Flat,0.0,1,1,1,1,,,,
R 4 900 000,,,0,,,,,,,
R 380 000,Apartment/Flat,1.0,1,1,1,,,37m²,R539,
POA,CommercialProperty,,0,,,,500m²,,,
R 1 490 000,Apartment/Flat,0.0,0,2,2,1,2222m²,91m²,R3900,R1200
R 1 380 000,House,,0,3,1,5,495m²,,,
R 295 000,Apartment/Flat,,0,1,1,1,995m²,52m²,R1100,
R 2 200 000,House,0.0,0,3,1,,763m²,,,R600
R 6 400 000,CommercialProperty,,0,,,,2059m²,540m²,,R4500
R 2 340 000,Apartment/Flat,1.0,1,3,2,2,,108m²,R2738,R1474
R 3 500 000,House,1.0,1,4,4,2,1068m²,,,R2330
R 430 000,Apartment/Flat,,0,1,1,1,2478m²,33m²,R1500,R240
R 420 000,Apartment/Flat,,0,1,1,1,2478m²,33m²,R550,R250
R 2 299 000,Apartment/Flat,,0,3,2,2,,172m²,R4275,
R 370 000,Apartment/Flat,,0,2,1,1,497m²,89m²,,R1032
R 2 950 000,,,0,,,,,,,
R 2 000 000,Apartment/Flat,,0,4,3,1,,,R4037,
R 3 750 000,Apartment/Flat,0.0,1,2,2,2,,83m²,R3889,
R 7 400 000,House,,1,4,4.5,5,1362m²,,,
R 599 000,Apartment/Flat,,0,,1,,,80m²,R1502,R258
R 4 000 000,House,,0,6,4,,496m²,,,
R 2 499 000,Apartment/Flat,,0,3,3,2,2974m²,124m²,R2000,
R 260 000,House,,0,,,,,,,
R 690 000,Apartment/Flat,,0,2,1,2,,,,
R 550 000,Townhouse,,0,2,1,,,,,
R 2 250 000,VacantLand/Plot,,0,,,,903m²,,R3000,
R 20 000 000,CommercialProperty,,0,,,,3282m²,,,R2500
R 12 750 000,House,0.0,0,4,4,5,4062m²,,,
R 850 000,Townhouse,,0,,,,,,,
R 4 450 000,House,,0,4,4,5,1789m²,,,R2120
R 850 000,Apartment/Flat,0.0,1,1,1,,493m²,74m²,R1645,R300
R 299 000,Apartment/Flat,,0,1,1,1,,,,
R 365 000,Apartment/Flat,,0,1,1,,,32m²,R300,R1450
R 795 000,Townhouse,1.0,1,2,1,2,8765m²,124m²,R1650,R650
R 2 025 000,VacantLand/Plot,1.0,1,,,,765m²,405m²,R1497,R1200
R 7 500 000,Apartment/Flat,0.0,1,3,2.5,2,,247m²,R8091,R3805
R 1 950 000,VacantLand/Plot,0.0,0,,,,2967m²,2967m²,,
R 640 000,Apartment/Flat,,0,1,1,1,,,,
R 9 800 000,House,,1,4,4,8,2200m²,,,R5200
R 550 000,Apartment/Flat,0.0,1,1,1,,6354m²,32m²,R1000,R300
R 570 000,,,0,,,,,,,
R 1 000 000,Apartment/Flat,,0,3,2,3,,,,
R 2 499 000,House,1.0,1,4,2.5,4,995m²,,,
R 7 499 000,House,,1,4,4.5,3,999m²,,R1500,R5200
R 3 900 000,Apartment/Flat,1.0,1,4,3,3,4000m²,350m²,R7060,R1320
R 4 990 000,Apartment/Flat,0.0,1,3,2.5,2,,332m²,R6000,R3200
R 770 000,Apartment/Flat,0.0,0,2,1,1,1412m²,68m²,,
R 3 300 000,Apartment/Flat,,1,2,2,2,,94m²,,
R 5 999 000,House,1.0,1,6,6,4,,555m²,,R3800
R 699 000,Apartment/Flat,0.0,1,1,1,2,,45m²,,
R 4 500 000,House,,1,3,2.5,3,1004m²,,,R2859
R 690 000,Apartment/Flat,,0,1,1,,500m²,66m²,R1600,R891
R 1 550 000,House,,0,2,2,10,935m²,,,R523
R 670 000,Apartment/Flat,,1,2,1,1,,,,
R 1 650 000,Apartment/Flat,,0,2,2,2,,,R1585,
R 330 000,Apartment/Flat,,0,,1,,,20m²,R1500,R500
R 370 000,Apartment/Flat,,0,2,1,1,497m²,82m²,R1030,
R 380 000,Apartment/Flat,,0,1,1,1,1041m²,27m²,,
R 629 000,Apartment/Flat,,0,2,1,,,,,
R 1 450 000,Apartment/Flat,0.0,1,2,2,,,119m²,,
R 13 995 000,IndustrialProperty,,0,,,,991m²,,,
R 3 799 000,Apartment/Flat,,1,4,2,2,,,,
R 4 499 000,Apartment/Flat,,0,2,2,3,,115m²,,
R 340 000,Apartment/Flat,0.0,0,2,1,1,495m²,,,
R 2 200 000,Apartment/Flat,0.0,1,1,1,1,,69m²,,
R 2 100 000,CommercialProperty,,0,,,,,,,
R 820 000,House,1.0,0,3,2,,350m²,150m²,,
R 10 900 000,House,1.0,1,4,4.5,6,3833m²,,,R4100
R 650 000,House,1.0,0,3,2,2,837m²,,,
R 495 000,Apartment/Flat,0.0,0,1,1,1,,37m²,R1700,R400
R 810 000,Apartment/Flat,1.0,0,1,1,1,,70m²,R1810,R432
R 685 000,Townhouse,,0,3,2,2,8000m²,83m²,R901,R420
R 1 380 000,Apartment/Flat,1.0,0,2,1,2,10230m²,96m²,R1300,R400
R 1 849 000,Townhouse,,0,3,2,,,149m²,R2274,R987
R 2 495 000,House,1.0,1,6,3.5,4,3191m²,,,
R 320 000,Apartment/Flat,,0,1,1,1,,41m²,R1000,R50
R 2 475 000 - R 2 499 000,,,0,,,,,,,
R 1 300 000,House,,0,4,2,1,495m²,,R1000,R700
R 255 000,House,,0,,,,,,,
R 2 150 000,Apartment/Flat,0.0,0,2,2,2,,120m²,R1200,R1200
R 1 250 000,House,,0,5,4,,,,,
R 2 000 000,House,,0,3,2,2,2083m²,,,
R 1 699 000,Apartment/Flat,,1,2,2,1,,76m²,,
R 1 950 000,House,0.0,1,3,2,3,,,,
R 1 450 000,Apartment/Flat,,0,2,2,,,119m²,R1882,R915
R 627 000,House,0.0,0,2,1,,,,,R150
R 400 000,House,,0,2,1,,,,,
R 599 000,House,1.0,0,3,1,2,624m²,250m²,,R312
R 1 595 000,House,1.0,1,3,2.5,,495m²,,,R1259
R 899 000,House,1.0,1,3,1,1,,,,
R 490 000,VacantLand/Plot,,0,,,,,,,
R 1 399 999,Apartment/Flat,0.0,1,1,1,1,,53m²,R2088,
R 390 000,Apartment/Flat,,0,3,2,1,,109m²,R2100,R250
R 1 190 000,House,,0,3,2,,514m²,,,
R 5 299 000,Apartment/Flat,,1,2,2.5,2,,143m²,,
R 675 000,Apartment/Flat,,0,2,1,1,,,R1200,R250
R 4 782 000,,,0,,,,,,,
R 1 700 000,House,,1,3,2,3,991m²,,,
R 16 000 000,House,,0,6,9,21,6126m²,,,
R 12 990 000,House,,0,6,4,6,4047m²,1000m²,,R3900
R 1 695 000,House,,0,3,2,2,,,,
R 1 950 000,House,,0,10,10,1,1487m²,,,
R 1 300 000,House,,0,6,1,5,,,,
R 2 649 000,Townhouse,0.0,1,3,2.5,2,,194m²,R5080,R1333
R 330 000,Apartment/Flat,0.0,0,3,1,1,,106m²,R1500,R200
R 6 999 000,House,,1,7,4,3,2163m²,,,
R 1 775 000,Apartment/Flat,0.0,0,1,1,1,,59m²,R2348,
