price,bedrooms,bathrooms,parking space,Type of Property,Floor Size,Pool,Erf Size,Levies,Rates and Taxes,Pets Allowed
R 765 000,2,1,1,Apartment/Flat,56m²,0,,R600,R500,0.0
R 2 400 000,3,3,2,House,198m²,0,198m²,R1400,R1500,1.0
R 539 000,,,,,,0,,,,
R 775 000,1,1,1,Apartment/Flat,56m²,0,367m²,R1507,R443,
R 1 650 000,4,2.5,2,House,1162m²,1,1162m²,,R1180,
R 949 000,3,2.5,1,Townhouse,154m²,1,,R1064,R700,1.0
R 1 900 000,3,2,2,Townhouse,,1,202m²,R2342,R950,1.0
R 755 000,2,1,1,Apartment/Flat,51m²,0,,R600,R500,0.0
R 580 000,2,1.5,2,Apartment/Flat,88m²,0,,R850,R250,
R 1 250 000,2,2,2,Apartment/Flat,120m²,0,,R3740,R551,0.0
